source_id,region,decision,reason
S-011,R02,included-in-r02r03-final-v001,Staging-table flow and when to use staging
S-017,R02,included-in-r02r03-final-v001,Staging-table flow and when to use staging
S-024,R02,included-in-r02r03-final-v001,Staging-table flow and when to use staging
S-035,R02,included-in-r02r03-final-v001,"Performance checklist: TableLock, batch size, indexes, triggers, log pressure"
S-047,R02,included-in-r02r03-final-v001,"Performance checklist: TableLock, batch size, indexes, triggers, log pressure"
S-053,R02,included-in-r02r03-final-v001,Heap/staging schema and index strategy
S-055,R02,included-in-r02r03-final-v001,Heap/staging schema and index strategy
S-056,R02,included-in-r02r03-final-v001,"Performance checklist: TableLock, batch size, indexes, triggers, log pressure"
S-057,R02,included-in-r02r03-final-v001,Heap/staging schema and index strategy
S-063,R02,included-in-r02r03-final-v001,Heap/staging schema and index strategy
S-064,R02,included-in-r02r03-final-v001,"Performance checklist: TableLock, batch size, indexes, triggers, log pressure"
S-065,R02,included-in-r02r03-final-v001,"Performance checklist: TableLock, batch size, indexes, triggers, log pressure"
S-071,R02,included-in-r02r03-final-v001,Heap/staging schema and index strategy
S-076,R02,included-in-r02r03-final-v001,"Performance checklist: TableLock, batch size, indexes, triggers, log pressure"
S-088,R02,included-in-r02r03-final-v001,"Cleanup strategy: shared staging table, temp table, drop/delete/batch cleanup"
S-090,R02,included-in-r02r03-final-v001,Transactions and failed-row/error isolation
S-091,R02,included-in-r02r03-final-v001,Transactions and failed-row/error isolation
S-092,R02,included-in-r02r03-final-v001,Staging-table flow and when to use staging
S-093,R02,included-in-r02r03-final-v001,Staging-table flow and when to use staging
S-096,R02,included-in-r02r03-final-v001,Transactions and failed-row/error isolation
S-097,R02,included-in-r02r03-final-v001,Transactions and failed-row/error isolation
S-098,R02,included-in-r02r03-final-v001,"Cleanup strategy: shared staging table, temp table, drop/delete/batch cleanup"
S-099,R02,included-in-r02r03-final-v001,Staging-table flow and when to use staging
S-102,R02,included-in-r02r03-final-v001,Transactions and failed-row/error isolation
S-103,R02,included-in-r02r03-final-v001,Transactions and failed-row/error isolation
S-107,R02,included-in-r02r03-final-v001,Transactions and failed-row/error isolation
S-108,R02,included-in-r02r03-final-v001,"Cleanup strategy: shared staging table, temp table, drop/delete/batch cleanup"
S-109,R02,included-in-r02r03-final-v001,"Cleanup strategy: shared staging table, temp table, drop/delete/batch cleanup"
S-112,R02,included-in-r02r03-final-v001,"Cleanup strategy: shared staging table, temp table, drop/delete/batch cleanup"
S-113,R02,included-in-r02r03-final-v001,"Cleanup strategy: shared staging table, temp table, drop/delete/batch cleanup"
S-115,R02,included-in-r02r03-final-v001,"Cleanup strategy: shared staging table, temp table, drop/delete/batch cleanup"
S-116,R02,included-in-r02r03-final-v001,"Cleanup strategy: shared staging table, temp table, drop/delete/batch cleanup"
S-119,R02,included-in-r02r03-final-v001,"Cleanup strategy: shared staging table, temp table, drop/delete/batch cleanup"
S-120,R02,included-in-r02r03-final-v001,"Cleanup strategy: shared staging table, temp table, drop/delete/batch cleanup"
S-121,R02,included-in-r02r03-final-v001,"Cleanup strategy: shared staging table, temp table, drop/delete/batch cleanup"
S-123,R02,included-in-r02r03-final-v001,Heap/staging schema and index strategy
S-125,R02,included-in-r02r03-final-v001,"Cleanup strategy: shared staging table, temp table, drop/delete/batch cleanup"
S-126,R02,included-in-r02r03-final-v001,Heap/staging schema and index strategy
S-127,R02,included-in-r02r03-final-v001,Transactions and failed-row/error isolation
S-130,R02,included-in-r02r03-final-v001,Transactions and failed-row/error isolation
S-131,R02,included-in-r02r03-final-v001,Heap/staging schema and index strategy
S-133,R02,included-in-r02r03-final-v001,Transactions and failed-row/error isolation
S-135,R02,included-in-r02r03-final-v001,Heap/staging schema and index strategy
S-136,R02,included-in-r02r03-final-v001,Transactions and failed-row/error isolation
S-137,R02,included-in-r02r03-final-v001,Transactions and failed-row/error isolation
S-138,R02,included-in-r02r03-final-v001,Transactions and failed-row/error isolation
S-094,R03,included-in-r02r03-final-v001,Combining options and transaction/flow choices
S-095,R03,included-in-r02r03-final-v001,When to use / not use streaming reader strategy
S-100,R03,included-in-r02r03-final-v001,Combining options and transaction/flow choices
S-101,R03,included-in-r02r03-final-v001,Combining options and transaction/flow choices
S-104,R03,included-in-r02r03-final-v001,Validation/error-response complexity in one-pass readers
S-105,R03,included-in-r02r03-final-v001,IDataReader / DbDataReader / custom reader streaming
S-106,R03,included-in-r02r03-final-v001,Validation/error-response complexity in one-pass readers
S-110,R03,included-in-r02r03-final-v001,IDataReader / DbDataReader / custom reader streaming
S-111,R03,included-in-r02r03-final-v001,Validation/error-response complexity in one-pass readers
S-114,R03,included-in-r02r03-final-v001,IDataReader / DbDataReader / custom reader streaming
S-117,R03,included-in-r02r03-final-v001,Validation/error-response complexity in one-pass readers
S-118,R03,included-in-r02r03-final-v001,IDataReader / DbDataReader / custom reader streaming
S-122,R03,included-in-r02r03-final-v001,Retry and one-pass tradeoffs / when not to use custom readers
S-124,R03,included-in-r02r03-final-v001,IDataReader / DbDataReader / custom reader streaming
S-128,R03,included-in-r02r03-final-v001,Retry and one-pass tradeoffs / when not to use custom readers
S-129,R03,included-in-r02r03-final-v001,IDataReader / DbDataReader / custom reader streaming
S-132,R03,included-in-r02r03-final-v001,Retry and one-pass tradeoffs / when not to use custom readers
S-134,R03,included-in-r02r03-final-v001,IDataReader / DbDataReader / custom reader streaming
