label_id,x,y,rotation,text
T-001,7904.692889339947,1200.9396137259828,0.0,no app
T-002,7944.5427806218895,1495.0428181393145,0.0,can hold invariants
T-003,11942.634485643388,1821.4255862098817,0.0,properties
T-004,11085.33832901749,1828.56831401634,0.0,methods
T-005,12985.174420074192,1821.4256443385984,0.0,options
T-006,18205.22905560096,1688.8066403160901,0.0,when there are some
T-007,3949.9982305835765,2073.52050565404,0.0,performance checklist
T-008,18157.348338729404,2537.623883135255,0.0,"error behavior,can fail everything"
T-009,16744.01508677628,1865.6238221000986,0.0,including identity columns
T-010,15472.903789168855,1793.4016973645848,0.0,c# -> sql server type
T-011,15448.673019938085,2887.888899348696,0.0,nullable values handling
T-012,15348.673019938085,3481.22233440729,0.0,tablelock example flows
T-013,14251.11719311517,1896.5552913571591,0.0,if mapped the part
T-014,14153.339483154232,2412.1108638669266,0.0,if didnt mapped
T-015,13050.376158501453,2100.25895550104,0.0,default
T-016,12983.709491834787,2568.936197719544,0.0,table lock
T-017,12979.265047390341,3568.407081043577,0.0,keepidentity
T-018,12943.561339165515,4835.221981759726,0.0,keepnuls (fuck defaults)
T-019,12974.227965142078,5671.814517838287,0.0,ckeckconstraints
T-020,13016.301994004925,6636.55527440296,0.0,firetriggers
T-021,8783.04169046569,8127.104724952411,0.0,idatareader
T-022,4267.485863642774,6660.438058285744,0.0,staging table
T-023,10153.04169046569,8007.104724952411,0.0,why not always
T-024,8701.136870432209,8940.438160011005,0.0,from db to db
T-025,8615.422759104084,10010.914234229756,0.0,custom idatareader csv
T-026,8525.899007708995,10517.580842767702,0.0,custom idatareader
T-027,8469.656620457574,11090.186944063867,0.0,"custom readers,one read"
T-028,8420.323324115245,11753.927905856077,0.0,can use dbdatareader from
T-029,12847.783486789214,7262.110855389831,0.0,useinternaltransaction
T-030,14592.228066867337,7141.666397382018,0.0,flow
T-031,15552.364791877353,6958.828796282758,0.0,when internal transaction
T-032,14356.174257558157,7707.4002248541865,0.0,when to/not to use
T-033,13019.264911756662,7756.555274402961,0.0,combine options
T-034,11848.894360541384,2183.221941069618,0.0,destination colname
T-035,11013.742882380871,2155.3431346953275,0.0,writetoserver
T-036,11011.318676947634,2785.6462019893625,0.0,close/dispose
T-037,11066.133401339994,3276.01654975412,0.0,write from
T-038,11847.560864447634,2792.555254057899,0.0,column mappings
T-039,11819.560864447634,3823.221941069618,0.0,batchsize
T-040,11771.560905137738,4756.1108163951385,0.0,bulkcopytimeout
T-041,11764.28817786501,5333.201803167157,0.0,enable streaming
T-042,11736.409426977225,5820.474530439885,0.0,notify after
T-043,10698.875093749284,4623.654461416447,0.0,for too long
T-044,14253.33917797845,3152.111016454817,0.0,how tablelock actually
T-045,16818.681753442943,2503.4015727511414,0.0,preseve previous identity
T-046,2156.7993251119915,5657.930060139721,0.0,so can include index
T-047,8627.308919294444,2043.5699282069581,0.0,source data for sqlbulkcopy
T-048,7538.0868327059015,2306.3476686854738,0.0,sqlbulkcopy constructors
T-049,5881.981729125946,1800.7920268175749,0.0,why sqlbulkcopy is
T-050,6093.904729693355,2241.6001692773316,0.0,internal optimization flow
T-051,6078.039331324904,3561.3274586505568,0.0,less ef core overhead
T-052,6165.539331324904,4492.994138032881,0.0,can stream
T-053,5000.724233939923,7056.771990409185,0.0,cleanup strategies
T-054,6142.206048854201,5025.494138032881,0.0,batches internally
T-055,5019.936531409771,7336.168671695222,0.0,"shared table, delete by"
T-056,5091.603172645123,8847.168709842193,0.0,"one improt at time,"
T-057,5099.936638221295,10265.668717471588,0.0,drop the table
T-058,5081.26989017442,10923.002091495026,0.0,temporary table
T-059,5089.26989017442,12196.335404483307,0.0,"keep failed rows,delete successfull"
T-060,5079.936516150982,12832.335404483307,0.0,move errors to separate
T-061,3394.3071623098367,9611.59455297506,0.0,cleanup inside/outside transaciton
T-062,3439.9368823619197,10435.001969424713,0.0,batch cleanup
T-063,3455.9368823619197,11504.335282412994,0.0,clean up idexes?
T-064,3640.8620608618075,7384.7505195602835,0.0,getting failed rows
T-065,2455.330800968747,7365.895220920631,0.0,example with transaction
T-066,1657.4703948316637,7411.6067765988555,0.0,recommended flow
T-067,768.8998408452098,7490.9901884894125,0.0,when use staging
T-068,6148.872690089553,5617.160779268233,0.0,can reduce trans log overhead
T-069,4633.419677583533,2403.3573820488255,0.0,use staging tables
T-070,4640.59910216286,2756.177863569259,0.0,use tablelock
T-071,4620.086219049879,3345.92146896289,0.0,tune batchsize
T-072,4644.701603665263,3965.4086328000303,0.0,avoid triggers if you can
T-073,4634.445256009013,4383.870171261569,0.0,manage indexes
T-074,3263.0165101942803,4321.013028404426,0.0,heap for staging strat
T-075,2133.0164084690196,4309.901934247524,0.0,build indexes after loading
T-076,912.4609037760947,4019.5315907213217,0.0,when to use staging heap +
T-077,4664.188814452523,4871.049642791018,0.0,watch trans log
T-078,4614.958045221753,5251.56243200376,0.0,stream in very large files
T-079,6103.534348020177,2819.748311774074,0.0,internal optimization
T-080,9039.420346238268,3402.9191670113687,0.0,datatable
T-081,10191.867852675945,1937.9190525704507,0.0,prod style
T-082,8986.08697221483,4038.9191670113687,0.0,idatareader
T-083,10051.971620261284,8524.871620228318,0.0,complexity
T-084,10066.19395099045,9086.649452259568,0.0,"harder validation,error responding"
T-085,10059.082785625867,9667.093869577277,0.0,sometimes need some additional logic
T-086,10059.916042665254,10372.37170669479,0.0,harder retry beh
T-087,10056.582683900606,10872.371725768277,0.0,one pass processing less felxible
T-088,10017.916149476778,11701.252786777275,0.0,may be not faster for small//medium
T-089,9026.08697221483,4653.733959220571,0.0,datarow[]
T-090,8894.46788390568,5128.019708383518,0.0,datarow[] usage
T-091,9887.039295038492,5177.543512094454,0.0,when datarow[]
T-092,7548.0868327059015,2950.236549097259,0.0,"for loading, cant update directly"
T-093,14094.151988830195,2812.4403379093383,0.0,!!!
T-094,8363.333333333334,10.0,0.0,bulk strats
