item_type,item_id,secondary_id,region_id,sha256,status,previously_present,restored,assignment_count,evidence
image_use,S-001,IU-001,R01,e22ceffc6f07f38ecd3bcc46638bf34ecd80d5ab9230f59c612383d789210de2,processed-semantic-transcript,True,False,1,"Visually reviewed screenshot assigned to R01: Core flow, keys, token verification, hostname, and purpose"
image_use,S-002,IU-002,R01,b50df11299b96bcaa7e2aa06595f57acc390e59cc3911da81259fe2a6f278f58,processed-semantic-transcript,True,False,1,"Visually reviewed screenshot assigned to R01: Core flow, keys, token verification, hostname, and purpose"
image_use,S-003,IU-003,R01,6372d9ff2396e3c9f1f8a5903aec15ff513153d1fef52e309786e8c15339fe33,processed-semantic-transcript,True,False,1,"Visually reviewed screenshot assigned to R01: Core flow, keys, token verification, hostname, and purpose"
image_use,S-004,IU-004,R01,caad7a88cf42ddf4ca270d96f35f8b9648e05d415a9cc875e48f6ac1d1ed8b02,processed-semantic-transcript,True,False,1,"Visually reviewed screenshot assigned to R01: Core flow, keys, token verification, hostname, and purpose"
image_use,S-005,IU-005,R01,3d77736ad83eba005931e891f4157159a49ccd2b590b5846238616d6e91235ee,processed-semantic-transcript,True,False,1,"Visually reviewed screenshot assigned to R01: Core flow, keys, token verification, hostname, and purpose"
image_use,S-006,IU-006,R01,3f558f9e7662c2f763b02586acb9c13980adba3b531715a7ed225ae76332e62a,processed-semantic-transcript,True,False,1,"Visually reviewed screenshot assigned to R01: Core flow, keys, token verification, hostname, and purpose"
image_use,S-007,IU-007,R01,852542d67af953d929ab8f34f7f324ce0bf3a0909a9d179f323ff6c086348cbd,processed-semantic-transcript,True,False,1,"Visually reviewed screenshot assigned to R01: Core flow, keys, token verification, hostname, and purpose"
image_use,S-008,IU-008,R01,bf4acac48dc580e2264ff032d1408aed3cc6daae035db3490bc2c2e403acaac0,processed-semantic-transcript,True,False,1,"Visually reviewed screenshot assigned to R01: Core flow, keys, token verification, hostname, and purpose"
image_use,S-009,IU-009,R01,66a66bd8901f46a51b9ab504bd83f545af85451fe578bcf882dedf752a0873be,processed-semantic-transcript,True,False,1,"Visually reviewed screenshot assigned to R01: Core flow, keys, token verification, hostname, and purpose"
image_use,S-010,IU-010,R01,5a2027fcfd7e7581065265d8af25834ed01f7dc64e270a2ab0684fe448df4b19,processed-semantic-transcript,True,False,1,"Visually reviewed screenshot assigned to R01: Core flow, keys, token verification, hostname, and purpose"
image_use,S-011,IU-011,R01,13e1e2057404d498978d76a5b15028b993c051ba3db0ea1869c83aa2eff01cc7,processed-semantic-transcript,True,False,1,"Visually reviewed screenshot assigned to R01: Core flow, keys, token verification, hostname, and purpose"
image_use,S-012,IU-012,R01,c15e615ae8aca94ac72e98b33ff8b43d3e73b55375303ff9e4981db4f26ddd09,processed-semantic-transcript,True,False,1,"Visually reviewed screenshot assigned to R01: Core flow, keys, token verification, hostname, and purpose"
image_use,S-013,IU-013,R01,6ea147b9ed86b8c615ef29903a66d52a5e7115a135c0b28e498c2acf2749eb87,processed-semantic-transcript,True,False,1,"Visually reviewed screenshot assigned to R01: Core flow, keys, token verification, hostname, and purpose"
image_use,S-014,IU-014,R01,61689add213956e183499bb8004fff68c7d0d479bc2f30b2255572a7f6e74f03,processed-semantic-transcript,True,False,1,"Visually reviewed screenshot assigned to R01: Core flow, keys, token verification, hostname, and purpose"
image_use,S-015,IU-015,R01,aa7f2afb3366b1973b3044627495f3df1d19e253434d513d9f89465a1c06211f,processed-semantic-transcript,True,False,1,"Visually reviewed screenshot assigned to R01: Core flow, keys, token verification, hostname, and purpose"
image_use,S-016,IU-016,R01,04178a861089e5b04ab0f5859d76f261d177b634b25da2adc956bf806294415c,processed-semantic-transcript,True,False,1,"Visually reviewed screenshot assigned to R01: Core flow, keys, token verification, hostname, and purpose"
image_use,S-017,IU-017,R01,060dff727deb96f01f5fb83f81dda565eef6c13350b1cf49121e61942abc48b9,processed-semantic-transcript,True,False,1,"Visually reviewed screenshot assigned to R01: Core flow, keys, token verification, hostname, and purpose"
image_use,S-018,IU-018,R01,ed7d4fd6ec69cdafe6a3fe7fe040be7fc093ef0dde4a2fe983e6041b8eaf5e58,processed-semantic-transcript,True,False,1,"Visually reviewed screenshot assigned to R01: Core flow, keys, token verification, hostname, and purpose"
image_use,S-019,IU-019,R01,03045fa5b118184dc08637c39fec7f4cd52f2a0a9d592ceb510081e814996554,processed-semantic-transcript,True,False,1,"Visually reviewed screenshot assigned to R01: Core flow, keys, token verification, hostname, and purpose"
image_use,S-020,IU-020,R01,e40a7a15696b19d2c95598b99a6932135c718621d5ebcdc83b13fb9c87b9e22b,processed-semantic-transcript,True,False,1,"Visually reviewed screenshot assigned to R01: Core flow, keys, token verification, hostname, and purpose"
image_use,S-021,IU-021,R01,5db136f06f55f9d456532ebc7048708863863bf850aa4e18d2441d2bd0e74364,processed-semantic-transcript,True,False,1,"Visually reviewed screenshot assigned to R01: Core flow, keys, token verification, hostname, and purpose"
image_use,S-022,IU-022,R02,b50df11299b96bcaa7e2aa06595f57acc390e59cc3911da81259fe2a6f278f58,processed-semantic-transcript,True,False,1,Visually reviewed screenshot assigned to R02: reCAPTCHA v2 Razor and React integration with verification service
image_use,S-023,IU-023,R02,9b4cfd2d85297dfbffa896126166a1f33055145f62d30957fdfdd4664e2a746c,processed-semantic-transcript,True,False,1,Visually reviewed screenshot assigned to R02: reCAPTCHA v2 Razor and React integration with verification service
image_use,S-024,IU-024,R02,7cc9d778246a40c66fffb709436644c940ac294b156e109a54509c9d9e69d66f,processed-semantic-transcript,True,False,1,Visually reviewed screenshot assigned to R02: reCAPTCHA v2 Razor and React integration with verification service
