text_id,text,non_empty,x,y
T-001,"<script src=""https://www.google.com/recaptcha/api.js"" async defer></script>",True,0,17.619999999999997
T-002,,False,0,42.62
T-003,"<form asp-action=""Register"" method=""post"">",True,0,67.62
T-004,"<input type=""email"" name=""Email"" required />",True,0,92.62
T-005,"<input type=""password"" name=""Password"" required />",True,0,117.62
T-006,,False,0,142.62
T-007,"<div class=""g-recaptcha"" data-sitekey=""@ViewBag.RecaptchaSiteKey""></div>",True,0,167.62
T-008,,False,0,192.62
T-009,"<button type=""submit"">Submit</button>",True,0,217.62
T-010,</form>,True,0,242.62
T-011,public sealed class RecaptchaVerifyResponse,True,0,17.619999999999997
T-012,{,True,0,42.62
T-013,public bool success { get; set; },True,0,67.62
T-014,public string[]? error-codes { get; set; } // google uses this name in JSON sometimes,True,0,92.62
T-015,public List<string>? error_codes { get; set; } // in case serializer maps differently,True,0,117.62
T-016,public double score { get; set; } // v3 only,True,0,142.62
T-017,public string? action { get; set; } // v3 only,True,0,167.62
T-018,public string? hostname { get; set; },True,0,192.62
T-019,},True,0,217.62
T-020,using System.Net.Http;,True,0,17.619999999999997
T-021,using System.Text.Json;,True,0,42.62
T-022,using Microsoft.AspNetCore.WebUtilities;,True,0,67.62
T-023,,False,0,92.62
T-024,public interface IRecaptchaVerifier,True,0,117.62
T-025,{,True,0,142.62
T-026,"Task<bool> VerifyV2Async(string token, string? remoteIp = null);",True,0,167.62
T-027,},True,0,192.62
T-028,,False,0,217.62
T-029,public class GoogleRecaptchaVerifier : IRecaptchaVerifier,True,0,242.62
T-030,{,True,0,267.62
T-031,private readonly HttpClient _http;,True,0,292.62
T-032,private readonly IConfiguration _config;,True,0,317.62
T-033,,False,0,342.62
T-034,"public GoogleRecaptchaVerifier(HttpClient http, IConfiguration config)",True,0,367.62
T-035,{,True,0,392.62
T-036,_http = http;,True,0,417.62
T-037,_config = config;,True,0,442.62
T-038,},True,0,467.62
T-039,,False,0,492.62
T-040,"public async Task<bool> VerifyV2Async(string token, string? remoteIp = null)",True,0,517.62
T-041,{,True,0,542.62
T-042,if (string.IsNullOrWhiteSpace(token)) return false;,True,0,567.62
T-043,,False,0,592.62
T-044,"var secret = _config[""Recaptcha:SecretKey""];",True,0,617.62
T-045,if (string.IsNullOrWhiteSpace(secret)),True,0,642.62
T-046,"throw new InvalidOperationException(""Recaptcha:SecretKey is not configured."");",True,0,667.62
T-047,,False,0,692.62
T-048,// POST https://www.google.com/recaptcha/api/siteverify,True,0,717.62
T-049,"// with form fields: secret, response, remoteip(optional)",True,0,742.62
T-050,,False,0,767.62
T-051,"var data = new Dictionary<string, string>",True,0,792.62
T-052,{,True,0,817.62
T-053,"[""secret""] = secret,",True,0,842.62
T-054,"[""response""] = token",True,0,867.62
T-055,};,True,0,892.62
T-056,,False,0,917.62
T-057,if (!string.IsNullOrWhiteSpace(remoteIp)),True,0,942.62
