source_id,source_num,fileId,fileId_short,x,y,width,height,rotation,opacity,initial_subregion,combined_pass,initial_meaning,nearest_labels_for_search_only,coverage_status,decision_is_final,review_notes,current_region_decision,must_recheck_before_region_close
S-001,1,0c73cc692afc66ab8a736aa60640d676438bcb86,0c73cc692a,7973.557,541.304,843.0,482.0,0.0,1,R02-entityentry-properties-methods-query-and-values,P02-R02-entityentry-properties-methods-query-and-values,"EntityEntry: State, Entity, Metadata, CurrentValues/OriginalValues, IsKeySet, Context, Entry.Query, navigations/references/collections/properties, Reload/GetDatabaseValues examples.",L-004: changetracker itself | L-005: entityentry | L-006: common tasks | L-103: all navigations - references and | L-104: collections have isloded flag,processed-in-r01-v002-correction,yes-for-r01-v002-correction,Corrected during R02 boundary review; ChangeTracker overview/core members belong to R01.,R01,no-for-r01-v002
S-002,2,3967d5173081bc088fda3833156b983f57c65846,3967d51730,8013.78,1067.971,686.0,482.0,0.0,1,R02-entityentry-properties-methods-query-and-values,P02-R02-entityentry-properties-methods-query-and-values,"EntityEntry: State, Entity, Metadata, CurrentValues/OriginalValues, IsKeySet, Context, Entry.Query, navigations/references/collections/properties, Reload/GetDatabaseValues examples.",L-005: entityentry | L-006: common tasks | L-004: changetracker itself | L-104: collections have isloded flag | L-103: all navigations - references and,processed-in-r01-v002-correction,yes-for-r01-v002-correction,Corrected during R02 boundary review; ChangeTracker overview/core members belong to R01.,R01,no-for-r01-v002
S-003,3,400ca500a9d69ffc81ad0a26648f81a846b32f67,400ca500a9,8029.887,1562.971,717.0,482.0,0.0,1,R02-entityentry-properties-methods-query-and-values,P02-R02-entityentry-properties-methods-query-and-values,"EntityEntry: State, Entity, Metadata, CurrentValues/OriginalValues, IsKeySet, Context, Entry.Query, navigations/references/collections/properties, Reload/GetDatabaseValues examples.",L-005: entityentry | L-006: common tasks | L-004: changetracker itself | L-104: collections have isloded flag | L-103: all navigations - references and,processed-in-r01-v002-correction,yes-for-r01-v002-correction,Corrected during R02 boundary review; ChangeTracker overview/core members belong to R01.,R01,no-for-r01-v002
S-004,4,2db4c446a410c49b5cbbb7b4034f36019928562c,2db4c446a4,8838.891,2760.645,778.0,365.0,0.0,1,R02-entityentry-properties-methods-query-and-values,P02-R02-entityentry-properties-methods-query-and-values,"EntityEntry: State, Entity, Metadata, CurrentValues/OriginalValues, IsKeySet, Context, Entry.Query, navigations/references/collections/properties, Reload/GetDatabaseValues examples.",L-005: entityentry | L-006: common tasks | L-104: collections have isloded flag | L-103: all navigations - references and | L-102: enrty types,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after local boundary review.,R02,no-for-r02-v001
S-005,5,0caf35a5e4ac06eb9da36c55dad5de230b7c4ece,0caf35a5e4,8858.895,3131.988,711.0,482.0,0.0,1,R02-entityentry-properties-methods-query-and-values,P02-R02-entityentry-properties-methods-query-and-values,"EntityEntry: State, Entity, Metadata, CurrentValues/OriginalValues, IsKeySet, Context, Entry.Query, navigations/references/collections/properties, Reload/GetDatabaseValues examples.",L-005: entityentry | L-006: common tasks | L-104: collections have isloded flag | L-103: all navigations - references and | L-102: enrty types,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after local boundary review.,R02,no-for-r02-v001
S-006,6,3624a047c29fbf665a904860a5b5d1111501202c,3624a047c2,8861.35,3630.322,670.0,482.0,0.0,1,R02-entityentry-properties-methods-query-and-values,P02-R02-entityentry-properties-methods-query-and-values,"EntityEntry: State, Entity, Metadata, CurrentValues/OriginalValues, IsKeySet, Context, Entry.Query, navigations/references/collections/properties, Reload/GetDatabaseValues examples.",L-005: entityentry | L-006: common tasks | L-104: collections have isloded flag | L-103: all navigations - references and | L-096: full entity entry list,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after local boundary review.,R02,no-for-r02-v001
S-007,7,67ad3d5ecb19aaa575b04e5f90b57f4e3cabd835,67ad3d5ecb,8811.224,4131.978,880.0,319.0,0.0,1,R02-entityentry-properties-methods-query-and-values,P02-R02-entityentry-properties-methods-query-and-values,"EntityEntry: State, Entity, Metadata, CurrentValues/OriginalValues, IsKeySet, Context, Entry.Query, navigations/references/collections/properties, Reload/GetDatabaseValues examples.",L-005: entityentry | L-006: common tasks | L-096: full entity entry list | L-104: collections have isloded flag | L-103: all navigations - references and,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after local boundary review.,R02,no-for-r02-v001
S-008,8,f30b28358ca466aa3643109ad02fee2c5a0d7f42,f30b28358c,8826.888,4473.655,779.0,482.0,0.0,1,R02-entityentry-properties-methods-query-and-values,P02-R02-entityentry-properties-methods-query-and-values,"EntityEntry: State, Entity, Metadata, CurrentValues/OriginalValues, IsKeySet, Context, Entry.Query, navigations/references/collections/properties, Reload/GetDatabaseValues examples.",L-005: entityentry | L-006: common tasks | L-096: full entity entry list | L-081: entity | L-088: ---properties---,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after local boundary review.,R02,no-for-r02-v001
S-009,9,801406182eeca7a05ec9954b2a89aaa9e652e518,801406182e,7722.396,3277.772,813.0,442.0,0.0,1,R02-entityentry-properties-methods-query-and-values,P02-R02-entityentry-properties-methods-query-and-values,"EntityEntry: State, Entity, Metadata, CurrentValues/OriginalValues, IsKeySet, Context, Entry.Query, navigations/references/collections/properties, Reload/GetDatabaseValues examples.",L-006: common tasks | L-005: entityentry | L-104: collections have isloded flag | L-103: all navigations - references and | L-015: !!!,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after local boundary review.,R02,no-for-r02-v001
S-010,10,e49eb18aad1a96ce6bbe9d6a78ef211aabadccc5,e49eb18aad,7715.063,2764.772,861.0,478.0,0.0,1,R02-entityentry-properties-methods-query-and-values,P02-R02-entityentry-properties-methods-query-and-values,"EntityEntry: State, Entity, Metadata, CurrentValues/OriginalValues, IsKeySet, Context, Entry.Query, navigations/references/collections/properties, Reload/GetDatabaseValues examples.",L-006: common tasks | L-005: entityentry | L-004: changetracker itself | L-104: collections have isloded flag | L-103: all navigations - references and,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after local boundary review.,R02,no-for-r02-v001
S-011,11,13a591e570421b69c033e03c97e08e3b79cc46c8,13a591e570,7720.896,3749.105,876.0,396.0,0.0,1,R02-entityentry-properties-methods-query-and-values,P02-R02-entityentry-properties-methods-query-and-values,"EntityEntry: State, Entity, Metadata, CurrentValues/OriginalValues, IsKeySet, Context, Entry.Query, navigations/references/collections/properties, Reload/GetDatabaseValues examples.",L-006: common tasks | L-005: entityentry | L-096: full entity entry list | L-104: collections have isloded flag | L-015: !!!,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after local boundary review.,R02,no-for-r02-v001
