symbol_id,mime_type,sha1,intrinsic_width,intrinsic_height
image-5fb086b8208e741617af33e1cacd8b27296ef5b4,image/png,80d767d187ea72081e658f002babc7375a699e84,100.0,100.0
image-37bcf068ab7828450a58097635355d2fcee87096,image/png,30d77985203b9052781d980291687582c3b1f9b2,100.0,100.0
image-c125069f494a1183dd7963b347eb191950efb79c,image/png,a979306165f0c45f6fc3e479ab0c43a1b9648a06,100.0,100.0
image-2eff0101b9c59ea6303c05a1e5d7b2c94169b347,image/png,d6e43adaf97876353f76afe059489725d482aa3d,100.0,100.0
image-3a8e420413e6b10b694966dba0ab3a1589c51d8d,image/png,6c5d9a269cf680275854d04df45a30e86ed40815,100.0,100.0
image-40d22438adfe9e31dac43208394c3bb52ad76277,image/png,25a134970a159d7ce85198ae8cd3b1d6eb9f28d6,100.0,100.0
image-263d8619e331b4dacc2b4f88ace6a194ce81d9d2,image/png,20a88e5ff381a7d58e5d8ef3ab3a1a0d89b39701,100.0,100.0
image-6a287fd962fb1eaf694c8a7dd872510f551ee092,image/png,1f98eb9a678f330cda775cde782205ab9057461f,100.0,100.0
image-2ae03062531ae1147a661f98714c0e1730961c19,image/png,86cd6eb790d94a9180833283995854cde66b1f36,100.0,100.0
image-27d4402672559412fb84a5c2cf0ac8025eaa6e84,image/png,4eb96447f0414c18c4d532acc2eeb90d97a5f570,100.0,100.0
image-b82ac2fe71e54905040d8841444031ecbad36f15,image/png,169db92cdcb74ffb91c64e416986d985ad0308fc,100.0,100.0
image-23a552f8b58bf9b3b63ef9aef71098b9d93ad8d1,image/png,1fe08ef71b0737408cc1eeee184997a49e3c6a4d,100.0,100.0
image-755ed655c0f2f9766b095f81854c0cea694dd40d,image/png,9d93f22632c5f841328fa3b23f9a054a1b888d30,100.0,100.0
image-b132f33d36f7920a4e05a49837afa196cb7cd624,image/png,77809c9d1950a14ae003e44d627358956a205c54,100.0,100.0
image-9dfd79684517c4c2e7fc3d8231ace5608c16163a,image/png,25451276a3c0b0ba5c88bc9af12d34b05ae4dda7,100.0,100.0
image-dab100449cf8e9b6d9eaa491d16ba5384ab1c139,image/png,bfd93bd7ff94441e2ca09a92190ec979d2d5e7a3,100.0,100.0
image-1b5977198e174a1b2f1bbcec8be52cd0d3944506,image/png,079d6f893b09c00c9b979a95f93dc625462d2752,100.0,100.0
image-10562c1c05e18130e2520434552992b3e527c2e2,image/png,8272fdb9348ef0e7fa861a397408e3653f0ffff9,100.0,100.0
image-2917a69a97eeaef98057698cf917ee7bdb38d46f,image/png,b59801f75b6b2e3f42ac4dd44d1b6aab08ba9e9f,100.0,100.0
image-665cbc348112bb69e528883a05fdcbc3e030a525,image/png,f5d3b8b5335c9ea5dbe89043c94b97a15fd935b3,100.0,100.0
image-547d9a112433688e9212baed59b0b7ecba7aa1e2,image/png,6d157ea546d519180b5259a9adeaeeabedbf43fa,100.0,100.0
image-a6e57df4455b1e5da71713187f5b42fe77071a6c,image/png,c13fc8b69143d94d0731de6a477676e1cc1920b4,100.0,100.0
image-45238b663ffed74c577b6b731621bc924e1183f9,image/png,4480ee2c0da429121d82eabc1da3c55bff6ae6f8,100.0,100.0
image-bf4979f0169284fccb5fb98ce29262cd14e9d2b7,image/png,cf3f84cee5f51f4d016349706fd823b9f6847888,100.0,100.0
image-24454869741ea49df0280dbbebb7f450d8fa9af0,image/png,69926141038a9d2a5982895ecea64501819dba52,100.0,100.0
image-1c0c1f3165e7f169afd93b1e228b2d91d1be34f1,image/png,a627e085006faee15ba99ca9fa7da5c3fe07ac34,100.0,100.0
image-99a4c9dd1c0bc1abecd0107a23a1bb826a252af9,image/png,e379c8d6ad82433f3f74f8e142ebb4f144aa1bae,100.0,100.0
image-d7c30844edb7c724bb5004dd7f4449e70ba04224,image/png,cb9847710ada7a47ad3688306d330e65fe11ec95,100.0,100.0
image-64ada1743399a79e5915328dada24d8cab0dc324,image/png,11b9eb937f92b546aa6f0d8558ee30fc1b6637cc,100.0,100.0
image-b8c6c1aed00237f4a4e97545967e76f2e59ad9d9,image/png,e71d426f3a7f500ffd4c9dd157466b364757cf25,100.0,100.0
image-7a5b9c0a3429dba7633457b3845ab7cce93eb0ed,image/png,dd998c70f5527d0e4da85c1fc4ed43409813ae85,100.0,100.0
