region,source_id,image_use,file_sha,x,y,width,height,stage1_status,theme
R01,S-001,U-001,aaa455c8dd72fd19953bd57ac8aa304cc25fd07a,10.0,10.0,810.0,482.0,verified-semantic-transcript,"MVC view, partial, layout, area, view component, and display-folder discovery conventions plus override paths"
R01,S-002,U-002,0a996eda2de0e81d86d806a9408bef0b492686db,87.36,601.62,776.0,418.0,verified-semantic-transcript,"MVC view, partial, layout, area, view component, and display-folder discovery conventions plus override paths"
R01,S-003,U-003,96b13e680436d71492cc6ef7152fd2da05cc339a,54.18,1019.01,872.0,401.0,verified-semantic-transcript,"MVC view, partial, layout, area, view component, and display-folder discovery conventions plus override paths"
R01,S-004,U-004,c2353c6cf4beda6465d30941337d5dc94e560938,119.42,1452.41,863.0,429.0,verified-semantic-transcript,"MVC view, partial, layout, area, view component, and display-folder discovery conventions plus override paths"
R01,S-005,U-005,913bc4c2ba3b3451af1f3ddab62ac5c5f874df4c,130.49,1881.12,829.0,339.0,verified-semantic-transcript,"MVC view, partial, layout, area, view component, and display-folder discovery conventions plus override paths"
R01,S-006,U-006,c19fbd8aec09fc00462796f8ea7fd24cbdd9df55,217.84,2252.32,678.0,444.0,verified-semantic-transcript,"MVC view, partial, layout, area, view component, and display-folder discovery conventions plus override paths"
R01,S-007,U-007,c36c0952e29270692fcbcde9dc75c03a47e27c17,211.85,2711.68,731.0,482.0,verified-semantic-transcript,"MVC view, partial, layout, area, view component, and display-folder discovery conventions plus override paths"
R01,S-009,U-009,64fca5d4f0c0a088233dcb4386f825812c11a90f,197.76,3225.52,756.0,482.0,verified-semantic-transcript,"MVC view, partial, layout, area, view component, and display-folder discovery conventions plus override paths"
R02,S-008,U-008,b3c1d67a48ea59459fbb834cbed05b2e3fa6e6f5,2294.17,3014.18,805.0,352.0,verified-semantic-transcript,"display/editor template discovery, model conventions, usage, and reasons to use templates"
R02,S-010,U-010,5bfe2f3ebabc2538b9128be17d2c6883beb2a3c9,2317.21,3374.84,717.0,344.0,verified-semantic-transcript,"display/editor template discovery, model conventions, usage, and reasons to use templates"
R02,S-011,U-011,cb1147d8d6a893d3385903ad982d1a6a77e59488,2312.3,3731.84,792.0,430.0,verified-semantic-transcript,"display/editor template discovery, model conventions, usage, and reasons to use templates"
R02,S-012,U-012,9647f7f83b76cee2855f79c89194c42312167554,2334.88,4188.03,706.0,430.0,verified-semantic-transcript,"display/editor template discovery, model conventions, usage, and reasons to use templates"
R02,S-013,U-013,83c55e6fa1f7d95237e80de8abfe42743f2fdb15,2299.92,4643.27,864.0,430.0,verified-semantic-transcript,"display/editor template discovery, model conventions, usage, and reasons to use templates"
