source_id,image_use,href,asset_sha,x,y,width,height,opacity,region
S-001,U-001,image-46b6e012601c4ef330592a0ea105c8a2b9844abd,aaa455c8dd72fd19953bd57ac8aa304cc25fd07a,10.0,10.0,810.0,482.0,1,R01
S-002,U-002,image-a640af72ccbdca589beafd0bf289c90309655721,0a996eda2de0e81d86d806a9408bef0b492686db,87.36206185227184,601.6170864793312,776.0,418.0,1,R01
S-003,U-003,image-d9dfb09fc49ff2d018223c4baded7ce9525805b0,96b13e680436d71492cc6ef7152fd2da05cc339a,54.176921878313806,1019.0059414598072,872.0,401.0,1,R01
S-004,U-004,image-6caf7056875af698965592da7e56fddca566a336,c2353c6cf4beda6465d30941337d5dc94e560938,119.41775304150815,1452.4133714728305,863.0,429.0,1,R01
S-005,U-005,image-834ecf442848428f425db9414e5ec04884cbc2d9,913bc4c2ba3b3451af1f3ddab62ac5c5f874df4c,130.4916462706742,1881.1171203877602,829.0,339.0,1,R01
S-006,U-006,image-835c045ad5696c8b2da700845f6174c8017fb3b5,c19fbd8aec09fc00462796f8ea7fd24cbdd9df55,217.84358854498078,2252.3208014858465,678.0,444.0,1,R01
S-007,U-007,image-e731c6b4e4c7c4f2bc86bd7398d6cb2d2916a363,c36c0952e29270692fcbcde9dc75c03a47e27c17,211.85181717763317,2711.6831604268154,731.0,482.0,1,R01
S-008,U-008,image-5c796db9777a38cc019246bc20c77c29b72666b8,b3c1d67a48ea59459fbb834cbed05b2e3fa6e6f5,2294.1655787099453,3014.175210399211,805.0,352.0,1,R02
S-009,U-009,image-b1c3bcf4d7fffc66d8f7036049922ea265fefa0f,64fca5d4f0c0a088233dcb4386f825812c11a90f,197.75927154684905,3225.519123115926,756.0,482.0,1,R01
S-010,U-010,image-6fa5af9f53c3c6f141f09baec10482a68da6aa4e,5bfe2f3ebabc2538b9128be17d2c6883beb2a3c9,2317.2130379035834,3374.8418625337,717.0,344.0,1,R02
S-011,U-011,image-f5f46fb94a30994d3277535fbc9fb2f412edbe58,cb1147d8d6a893d3385903ad982d1a6a77e59488,2312.2984776103613,3731.841906130241,792.0,430.0,1,R02
S-012,U-012,image-d420613a0cc49261a3497cfb21c5b6f6fd0bd3ca,9647f7f83b76cee2855f79c89194c42312167554,2334.87973363461,4188.03239685289,706.0,430.0,1,R02
S-013,U-013,image-8d5fcf663f17d23ea8ee09c4452737cb7d580290,83c55e6fa1f7d95237e80de8abfe42743f2fdb15,2299.9173418426326,4643.270477558806,864.0,430.0,1,R02
