source_id,sha256,sha256_12,placements,image_file,transcript_file,status
S-001,c84cdc382912e488e46a318271a83a9da8d98c0f34fd01d3143957c5f09b48a5,c84cdc382912,1,source/images-near-literal-v002/S-001__c84cdc3829.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-002,7a84b6a5d7e059fcef2fd3f626979bb95ba92aec059b4a427ebaf357f31dfc39,7a84b6a5d7e0,1,source/images-near-literal-v002/S-002__7a84b6a5d7.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-003,e9b8f64ab60c6a3d8e404c95fded0a43a295404509374a9b9dfdd7b2a93acd45,e9b8f64ab60c,1,source/images-near-literal-v002/S-003__e9b8f64ab6.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-004,fa2b21c533fe10254e0775bb65ba0ccff81df3017a68532f5d3c12e50f992215,fa2b21c533fe,1,source/images-near-literal-v002/S-004__fa2b21c533.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-005,7444fd6896cea2a71dfee2d893bb675fe11ffc339d425ef9cf82555539a7981b,7444fd6896ce,1,source/images-near-literal-v002/S-005__7444fd6896.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-006,4aea8a6a72bbcb4cac5b27b45217e2ddcec839cd5b7cb391de1f8a11af0acda1,4aea8a6a72bb,1,source/images-near-literal-v002/S-006__4aea8a6a72.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-007,ad0db910751ad64069ff161cb4c61554db8ef7b82c4cb9f54d11897739cde777,ad0db910751a,1,source/images-near-literal-v002/S-007__ad0db91075.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-008,eae9d0ba9f01a32bf79bf498ef45ceef8d72f2302a3ff0f25e162bd21ba19a0d,eae9d0ba9f01,1,source/images-near-literal-v002/S-008__eae9d0ba9f.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-009,ac59eb8dbb1fc3ded8c779dafad52a5235ad74b8e540d5cec0bf12ae65c83666,ac59eb8dbb1f,1,source/images-near-literal-v002/S-009__ac59eb8dbb.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-010,4a4042ea9806a508dd0eb3e5eb28f78fd376def2aea3e74ad63049c0fc119ee7,4a4042ea9806,1,source/images-near-literal-v002/S-010__4a4042ea98.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-011,44be710d4eab5dc33eba6da0452db9961e714846572666bd6df97480b9aaa6fc,44be710d4eab,1,source/images-near-literal-v002/S-011__44be710d4e.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-012,1bd44d09d1448506c2e8b86f41644a021bd9de95d3b653dab1bcf85629face19,1bd44d09d144,1,source/images-near-literal-v002/S-012__1bd44d09d1.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-013,0c81fde5d294eae97eeffd8b03a56029ca8830fbd3a5c81294d568be7f7e76e8,0c81fde5d294,1,source/images-near-literal-v002/S-013__0c81fde5d2.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-014,80226126dd84964041d3d17ff3c30a8b5def267c7f19afddebf79c2101a13f28,80226126dd84,1,source/images-near-literal-v002/S-014__80226126dd.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-015,79ba0ad960711cc7c4e949b3bdc972b417731fef8638e91e768bada1a390afd0,79ba0ad96071,1,source/images-near-literal-v002/S-015__79ba0ad960.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-016,882193fce964a64b72d72ac7599f1bf097b28d9c505bb769372f23c47f3f6269,882193fce964,1,source/images-near-literal-v002/S-016__882193fce9.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-017,34244d1d3aa9b690f766af7077fe6129e35339299a3812ba2db884e7e8a2b3ce,34244d1d3aa9,1,source/images-near-literal-v002/S-017__34244d1d3a.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-018,14c7d2bef46fd8c12c67def41e4d59382db0b8a043bba72f28dbca273cec5a9e,14c7d2bef46f,1,source/images-near-literal-v002/S-018__14c7d2bef4.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-019,d334f7a98c1d2de78fb0283d89fe3d8f611e9979d19f54c1c3a987dcb714eaa9,d334f7a98c1d,1,source/images-near-literal-v002/S-019__d334f7a98c.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-020,556426cebf787ae5c700cfb44eab21f3b9f06634b3b55d486a6a54cf1a6c5914,556426cebf78,1,source/images-near-literal-v002/S-020__556426cebf.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-021,278bc77287f79e46e25a630fa512bf2d4e377d9b7746383498cdb5f92f6140d8,278bc77287f7,1,source/images-near-literal-v002/S-021__278bc77287.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-022,4a3eeddbadbda40a3f9381fac397cd2a31abba954b294c6b1e173f9f266aed03,4a3eeddbadbd,1,source/images-near-literal-v002/S-022__4a3eeddbad.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-023,5d2c4f31ffa99ec58dd382ecf46d6d0c2fe35edecbfb7f6c176e0f13c9a0bd4d,5d2c4f31ffa9,1,source/images-near-literal-v002/S-023__5d2c4f31ff.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-024,22e4a68205408acbbe915b00f34e32675c7fe609521cd5074fccc481120a92ec,22e4a6820540,1,source/images-near-literal-v002/S-024__22e4a68205.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-025,5799464ecf77ad8916d590dab6f582ee4176651be0ae2983a53fa1001fd885e8,5799464ecf77,1,source/images-near-literal-v002/S-025__5799464ecf.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-026,9d5ff9ae390c40375496cbf88b70f05e3fdb0babee071aec2b217bdd91eb66ea,9d5ff9ae390c,1,source/images-near-literal-v002/S-026__9d5ff9ae39.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-027,959d0ceb640165faed81eae7c588a8a1dd74b1aad96d005a8c40591e84251826,959d0ceb6401,1,source/images-near-literal-v002/S-027__959d0ceb64.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-028,4a1469821bd44864f840432a08e8e562b622f8c44bbab4cc4d4e36a864d9e47b,4a1469821bd4,1,source/images-near-literal-v002/S-028__4a1469821b.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-029,e880d1a742bcb85af2154b22e0afad6eadda4207ef86ad13e3122257ed327da4,e880d1a742bc,1,source/images-near-literal-v002/S-029__e880d1a742.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-030,335f38a54eb871a7dc23bd1a3c25b121a51e930615cda972d0f95f79720b9ab7,335f38a54eb8,1,source/images-near-literal-v002/S-030__335f38a54e.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-031,d6a8002631ffe304f92f3dfc4a58f70da67843a7e5e50ebb4fa133e6ae510d0b,d6a8002631ff,1,source/images-near-literal-v002/S-031__d6a8002631.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-032,d2a9d682f53d3b1d47a3be64f2aa07bd3e6e57bc61bfd8533646849851207ec1,d2a9d682f53d,1,source/images-near-literal-v002/S-032__d2a9d682f5.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-033,e358bf8352f9511a9d639adfd071f0324d4e6db9c6ea4b48ae5ff4dd2e97d679,e358bf8352f9,1,source/images-near-literal-v002/S-033__e358bf8352.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-034,151bdd8d09c1c0b1fd8779f1e4ad04474591127482714ba32220c6739d4a9823,151bdd8d09c1,1,source/images-near-literal-v002/S-034__151bdd8d09.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-035,d739cb97747b89344d205236e04b2fadfe37f5b542206625ee7a18c92ba05837,d739cb97747b,1,source/images-near-literal-v002/S-035__d739cb9774.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-036,34b70b1c297e80c586f717d78dbfe3636e427b38eaeb80215d15de40b436a45e,34b70b1c297e,1,source/images-near-literal-v002/S-036__34b70b1c29.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-037,db3207f26ed6e7de13aaca52f30f5fce6d64527da8ca619bb3af4f61ea6f5bfd,db3207f26ed6,1,source/images-near-literal-v002/S-037__db3207f26e.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-038,721ccdc21bb8623e5ff57b233322f471fefb3f474bf8dac103cd7ee30565d05e,721ccdc21bb8,1,source/images-near-literal-v002/S-038__721ccdc21b.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-039,7bd0c1f480506f442b55366b0253cc1403c01dd0a08625cf3e4e705f22fcd7e2,7bd0c1f48050,1,source/images-near-literal-v002/S-039__7bd0c1f480.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-040,b3a4e1570aa24b5c53ffdfd1f46e50f86bcf362a0ecdffd87562861a08a86d3a,b3a4e1570aa2,1,source/images-near-literal-v002/S-040__b3a4e1570a.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-041,dfb3bbfdc5c7d930466b28513b148edac65abaddcf74519ca82fc1412105fd98,dfb3bbfdc5c7,1,source/images-near-literal-v002/S-041__dfb3bbfdc5.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-042,09e12c4521afcfe5b0025431adcdcda2a346c2c9dab3dddbde95b1f001954a6e,09e12c4521af,1,source/images-near-literal-v002/S-042__09e12c4521.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-043,f3073749c329b16b994e2b2e5f1b463229e8ccc8f2072f29ef8e7b505d72ef6d,f3073749c329,1,source/images-near-literal-v002/S-043__f3073749c3.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
