source_id,source_num,fileId,fileId_short,x,y,width,height,rotation,opacity,initial_subregion,combined_pass,initial_meaning,nearest_labels_for_search_only,coverage_status,decision_is_final,review_notes,current_region_decision,must_recheck_before_region_close
S-030,30,f13b715a3c88d614791074eb1321ad6ffc764ec0,f13b715a3c,1192.818,13062.665,713.0,482.0,0.0,1,R04-company-domain-deployment-spn-troubleshooting,P02-R03R04-dual-scheme-company-deploy-troubleshooting,"Company/domain setup, IIS Express vs real AD environment, app pool identity/SPN, whoami endpoints, 401/login-prompt troubleshooting.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: company/domain deployment, SPN, whoami/claims, 401/login-prompt troubleshooting.",R04,no-for-r04-v001
S-031,31,83c2a999e812f4bbb05d6feb07d0cb5f69376101,83c2a999e8,2641.684,13102.443,853.0,360.0,0.0,1,R04-company-domain-deployment-spn-troubleshooting,P02-R03R04-dual-scheme-company-deploy-troubleshooting,"Company/domain setup, IIS Express vs real AD environment, app pool identity/SPN, whoami endpoints, 401/login-prompt troubleshooting.",L-001: implementations | L-002: basic info about configuring computers for windows auth,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: company/domain deployment, SPN, whoami/claims, 401/login-prompt troubleshooting.",R04,no-for-r04-v001
S-032,32,cefd6faf8e19f5018fb1c2cb3375d0d49377ed4b,cefd6faf8e,2633.629,13465.665,945.0,398.0,0.0,1,R04-company-domain-deployment-spn-troubleshooting,P02-R03R04-dual-scheme-company-deploy-troubleshooting,"Company/domain setup, IIS Express vs real AD environment, app pool identity/SPN, whoami endpoints, 401/login-prompt troubleshooting.",L-001: implementations | L-002: basic info about configuring computers for windows auth,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: company/domain deployment, SPN, whoami/claims, 401/login-prompt troubleshooting.",R04,no-for-r04-v001
S-029,29,4c1303527dd468b59d50732a0eb7d579e9d3263b,4c1303527d,1185.035,13572.821,992.0,392.0,0.0,1,R04-company-domain-deployment-spn-troubleshooting,P02-R03R04-dual-scheme-company-deploy-troubleshooting,"Company/domain setup, IIS Express vs real AD environment, app pool identity/SPN, whoami endpoints, 401/login-prompt troubleshooting.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: company/domain deployment, SPN, whoami/claims, 401/login-prompt troubleshooting.",R04,no-for-r04-v001
S-033,33,161f386d06921b50a20b89d52120a76a9036714c,161f386d06,2649.916,13869.287,723.0,482.0,0.0,1,R04-company-domain-deployment-spn-troubleshooting,P02-R03R04-dual-scheme-company-deploy-troubleshooting,"Company/domain setup, IIS Express vs real AD environment, app pool identity/SPN, whoami endpoints, 401/login-prompt troubleshooting.",L-001: implementations | L-002: basic info about configuring computers for windows auth,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: company/domain deployment, SPN, whoami/claims, 401/login-prompt troubleshooting.",R04,no-for-r04-v001
S-028,28,95f93bd43b1b1b690789a75b2d6ae00ba1d53e3d,95f93bd43b,1230.202,13966.488,985.0,308.0,0.0,1,R04-company-domain-deployment-spn-troubleshooting,P02-R03R04-dual-scheme-company-deploy-troubleshooting,"Company/domain setup, IIS Express vs real AD environment, app pool identity/SPN, whoami endpoints, 401/login-prompt troubleshooting.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: company/domain deployment, SPN, whoami/claims, 401/login-prompt troubleshooting.",R04,no-for-r04-v001
S-027,27,68e2c7b178684de2420fe05358a98d2f03a48db8,68e2c7b178,1269.035,14292.543,944.0,477.0,0.0,1,R04-company-domain-deployment-spn-troubleshooting,P02-R03R04-dual-scheme-company-deploy-troubleshooting,"Company/domain setup, IIS Express vs real AD environment, app pool identity/SPN, whoami endpoints, 401/login-prompt troubleshooting.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: company/domain deployment, SPN, whoami/claims, 401/login-prompt troubleshooting.",R04,no-for-r04-v001
S-034,34,37dfbb2636b305bfb58f16818eda97faca6f96d6,37dfbb2636,2637.528,14326.62,887.0,482.0,0.0,1,R04-company-domain-deployment-spn-troubleshooting,P02-R03R04-dual-scheme-company-deploy-troubleshooting,"Company/domain setup, IIS Express vs real AD environment, app pool identity/SPN, whoami endpoints, 401/login-prompt troubleshooting.",L-001: implementations | L-002: basic info about configuring computers for windows auth,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: company/domain deployment, SPN, whoami/claims, 401/login-prompt troubleshooting.",R04,no-for-r04-v001
S-035,35,a553051bef9bf8d3ec0974987b778c4d3fcdacae,a553051bef,2647.296,14814.276,963.0,451.0,0.0,1,R04-company-domain-deployment-spn-troubleshooting,P02-R03R04-dual-scheme-company-deploy-troubleshooting,"Company/domain setup, IIS Express vs real AD environment, app pool identity/SPN, whoami endpoints, 401/login-prompt troubleshooting.",L-001: implementations | L-002: basic info about configuring computers for windows auth,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: company/domain deployment, SPN, whoami/claims, 401/login-prompt troubleshooting.",R04,no-for-r04-v001
S-036,36,679f21defc36852e7a747a2b8af7cbc9b81fe41b,679f21defc,2655.796,15271.443,1090.0,430.0,0.0,1,R04-company-domain-deployment-spn-troubleshooting,P02-R03R04-dual-scheme-company-deploy-troubleshooting,"Company/domain setup, IIS Express vs real AD environment, app pool identity/SPN, whoami endpoints, 401/login-prompt troubleshooting.",L-001: implementations | L-002: basic info about configuring computers for windows auth,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: company/domain deployment, SPN, whoami/claims, 401/login-prompt troubleshooting.",R04,no-for-r04-v001
S-037,37,5150f941916f47f2cee68c0b7c9176802bdb3459,5150f94191,2657.296,15703.61,1127.0,371.0,0.0,1,R04-company-domain-deployment-spn-troubleshooting,P02-R03R04-dual-scheme-company-deploy-troubleshooting,"Company/domain setup, IIS Express vs real AD environment, app pool identity/SPN, whoami endpoints, 401/login-prompt troubleshooting.",L-001: implementations | L-002: basic info about configuring computers for windows auth,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: company/domain deployment, SPN, whoami/claims, 401/login-prompt troubleshooting.",R04,no-for-r04-v001
