source_id,source_num,fileId,fileId_short,x,y,width,height,rotation,opacity,initial_subregion,combined_pass,initial_meaning,nearest_labels_for_search_only,coverage_status,decision_is_final,review_notes,current_region_decision,must_recheck_before_region_close
S-014,14,f193cd522d2e91955bad83444045e876bafaff62,f193cd522d,1270.428,3131.134,751.0,482.0,0.0,1,R02-aspnet-core-iis-negotiate-basic-implementation,P01-R02-aspnet-core-iis-negotiate-implementation,"ASP.NET Core setup, AddAuthentication/AddNegotiate, Authorize attributes, IIS/IIS Express Windows Authentication switches.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review: ASP.NET Core/IIS/IIS Express Negotiate implementation.,R02,no-for-r02-v001
S-013,13,e9a75ebe63246f4203ad25a222a6549766770620,e9a75ebe63,1271.5,3615.101,909.0,369.0,0.0,1,R02-aspnet-core-iis-negotiate-basic-implementation,P01-R02-aspnet-core-iis-negotiate-implementation,"ASP.NET Core setup, AddAuthentication/AddNegotiate, Authorize attributes, IIS/IIS Express Windows Authentication switches.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review: ASP.NET Core/IIS/IIS Express Negotiate implementation.,R02,no-for-r02-v001
S-012,12,1b4604c3be1a23f6af26edb7ecfd5a7803391094,1b4604c3be,1274.577,3979.746,843.0,389.0,0.0,1,R02-aspnet-core-iis-negotiate-basic-implementation,P01-R02-aspnet-core-iis-negotiate-implementation,"ASP.NET Core setup, AddAuthentication/AddNegotiate, Authorize attributes, IIS/IIS Express Windows Authentication switches.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review: ASP.NET Core/IIS/IIS Express Negotiate implementation.,R02,no-for-r02-v001
S-011,11,366bfcb1f56159d70241d2112faee3e99a689b4f,366bfcb1f5,1261.652,4350.559,854.0,384.0,0.0,1,R02-aspnet-core-iis-negotiate-basic-implementation,P01-R02-aspnet-core-iis-negotiate-implementation,"ASP.NET Core setup, AddAuthentication/AddNegotiate, Authorize attributes, IIS/IIS Express Windows Authentication switches.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review: ASP.NET Core/IIS/IIS Express Negotiate implementation.,R02,no-for-r02-v001
S-047,47,1b8c6b69129f60fba700b9902ae85fb0f067b84f,1b8c6b6912,10.0,8503.763,910.0,357.0,0.0,1,R02-aspnet-core-iis-negotiate-basic-implementation,P01-R02-aspnet-core-iis-negotiate-implementation,"ASP.NET Core setup, AddAuthentication/AddNegotiate, Authorize attributes, IIS/IIS Express Windows Authentication switches.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review: ASP.NET Core/IIS/IIS Express Negotiate implementation.,R02,no-for-r02-v001
S-041,41,16ed66e2e928bcade641599a8033e43a9ad30924,16ed66e2e9,1336.262,8674.911,1011.0,399.0,0.0,1,R02-aspnet-core-iis-negotiate-basic-implementation,P01-R02-aspnet-core-iis-negotiate-implementation,"ASP.NET Core setup, AddAuthentication/AddNegotiate, Authorize attributes, IIS/IIS Express Windows Authentication switches.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review: ASP.NET Core/IIS/IIS Express Negotiate implementation.,R02,no-for-r02-v001
S-046,46,dc41e59ea9c73dbbf7220642097ce1f33050cbab,dc41e59ea9,41.31,8887.033,916.0,482.0,0.0,1,R02-aspnet-core-iis-negotiate-basic-implementation,P01-R02-aspnet-core-iis-negotiate-implementation,"ASP.NET Core setup, AddAuthentication/AddNegotiate, Authorize attributes, IIS/IIS Express Windows Authentication switches.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review: ASP.NET Core/IIS/IIS Express Negotiate implementation.,R02,no-for-r02-v001
S-042,42,0c214067711d4c8ba64aa0512f49775724ffbb2a,0c21406771,1350.651,9089.485,1000.0,278.0,0.0,1,R02-aspnet-core-iis-negotiate-basic-implementation,P01-R02-aspnet-core-iis-negotiate-implementation,"ASP.NET Core setup, AddAuthentication/AddNegotiate, Authorize attributes, IIS/IIS Express Windows Authentication switches.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review: ASP.NET Core/IIS/IIS Express Negotiate implementation.,R02,no-for-r02-v001
S-045,45,986c70a4d9d9e7a227e4dc6104b9ff2568d6897b,986c70a4d9,59.907,9376.744,985.0,214.0,0.0,1,R02-aspnet-core-iis-negotiate-basic-implementation,P01-R02-aspnet-core-iis-negotiate-implementation,"ASP.NET Core setup, AddAuthentication/AddNegotiate, Authorize attributes, IIS/IIS Express Windows Authentication switches.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review: ASP.NET Core/IIS/IIS Express Negotiate implementation.,R02,no-for-r02-v001
S-043,43,91b49748e8216c1c3019b4d63d3760168e110be4,91b49748e8,1344.005,9382.884,1010.0,482.0,0.0,1,R02-aspnet-core-iis-negotiate-basic-implementation,P01-R02-aspnet-core-iis-negotiate-implementation,"ASP.NET Core setup, AddAuthentication/AddNegotiate, Authorize attributes, IIS/IIS Express Windows Authentication switches.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review: ASP.NET Core/IIS/IIS Express Negotiate implementation.,R02,no-for-r02-v001
