source_id,source_num,fileId,fileId_short,x,y,width,height,rotation,opacity,initial_subregion,combined_pass,initial_meaning,nearest_labels_for_search_only,coverage_status,decision_is_final,review_notes,current_region_decision,must_recheck_before_region_close
S-001,1,fa5f3584ab8572151d5328f8fb34fd116331fec6,fa5f3584ab,1300.179,640.059,1037.0,202.0,0.0,1,R01-core-windows-auth-model-ad-kerberos-ntlm,P01-R01-core-model-and-aspnet-hosting-basics,"Windows Authentication concept, Active Directory, Kerberos/NTLM, intranet/public-site constraints, request-flow basics.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r01-v001,yes-for-r01-v001-boundary,"R01 processed after P01 boundary review: Windows Auth model, domain, AD, Kerberos/NTLM, request flow.",R01,no-for-r01-v001
S-002,2,524f0a19efc99606709a37a540acfe390ed4e275,524f0a19ef,1268.069,293.889,980.0,321.0,0.0,1,R01-core-windows-auth-model-ad-kerberos-ntlm,P01-R01-core-model-and-aspnet-hosting-basics,"Windows Authentication concept, Active Directory, Kerberos/NTLM, intranet/public-site constraints, request-flow basics.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r01-v001,yes-for-r01-v001-boundary,"R01 processed after P01 boundary review: Windows Auth model, domain, AD, Kerberos/NTLM, request flow.",R01,no-for-r01-v001
S-003,3,d2f9d27cfdafca595badefff838dc9c5fda89493,d2f9d27cfd,1266.328,10.0,988.0,231.0,0.0,1,R01-core-windows-auth-model-ad-kerberos-ntlm,P01-R01-core-model-and-aspnet-hosting-basics,"Windows Authentication concept, Active Directory, Kerberos/NTLM, intranet/public-site constraints, request-flow basics.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r01-v001,yes-for-r01-v001-boundary,"R01 processed after P01 boundary review: Windows Auth model, domain, AD, Kerberos/NTLM, request flow.",R01,no-for-r01-v001
S-018,18,bffe844253b5379d09b2c87f53a06585787234bf,bffe844253,1200.999,1714.927,1037.0,202.0,0.0,1,R01-core-windows-auth-model-ad-kerberos-ntlm,P01-R01-core-model-and-aspnet-hosting-basics,"Windows Authentication concept, Active Directory, Kerberos/NTLM, intranet/public-site constraints, request-flow basics.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r01-v001,yes-for-r01-v001-boundary,"R01 processed after P01 boundary review: Windows Auth model, domain, AD, Kerberos/NTLM, request flow.",R01,no-for-r01-v001
S-019,19,524f0a19efc99606709a37a540acfe390ed4e275,524f0a19ef,1185.212,1347.811,980.0,321.0,0.0,1,R01-core-windows-auth-model-ad-kerberos-ntlm,P01-R01-core-model-and-aspnet-hosting-basics,"Windows Authentication concept, Active Directory, Kerberos/NTLM, intranet/public-site constraints, request-flow basics.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r01-v001,yes-for-r01-v001-boundary,"R01 processed after P01 boundary review: Windows Auth model, domain, AD, Kerberos/NTLM, request flow.",R01,no-for-r01-v001
S-020,20,d2f9d27cfdafca595badefff838dc9c5fda89493,d2f9d27cfd,1191.984,1089.983,988.0,231.0,0.0,1,R01-core-windows-auth-model-ad-kerberos-ntlm,P01-R01-core-model-and-aspnet-hosting-basics,"Windows Authentication concept, Active Directory, Kerberos/NTLM, intranet/public-site constraints, request-flow basics.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r01-v001,yes-for-r01-v001-boundary,"R01 processed after P01 boundary review: Windows Auth model, domain, AD, Kerberos/NTLM, request flow.",R01,no-for-r01-v001
S-017,17,151f8a5464a2f4aca90b2343f55ee2a0b98f83ab,151f8a5464,1236.234,1964.976,888.0,482.0,0.0,1,R01-core-windows-auth-model-ad-kerberos-ntlm,P01-R01-core-model-and-aspnet-hosting-basics,"Windows Authentication concept, Active Directory, Kerberos/NTLM, intranet/public-site constraints, request-flow basics.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r01-v001,yes-for-r01-v001-boundary,"R01 processed after P01 boundary review: Windows Auth model, domain, AD, Kerberos/NTLM, request flow.",R01,no-for-r01-v001
S-016,16,d8d9f1d2613bb95ec446bf38ce2ad93ed43dbc9f,d8d9f1d261,1222.594,2478.466,972.0,482.0,0.0,1,R01-core-windows-auth-model-ad-kerberos-ntlm,P01-R01-core-model-and-aspnet-hosting-basics,"Windows Authentication concept, Active Directory, Kerberos/NTLM, intranet/public-site constraints, request-flow basics.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r01-v001,yes-for-r01-v001-boundary,"R01 processed after P01 boundary review: Windows Auth model, domain, AD, Kerberos/NTLM, request flow.",R01,no-for-r01-v001
S-015,15,b76ca0717af8d3395e61cd0a42509cf46fc01bba,b76ca0717a,1220.939,2970.345,966.0,109.0,0.0,1,R01-core-windows-auth-model-ad-kerberos-ntlm,P01-R01-core-model-and-aspnet-hosting-basics,"Windows Authentication concept, Active Directory, Kerberos/NTLM, intranet/public-site constraints, request-flow basics.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r01-v001,yes-for-r01-v001-boundary,"R01 processed after P01 boundary review: Windows Auth model, domain, AD, Kerberos/NTLM, request flow.",R01,no-for-r01-v001
S-010,10,d2a16de9204bcacc12a0010f1d77b2655709e676,d2a16de920,1254.78,4763.808,912.0,482.0,0.0,1,R01-core-windows-auth-model-ad-kerberos-ntlm,P01-R01-core-model-and-aspnet-hosting-basics,"Windows Authentication concept, Active Directory, Kerberos/NTLM, intranet/public-site constraints, request-flow basics.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r01-v001,yes-for-r01-v001-boundary,"R01 processed after P01 boundary review: Windows Auth model, domain, AD, Kerberos/NTLM, request flow.",R01,no-for-r01-v001
S-009,9,2755bb9bc89d4b3971436e2c1804c706ecbc586c,2755bb9bc8,1260.98,5264.302,986.0,164.0,0.0,1,R01-core-windows-auth-model-ad-kerberos-ntlm,P01-R01-core-model-and-aspnet-hosting-basics,"Windows Authentication concept, Active Directory, Kerberos/NTLM, intranet/public-site constraints, request-flow basics.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r01-v001,yes-for-r01-v001-boundary,"R01 processed after P01 boundary review: Windows Auth model, domain, AD, Kerberos/NTLM, request flow.",R01,no-for-r01-v001
S-008,8,aa3bfb34bf4d4b35474cbd8690e1db2c7e674182,aa3bfb34bf,1296.059,5504.798,958.0,448.0,0.0,1,R01-core-windows-auth-model-ad-kerberos-ntlm,P01-R01-core-model-and-aspnet-hosting-basics,"Windows Authentication concept, Active Directory, Kerberos/NTLM, intranet/public-site constraints, request-flow basics.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r01-v001,yes-for-r01-v001-boundary,"R01 processed after P01 boundary review: Windows Auth model, domain, AD, Kerberos/NTLM, request flow.",R01,no-for-r01-v001
S-007,7,e6fb8db232a89da8f9009cc4100a0bd0479380f9,e6fb8db232,1315.037,5970.883,974.0,428.0,0.0,1,R01-core-windows-auth-model-ad-kerberos-ntlm,P01-R01-core-model-and-aspnet-hosting-basics,"Windows Authentication concept, Active Directory, Kerberos/NTLM, intranet/public-site constraints, request-flow basics.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r01-v001,yes-for-r01-v001-boundary,"R01 processed after P01 boundary review: Windows Auth model, domain, AD, Kerberos/NTLM, request flow.",R01,no-for-r01-v001
