item_type,item_id,secondary_id,sha256,region_id,status,restored,assignment_count,evidence
image_use,S-001,IU-001,3de2f5576bb2d78b7f2a36fe255c8fec81a98d51f945521ea4eae017e2d8124a,R04,processed-semantic-transcript,True,1,"Repeated warning: shaped fields may omit Id, so link generation cannot safely index the shaped dictionary."
image_use,S-002,IU-002,3de2f5576bb2d78b7f2a36fe255c8fec81a98d51f945521ea4eae017e2d8124a,R04,processed-semantic-transcript,True,1,Second placement of the same data-shaping Id warning.
image_use,S-003,IU-003,0cce589795490715dcd35fc5870dec9c34639541cd3a124162ca459a69f5229e,R02,processed-semantic-transcript,True,1,Clients still need a stable relation-name vocabulary even when they do not hardcode every URL.
image_use,S-004,IU-004,190cf334f698c46158ad2e89d5dfce22de5fc618416bdeaa024fd1127f1cc420,R01,processed-semantic-transcript,True,1,HATEOAS is mainly machine-facing; clients use returned links to choose the next action.
image_use,S-005,IU-005,4434bf284113cbd153d365f0b5c0709359195b871b14bdcd261c39f4146b16cb,R01,processed-semantic-transcript,True,1,Problem statement: tightly coupled clients hardcode URLs and backend workflow rules.
image_use,S-006,IU-006,36c64fea5c7d7353aa1cb95352bc90760ad2707ceb98e5d51238c036a605f12d,R01,processed-semantic-transcript,True,1,Practical comparison of workflow knowledge without and with HATEOAS.
image_use,S-007,IU-007,ba79787b6670e2a0411cabfb741b5366c176e68464928bebf4eb83d5a90fc057,R05,processed-semantic-transcript,True,1,Pagination metadata example separated from navigation controls.
image_use,S-008,IU-008,7e645d3f820125afed6e8d3977b559948f2c0e4a6de7f6a52af257d1f1989cf4,R01,processed-semantic-transcript,True,1,"Goals: discoverability, lower coupling, state awareness, evolvability, and self-description."
image_use,S-009,IU-009,28a50b9d9ef7eb5f5a3a06eeb3804ee596cd66f47db6b2de28fdd7d2ad1cfd3d,R05,processed-semantic-transcript,True,1,Example pagination links with previous-page and next-page relations.
image_use,S-010,IU-010,d570a373ae6cfd4efb8790d984ec779663c188b6055f6d188585ee487c1aa3ca,R01,processed-semantic-transcript,True,1,Course title slide introducing HATEOAS.
