label_id,region,text,x,y,font_size
T001,R03,!!!!,5717.76447812113,2428.6683074791567,118.00000000000001px
T002,R04,so when we,5931.269095430701,2361.4969868614808,20px
T003,R04,iterate over,5931.269095430701,2386.4969868614808,20px
T004,R04,iqueryable,5931.269095430701,2411.4969868614808,20px
T005,R04,we call db on each item,5931.269095430701,2436.4969868614808,20px
T006,R04,detecting slow queries,5957.550187852649,104.88697889539938,107.70372178819453px
T007,R04,Compiled queries,5910.142690022788,984.8869788954012,107.70372178819453px
T008,R04,N + 1,6298.290883382162,2152.2943410915827,107.70372178819453px
T009,R04,Batching,6204.957550048828,3327.109133300784,107.70372178819453px
T010,R03,without compiled linq,4528.465379503038,894.1779126557872,107.70372178819453px
T011,R03,Compiled query for async i/o,4297.58214340862,1582.8388743611836,107.70372178819453px
T012,R03,compiled query exec hit db,4197.183265620825,3581.6992123603154,107.70372178819453px
T013,R02,decision rule,3696.0844852508035,807.5112605213003,107.70372178819453px
T014,R02,when good,2890.158595493862,691.3630603802408,107.70372178819453px
T015,R02,hot,2916.825343540737,899.363121415397,107.70372178819453px
T016,R02,not hot,1752.0634678431925,860.315531432138,107.70372178819453px
T017,R01,dynamic shape(statements),1387.7777099609375,1327.6964583817767,107.70372178819453px
T018,R02,many optional filters,1436.666666666666,1974.3632267737034,107.70372178819453px
T019,R01,if and compiled queries,10.0,1305.4743209306043,107.70372178819453px
T020,R01,condition as parameter,78.88875325520894,1936.5854659501356,107.70372178819453px
T021,R01,in fixed shape,78.88875325520894,2071.2151181853787,107.70372178819453px
T022,R02,hot,2895.492091587612,1547.363121415397,107.70372178819453px
T023,R02,"inside infrastructure,",2868.825424920944,2425.140882238964,107.70372178819453px
T024,R02,library code,2868.825424920944,2559.770534474207,107.70372178819453px
T025,R02,when bad,1770.1585954938619,686.0296863568033,107.70372178819453px
T026,R04,maxbatchsize,7121.994632297092,3301.923993326826,107.70372178819453px
