source_id,order_in_group,group_key,region,candidate_status,decision,meaning,image_use_id,fileId_short,x,y,width,height,nearest_labels_for_search_only
S-001,1,HTTPCONTENT-R01-httpcontent-basics-readasstream-buffering,HTTPCONTENT-R01,httpcontent-r01-candidate-stage0,candidate-not-final-stage0-boundary-only,"HttpContent basics: content body abstraction, headers/content type, ReadAsStreamAsync, ReadAsByteArrayAsync, buffering behavior, and one-shot stream considerations.",IU-001,e9e67fd860,289.959,697.017,998.0,478.0,read normally | there is normal content and you apply headersread and | you dont use this content to readasstream | get compression | you can use this content to avoid buffering and | without buffering bytees to memorystream | into network stream directly | allow compression | custom httpcontent to | setstream(respoinsebodystream) | special httpcontent type | there is optoin set
S-002,2,HTTPCONTENT-R01-httpcontent-basics-readasstream-buffering,HTTPCONTENT-R01,httpcontent-r01-candidate-stage0,candidate-not-final-stage0-boundary-only,"HttpContent basics: content body abstraction, headers/content type, ReadAsStreamAsync, ReadAsByteArrayAsync, buffering behavior, and one-shot stream considerations.",IU-002,d440e19027,1990.171,737.788,890.0,244.0,"setstream(respoinsebodystream) | special httpcontent type | there is optoin set | we dont buffer when | how exactly | read normally | there is normal content and you apply headersread and | you dont use this content to readasstream | get compression | you can use this content to avoid buffering and | !!! | and how, loadinbuffer, overriding methods,custom httpcontent"
S-003,3,HTTPCONTENT-R01-httpcontent-basics-readasstream-buffering,HTTPCONTENT-R01,httpcontent-r01-candidate-stage0,candidate-not-final-stage0-boundary-only,"HttpContent basics: content body abstraction, headers/content type, ReadAsStreamAsync, ReadAsByteArrayAsync, buffering behavior, and one-shot stream considerations.",IU-003,8efef490bb,4056.49,782.212,922.0,166.0,"and how, loadinbuffer, overriding methods,custom httpcontent | when httpcontent.Readasstreamasync buffers | setstream(respoinsebodystream) | special httpcontent type | there is optoin set | we dont buffer when | how exactly | read normally | there is normal content and you apply headersread and | you dont use this content to readasstream | !!! | get compression"
S-004,4,HTTPCONTENT-R01-httpcontent-basics-readasstream-buffering,HTTPCONTENT-R01,httpcontent-r01-candidate-stage0,candidate-not-final-stage0-boundary-only,"HttpContent basics: content body abstraction, headers/content type, ReadAsStreamAsync, ReadAsByteArrayAsync, buffering behavior, and one-shot stream considerations.",IU-004,249ebc1d21,4047.824,972.712,966.0,265.0,"and how, loadinbuffer, overriding methods,custom httpcontent | when httpcontent.Readasstreamasync buffers | setstream(respoinsebodystream) | special httpcontent type | there is optoin set | we dont buffer when | how exactly | !!! | read normally | there is normal content and you apply headersread and | you dont use this content to readasstream | get compression"
S-005,5,HTTPCONTENT-R01-httpcontent-basics-readasstream-buffering,HTTPCONTENT-R01,httpcontent-r01-candidate-stage0,candidate-not-final-stage0-boundary-only,"HttpContent basics: content body abstraction, headers/content type, ReadAsStreamAsync, ReadAsByteArrayAsync, buffering behavior, and one-shot stream considerations.",IU-005,e9f1a546bd,1983.43,976.64,942.0,270.0,"setstream(respoinsebodystream) | special httpcontent type | there is optoin set | we dont buffer when | how exactly | !!! | read normally | there is normal content and you apply headersread and | you dont use this content to readasstream | get compression | you can use this content to avoid buffering and | and how, loadinbuffer, overriding methods,custom httpcontent"
S-006,6,HTTPCONTENT-R01-httpcontent-basics-readasstream-buffering,HTTPCONTENT-R01,httpcontent-r01-candidate-stage0,candidate-not-final-stage0-boundary-only,"HttpContent basics: content body abstraction, headers/content type, ReadAsStreamAsync, ReadAsByteArrayAsync, buffering behavior, and one-shot stream considerations.",IU-006,67fba478a1,302.84,1193.548,917.0,377.0,read normally | there is normal content and you apply headersread and | you dont use this content to readasstream | get compression | you can use this content to avoid buffering and | without buffering bytees to memorystream | into network stream directly | allow compression | !!! | custom httpcontent to | setstream(respoinsebodystream) | special httpcontent type
S-007,7,HTTPCONTENT-R01-httpcontent-basics-readasstream-buffering,HTTPCONTENT-R01,httpcontent-r01-candidate-stage0,candidate-not-final-stage0-boundary-only,"HttpContent basics: content body abstraction, headers/content type, ReadAsStreamAsync, ReadAsByteArrayAsync, buffering behavior, and one-shot stream considerations.",IU-007,a569e9a601,1960.875,1257.436,916.0,221.0,"!!! | setstream(respoinsebodystream) | special httpcontent type | there is optoin set | we dont buffer when | how exactly | read normally | there is normal content and you apply headersread and | you dont use this content to readasstream | get compression | you can use this content to avoid buffering and | and how, loadinbuffer, overriding methods,custom httpcontent"
S-008,8,HTTPCONTENT-R01-httpcontent-basics-readasstream-buffering,HTTPCONTENT-R01,httpcontent-r01-candidate-stage0,candidate-not-final-stage0-boundary-only,"HttpContent basics: content body abstraction, headers/content type, ReadAsStreamAsync, ReadAsByteArrayAsync, buffering behavior, and one-shot stream considerations.",IU-008,c6780c5f5f,4110.328,1306.983,648.0,482.0,"and how, loadinbuffer, overriding methods,custom httpcontent | when httpcontent.Readasstreamasync buffers | !!! | setstream(respoinsebodystream) | special httpcontent type | there is optoin set | we dont buffer when | how exactly | read normally | there is normal content and you apply headersread and | you dont use this content to readasstream | get compression"
S-009,9,HTTPCONTENT-R01-httpcontent-basics-readasstream-buffering,HTTPCONTENT-R01,httpcontent-r01-candidate-stage0,candidate-not-final-stage0-boundary-only,"HttpContent basics: content body abstraction, headers/content type, ReadAsStreamAsync, ReadAsByteArrayAsync, buffering behavior, and one-shot stream considerations.",IU-009,96bcfc6d4f,1932.689,1538.177,922.0,181.0,"!!! | setstream(respoinsebodystream) | special httpcontent type | there is optoin set | we dont buffer when | how exactly | read normally | there is normal content and you apply headersread and | you dont use this content to readasstream | get compression | you can use this content to avoid buffering and | and how, loadinbuffer, overriding methods,custom httpcontent"
S-010,1,HTTPCONTENT-R02-custom-httpcontent-serialize-stream,HTTPCONTENT-R02,httpcontent-r02-candidate-stage0,candidate-not-final-stage0-boundary-only,"Custom HttpContent: deriving from HttpContent, SerializeToStreamAsync, TryComputeLength, writing directly to outgoing stream, and avoiding pre-buffering.",IU-010,a23510d627,315.007,1615.62,866.0,390.0,!!! | read normally | there is normal content and you apply headersread and | you dont use this content to readasstream | get compression | you can use this content to avoid buffering and | without buffering bytees to memorystream | into network stream directly | allow compression | custom httpcontent to | setstream(respoinsebodystream) | special httpcontent type
S-011,2,HTTPCONTENT-R02-custom-httpcontent-serialize-stream,HTTPCONTENT-R02,httpcontent-r02-candidate-stage0,candidate-not-final-stage0-boundary-only,"Custom HttpContent: deriving from HttpContent, SerializeToStreamAsync, TryComputeLength, writing directly to outgoing stream, and avoiding pre-buffering.",IU-011,6a1bc8d4bf,4103.141,1800.216,856.0,482.0,"and how, loadinbuffer, overriding methods,custom httpcontent | when httpcontent.Readasstreamasync buffers | !!! | setstream(respoinsebodystream) | special httpcontent type | there is optoin set | we dont buffer when | how exactly | read normally | there is normal content and you apply headersread and | you dont use this content to readasstream | get compression"
