source_id,region,coverage_status,decision_is_final,must_recheck_before_region_close,bad_placeholder_signal_found,closure_ok
S-001,HTTPCONTENT-R01,processed-in-httpcontent-r01-v001,yes-for-httpcontent-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-002,HTTPCONTENT-R01,processed-in-httpcontent-r01-v001,yes-for-httpcontent-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-003,HTTPCONTENT-R01,processed-in-httpcontent-r01-v001,yes-for-httpcontent-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-004,HTTPCONTENT-R01,processed-in-httpcontent-r01-v001,yes-for-httpcontent-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-005,HTTPCONTENT-R01,processed-in-httpcontent-r01-v001,yes-for-httpcontent-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-006,HTTPCONTENT-R01,processed-in-httpcontent-r01-v001,yes-for-httpcontent-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-007,HTTPCONTENT-R01,processed-in-httpcontent-r01-v001,yes-for-httpcontent-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-008,HTTPCONTENT-R01,processed-in-httpcontent-r01-v001,yes-for-httpcontent-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-009,HTTPCONTENT-R01,processed-in-httpcontent-r01-v001,yes-for-httpcontent-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-010,HTTPCONTENT-R02,processed-in-httpcontent-r02-v001,yes-for-httpcontent-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-011,HTTPCONTENT-R02,processed-in-httpcontent-r02-v001,yes-for-httpcontent-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-012,HTTPCONTENT-R02,processed-in-httpcontent-r02-v001,yes-for-httpcontent-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-013,HTTPCONTENT-R02,processed-in-httpcontent-r02-v001,yes-for-httpcontent-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-014,HTTPCONTENT-R02,processed-in-httpcontent-r02-v001,yes-for-httpcontent-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-015,HTTPCONTENT-R02,processed-in-httpcontent-r02-v001,yes-for-httpcontent-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-016,HTTPCONTENT-R02,processed-in-httpcontent-r02-v001,yes-for-httpcontent-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-017,HTTPCONTENT-R02,processed-in-httpcontent-r02-v001,yes-for-httpcontent-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-018,HTTPCONTENT-R02,processed-in-httpcontent-r02-v001,yes-for-httpcontent-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-019,HTTPCONTENT-R03,processed-in-httpcontent-r03-v001,yes-for-httpcontent-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-020,HTTPCONTENT-R03,processed-in-httpcontent-r03-v001,yes-for-httpcontent-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-021,HTTPCONTENT-R03,processed-in-httpcontent-r03-v001,yes-for-httpcontent-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-022,HTTPCONTENT-R03,processed-in-httpcontent-r03-v001,yes-for-httpcontent-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-023,HTTPCONTENT-R03,processed-in-httpcontent-r03-v001,yes-for-httpcontent-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-024,HTTPCONTENT-R03,processed-in-httpcontent-r03-v001,yes-for-httpcontent-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-025,HTTPCONTENT-R03,processed-in-httpcontent-r03-v001,yes-for-httpcontent-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-026,HTTPCONTENT-R03,processed-in-httpcontent-r03-v001,yes-for-httpcontent-r03-stage1,no-for-stage1-semantic-transcript,no,yes
