source_id,image_use_id,fileId_short,sha256_12,candidate_region,x,y,width,height,status,transcript_stage,notes,final_region
S-001,IU-001,ab0dc905d6,8e3abebdb074,R01,393.9288318340591,41.18585896299055,374.0,297.0,processed-in-r01r02-final-v001,stage1-r01r02-final-coverage-v001,"Slide frames “Encapsulating the DbContext”: encapsulation protects data integrity and reduces a class API surface. The note says this applies to all code, not only domain model code.",R01
S-002,IU-002,66a78000fd,1983458ba755,R01,384.9675547281895,479.6915390236377,475.0,80.0,processed-in-r01r02-final-v001,stage1-r01r02-final-coverage-v001,"Shows Program.cs/AddDbContext registering SchoolContext and configuring UseSqlServer, UseLoggerFactory and EnableSensitiveDataLogging directly in the application startup surface.",R01
S-003,IU-003,cfd901047f,7d33c00628d6,R01,382.5894724527989,560.4620125286006,661.0,79.0,processed-in-r01r02-final-v001,stage1-r01r02-final-coverage-v001,"Shows CreateLoggerFactory filtering EF Core database command logs and writing to console, making logging configuration part of the DbContext setup details.",R01
S-004,IU-004,5cccd98167,de6ae5340860,R01,384.268509635956,656.3594121299889,554.0,277.0,processed-in-r01r02-final-v001,stage1-r01r02-final-coverage-v001,Console output screenshot highlights SQL command logging including parameter values; this motivates the warning that sensitive-data logging can expose query parameters.,R01
S-005,IU-005,fb263951ba,d8937e40c488,R01,405.758936564127,1119.4760066672884,424.0,91.0,processed-in-r01r02-final-v001,stage1-r01r02-final-coverage-v001,Text rule: only use parameters that change depending on the environment.,R01
S-006,IU-006,d2357ff0a8,8c8fc7be56fd,R01,401.38669606365147,1230.9609095178153,523.0,220.0,processed-in-r01r02-final-v001,stage1-r01r02-final-coverage-v001,"Shows SchoolContext with private readonly fields _connectionString and _useConsoleLogger, DbSet properties, and a constructor accepting string connectionString and bool useConsoleLogger.",R01
S-007,IU-007,88f8f50d72,25efa4ed9d6f,R01,399.6755077427024,1476.4217400563925,519.0,376.0,processed-in-r01r02-final-v001,stage1-r01r02-final-coverage-v001,"Shows OnConfiguring inside SchoolContext: UseSqlServer(_connectionString), then selects logging behavior based on _useConsoleLogger using CreateLoggerFactory or CreateEmptyLoggerFactory. This moves EF configuration detail from Program.cs into DbContext.",R01
S-008,IU-008,f2d7397ef7,7f5be7d3eee2,R02,1339.6996138074876,10.0,669.0,39.0,processed-in-r01r02-final-v001,stage1-r01r02-final-coverage-v001,"Shows a smaller AddScoped registration that constructs SchoolContext with builder.Configuration[""ConnectionString""] and a boolean flag, instead of exposing the whole options-builder chain.",R02
S-009,IU-009,6fe7a5ce37,f3830357d029,R02,1346.831006740207,61.630600162854535,422.0,312.0,processed-in-r01r02-final-v001,stage1-r01r02-final-coverage-v001,"Recap slide: DbContext is encapsulated; the conventional AddDbContext options approach leaves too much room for data/configuration inconsistencies, similar to public setters.",R02
S-010,IU-010,0c3013c9bc,3d12230f42c0,R02,1350.0523907454146,376.0639305863224,430.0,264.0,processed-in-r01r02-final-v001,stage1-r01r02-final-coverage-v001,"Recap slide distinguishes simple configuration, which can stay as-is, from complex configuration, which is better to encapsulate.",R02
S-011,IU-011,faedf62575,8eae842b0e4d,R02,1353.1309398704627,665.2691131931206,464.0,294.0,processed-in-r01r02-final-v001,stage1-r01r02-final-coverage-v001,"Recap slide: the possible configuration options are reduced to a minimum. The client sees constructor parameters such as connectionString and useConsoleLogger, while EF configuration complexity is abstracted and encapsulated inside DbContext.",R02
S-012,IU-012,3bd6a86fc4,011bfaf11944,R02,1352.0250606179914,980.9331258804598,447.0,278.0,processed-in-r01r02-final-v001,stage1-r01r02-final-coverage-v001,Recap slide: registering with AddScoped factory configures the DbContext as a scoped dependency; the two registration styles are equivalent in terms of DbContext lifetime.,R02
S-013,IU-013,f820c9fd00,6e8f2a3aa795,R02,1345.215589480357,1285.3847461766636,415.0,220.0,processed-in-r01r02-final-v001,stage1-r01r02-final-coverage-v001,"Summary slide: encapsulated DbContext usage bundles dependencies and operations together, moves configuration logic to the DbContext, and encourages looking for encapsulation opportunities throughout code.",R02
