region_source_id,source_id,image_use_id,fileId_short,region,x,y,width,height,status,readability,confidence,topic,summary,nearest_labels,notes
R01R02-S-001,S-001,IU-001,ab0dc905d6,R01,393.9288318340591,41.18585896299055,374.0,297.0,processed-in-r01r02-final-v001,high,high,opening thesis: encapsulation applies to DbContext/configuration too,"Slide frames “Encapsulating the DbContext”: encapsulation protects data integrity and reduces a class API surface. The note says this applies to all code, not only domain model code.",,Preserved PNG remains exact source of truth.
R01R02-S-002,S-002,IU-002,66a78000fd,R01,384.9675547281895,479.6915390236377,475.0,80.0,processed-in-r01r02-final-v001,high,high,Program.cs contains full DbContext EF configuration,"Shows Program.cs/AddDbContext registering SchoolContext and configuring UseSqlServer, UseLoggerFactory and EnableSensitiveDataLogging directly in the application startup surface.",,Preserved PNG remains exact source of truth.
R01R02-S-003,S-003,IU-003,cfd901047f,R01,382.5894724527989,560.4620125286006,661.0,79.0,processed-in-r01r02-final-v001,high,high,CreateLoggerFactory logs database commands,"Shows CreateLoggerFactory filtering EF Core database command logs and writing to console, making logging configuration part of the DbContext setup details.",,Preserved PNG remains exact source of truth.
R01R02-S-004,S-004,IU-004,5cccd98167,R01,384.268509635956,656.3594121299889,554.0,277.0,processed-in-r01r02-final-v001,"medium-high; terminal screenshot is readable enough for meaning, exact log text should be corrected from PNG if needed",high for meaning; medium-high for exact log text,console output includes SQL command and parameters,Console output screenshot highlights SQL command logging including parameter values; this motivates the warning that sensitive-data logging can expose query parameters.,,Preserved PNG remains exact source of truth.
R01R02-S-005,S-005,IU-005,fb263951ba,R01,405.758936564127,1119.4760066672884,424.0,91.0,processed-in-r01r02-final-v001,high,high,only pass environment-dependent parameters,Text rule: only use parameters that change depending on the environment.,,Preserved PNG remains exact source of truth.
R01R02-S-006,S-006,IU-006,d2357ff0a8,R01,401.38669606365147,1230.9609095178153,523.0,220.0,processed-in-r01r02-final-v001,high,high,SchoolContext constructor stores connection string and logger flag,"Shows SchoolContext with private readonly fields _connectionString and _useConsoleLogger, DbSet properties, and a constructor accepting string connectionString and bool useConsoleLogger.",,Preserved PNG remains exact source of truth.
R01R02-S-007,S-007,IU-007,88f8f50d72,R01,399.6755077427024,1476.4217400563925,519.0,376.0,processed-in-r01r02-final-v001,medium-high; code is readable but bottom helper method is partly cropped in the source image,high for configuration flow; medium-high for exact helper code punctuation,OnConfiguring moves EF details into DbContext,"Shows OnConfiguring inside SchoolContext: UseSqlServer(_connectionString), then selects logging behavior based on _useConsoleLogger using CreateLoggerFactory or CreateEmptyLoggerFactory. This moves EF configuration detail from Program.cs into DbContext.",,Preserved PNG remains exact source of truth.
R01R02-S-008,S-008,IU-008,f2d7397ef7,R02,1339.6996138074876,10.0,669.0,39.0,processed-in-r01r02-final-v001,high,high,factory registration exposes only constructor arguments,"Shows a smaller AddScoped registration that constructs SchoolContext with builder.Configuration[""ConnectionString""] and a boolean flag, instead of exposing the whole options-builder chain.",,Preserved PNG remains exact source of truth.
R01R02-S-009,S-009,IU-009,6fe7a5ce37,R02,1346.831006740207,61.630600162854535,422.0,312.0,processed-in-r01r02-final-v001,high,high,recap: conventional AddDbContext exposes too much configuration,"Recap slide: DbContext is encapsulated; the conventional AddDbContext options approach leaves too much room for data/configuration inconsistencies, similar to public setters.",,Preserved PNG remains exact source of truth.
R01R02-S-010,S-010,IU-010,0c3013c9bc,R02,1350.0523907454146,376.0639305863224,430.0,264.0,processed-in-r01r02-final-v001,high,high,"simple cases can stay as-is, complex config is best encapsulated","Recap slide distinguishes simple configuration, which can stay as-is, from complex configuration, which is better to encapsulate.",,Preserved PNG remains exact source of truth.
R01R02-S-011,S-011,IU-011,faedf62575,R02,1353.1309398704627,665.2691131931206,464.0,294.0,processed-in-r01r02-final-v001,high,high,reduced configuration options to minimal API,"Recap slide: the possible configuration options are reduced to a minimum. The client sees constructor parameters such as connectionString and useConsoleLogger, while EF configuration complexity is abstracted and encapsulated inside DbContext.",,Preserved PNG remains exact source of truth.
R01R02-S-012,S-012,IU-012,3bd6a86fc4,R02,1352.0250606179914,980.9331258804598,447.0,278.0,processed-in-r01r02-final-v001,high,high,AddScoped factory gives same DbContext lifetime semantics,Recap slide: registering with AddScoped factory configures the DbContext as a scoped dependency; the two registration styles are equivalent in terms of DbContext lifetime.,,Preserved PNG remains exact source of truth.
R01R02-S-013,S-013,IU-013,f820c9fd00,R02,1345.215589480357,1285.3847461766636,415.0,220.0,processed-in-r01r02-final-v001,high,high,summary: bundle dependencies and operations together,"Summary slide: encapsulated DbContext usage bundles dependencies and operations together, moves configuration logic to the DbContext, and encourages looking for encapsulation opportunities throughout code.",,Preserved PNG remains exact source of truth.
