text_id,text,x,y,candidate_region,candidate_region_name,status,notes
T-001,High convensionavle options class,3071.8024553922214,1204.2522754879055,OPT02,Options pattern basics / conventional options class / binding,region-context-label,Text label is canvas context; not an image source.
T-002,"Using scoped IOptionsSnapshot, because IOptions doesnt have config name",2886.899826834574,4633.886323815531,OPT03,Named options / IOptionsSnapshot / options classes,region-context-label,Text label is canvas context; not an image source.
T-003,IOptions 1 to 1 with config,3055.1593263374134,4676.589141281306,OPT03,Named options / IOptionsSnapshot / options classes,region-context-label,Text label is canvas context; not an image source.
T-004,Snapshot provide access to different named sections,3356.4610893296012,4679.821679759086,OPT03,Named options / IOptionsSnapshot / options classes,region-context-label,Text label is canvas context; not an image source.
T-005,options validation,10.0,551.7972528369685,OPT01,Options validation,region-context-label,Text label is canvas context; not an image source.
T-006,OnChange of OptionsMonitor returns disposable,12400.030743625084,3877.926329200222,OPT04,OptionsMonitor / service lifetimes / OnChange / implementation,region-context-label,Text label is canvas context; not an image source.
T-007,Options impl,13367.145225728713,5345.463721130124,OPT04,OptionsMonitor / service lifetimes / OnChange / implementation,region-context-label,Text label is canvas context; not an image source.
T-008,Changing,13248.158584523964,8893.72301850332,OPT04,OptionsMonitor / service lifetimes / OnChange / implementation,region-context-label,Text label is canvas context; not an image source.
T-009,every 4 seconds values will be read and changed(unconfigurable),12997.898624565558,10169.596096304473,OPT04,OptionsMonitor / service lifetimes / OnChange / implementation,region-context-label,Text label is canvas context; not an image source.
T-010,"optionspattern, when need to",6081.330839314184,271.950648742676,OPT02,Options pattern basics / conventional options class / binding,region-context-label,Text label is canvas context; not an image source.
T-011,!!!,7363.26375838467,1691.133333596915,OPTTXT01,Configure/PostConfigure and DI-aware overload text-only notes,text-only-context-note,Canvas text notes without extracted screenshot images. They should be considered during transcript as context for Configure/PostConfigure and DI-aware options configuration.
T-012,can configure service from di without ipostconfigure,7198.2538507142,1475.4082648306398,OPTTXT01,Configure/PostConfigure and DI-aware overload text-only notes,text-only-context-note,Canvas text notes without extracted screenshot images. They should be considered during transcript as context for Configure/PostConfigure and DI-aware options configuration.
T-013,dont i overwrite options,8524.028251436777,1411.7001676441316,OPTTXT01,Configure/PostConfigure and DI-aware overload text-only notes,text-only-context-note,Canvas text notes without extracted screenshot images. They should be considered during transcript as context for Configure/PostConfigure and DI-aware options configuration.
T-014,why addoptions.configure,9672.17644479615,1292.311534316233,OPTTXT01,Configure/PostConfigure and DI-aware overload text-only notes,text-only-context-note,Canvas text notes without extracted screenshot images. They should be considered during transcript as context for Configure/PostConfigure and DI-aware options configuration.
T-015,about excplicit way to,9881.201284092596,1566.1533785544807,OPTTXT01,Configure/PostConfigure and DI-aware overload text-only notes,text-only-context-note,Canvas text notes without extracted screenshot images. They should be considered during transcript as context for Configure/PostConfigure and DI-aware options configuration.
T-016,di aware overloads,9863.201284092596,3672.8914640281137,OPT04,OptionsMonitor / service lifetimes / OnChange / implementation,region-context-label,Text label is canvas context; not an image source.
T-017,using Ipostconfigureoptions,5645.61313766403,1081.4904814326442,OPTTXT01,Configure/PostConfigure and DI-aware overload text-only notes,text-only-context-note,Canvas text notes without extracted screenshot images. They should be considered during transcript as context for Configure/PostConfigure and DI-aware options configuration.
T-018,options clases,6301.630902851044,8556.36823970497,OPT03,Named options / IOptionsSnapshot / options classes,region-context-label,Text label is canvas context; not an image source.
T-019,like when we use name or,5912.937066688428,9092.240288313147,OPT03,Named options / IOptionsSnapshot / options classes,region-context-label,Text label is canvas context; not an image source.
