text_id,dom_group_index,x,y,group_x,group_y,rotation,font_size,fill,text
T-001,3,3071.8024553922214,1204.2522754879055,3071.8024553922214,1186.6322754879056,0.0,20px,#d3d3d3,High convensionavle options class
T-002,16,2886.899826834574,4633.886323815531,2886.899826834574,4616.266323815531,0.0,20px,#d3d3d3,"Using scoped IOptionsSnapshot, because IOptions doesnt have config name"
T-003,17,3055.1593263374134,4676.589141281306,3055.1593263374134,4658.969141281306,0.0,20px,#d3d3d3,IOptions 1 to 1 with config
T-004,18,3356.4610893296012,4679.821679759086,3356.4610893296012,4662.201679759086,0.0,20px,#d3d3d3,Snapshot provide access to different named sections
T-005,32,10.0,551.7972528369685,10.0,362.67590157964423,0.0,214.6666870117188px,#d3d3d3,options validation
T-006,54,12400.030743625084,3877.926329200222,12400.030743625084,3860.306329200222,0.0,20px,#d3d3d3,OnChange of OptionsMonitor returns disposable
T-007,56,13367.145225728713,5345.463721130124,13367.145225728713,5327.843721130124,0.0,20px,#d3d3d3,Options impl
T-008,57,13248.158584523964,8893.72301850332,13248.158584523964,8876.10301850332,0.0,20px,#d3d3d3,Changing
T-009,61,12997.898624565558,10169.596096304473,12997.898624565558,10151.976096304472,0.0,20px,#d3d3d3,every 4 seconds values will be read and changed(unconfigurable)
T-010,62,6081.330839314184,271.950648742676,6081.330839314184,10.0,0.0,297.3333129882815px,#d3d3d3,"optionspattern, when need to"
T-011,64,7363.26375838467,1691.133333596915,7363.26375838467,1646.1044327587024,0.0,51.11112467447526px,#d3d3d3,!!!
T-012,65,7198.2538507142,1475.4082648306398,7198.2538507142,1433.5118203861948,0.0,47.5555555555562px,#d3d3d3,can configure service from di without ipostconfigure
T-013,66,8524.028251436777,1411.7001676441316,8524.028251436777,1365.366101536276,0.0,52.592583550346916px,#d3d3d3,dont i overwrite options
T-014,67,9672.17644479615,1292.311534316233,9672.17644479615,1246.8475943205722,0.0,51.604926215279114px,#d3d3d3,why addoptions.configure
T-015,68,9881.201284092596,1566.1533785544807,9881.201284092596,1548.5333785544808,0.0,20px,#d3d3d3,about excplicit way to
T-016,69,9863.201284092596,3672.8914640281137,9863.201284092596,3625.2000045310433,0.0,54.133325195312494px,#d3d3d3,di aware overloads
T-017,70,5645.61313766403,1081.4904814326442,5645.61313766403,1012.9682472610948,0.0,77.77779134114566px,#d3d3d3,using Ipostconfigureoptions
T-018,71,6301.630902851044,8556.36823970497,6301.630902851044,8495.05063970497,0.0,69.60000000000005px,#d3d3d3,options clases
T-019,75,5912.937066688428,9092.240288313147,5912.937066688428,9074.620288313146,0.0,20px,#d3d3d3,like when we use name or
