label_id,text,x,y,font_size,candidate_region
T-001,Auth ticket,4782.505989900399,403.33343505859375,138.30300071022359px,R02
T-002,Auth ticket,8298.263602648978,59.09113103693198,138.30300071022359px,R03
T-003,in case of jwt,8298.263602648978,59.09113103693198,138.30300071022359px,R03
T-004,context.user,182.50598990039907,10.0,138.30300071022359px,R01
T-005,claimsprincipal,182.50598990039907,10.0,138.30300071022359px,R01
T-006,principal,4867.354339115203,1632.020380810055,87.3400015782791px,R02
T-007,properties,4852.539614722842,2491.2796174637024,87.3400015782791px,R02
T-008,IssuedUtc,3260.539614722842,3083.2796174637024,87.3400015782791px,R02
T-009,ExpiresUtc,3236.836001441592,4071.427810823077,87.3400015782791px,R02
T-010,IsPersistent,3238.3175281343006,5240.316699711966,87.3400015782791px,R02
T-011,AllowRefresh,3309.4286392454114,6266.983366378632,87.3400015782791px,R02
T-012,redirecUri,3337.5766969711062,7102.538921934188,87.3400015782791px,R02
T-013,items,3428.081784467161,8091.225818364309,87.3400015782791px,R02
T-014,parameters,3367.2064170231897,9095.131491921165,87.3400015782791px,R02
T-015,token storage helpers,3375.8838142516124,10044.126126640289,87.3400015782791px,R02
T-016,Is meaningful,2149.005433097718,6209.628816546818,87.3400015782791px,R02
T-017,for jwt?,2149.005433097718,6209.628816546818,87.3400015782791px,R02
T-018,Is meaningful,2191.8625759548613,7227.724040109876,87.3400015782791px,R02
T-019,for jwt?,2191.8625759548613,7227.724040109876,87.3400015782791px,R02
T-020,Is meaningful,2035.4989395912253,9018.027107403908,87.3400015782791px,R02
T-021,for jwt?,2035.4989395912253,9018.027107403908,87.3400015782791px,R02
T-022,authenticationScheme,4784.391421363467,3072.0203808100573,87.3400015782791px,R02
T-023,Auth properties,3094.761701311384,2389.79802295415,138.30300071022359px,R02
T-024,ClaimsIdentity,21.42857142857156,1496.4648930713374,138.30300071022359px,R01
T-025,important members,22.1021282862107,927.4413199376577,113.09086470170078px,R01
T-026,IsAuthenticated,10.0,2165.036321642766,138.30300071022359px,R01
T-027,claims,68.88879685174788,2846.3061290041865,138.30300071022359px,R01
T-028,multiple identities,11.904645647321104,3296.4648930713365,138.30300071022359px,R01
T-029,where do they appear in auth,4664.285539899553,3629.7980229541495,138.30300071022359px,R02
T-030,!!!,3094.170713574566,8859.326863398019,196.28071674547982px,R02
T-031,savetoken,3515.827915830475,11337.228774793108,76.88891601562503px,R02
