label_id,text,candidate_region,final_region,status,transcript_file,open_issue
T-004,context.user,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-005,claimsprincipal,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-024,ClaimsIdentity,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-025,important members,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-026,IsAuthenticated,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-027,claims,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-028,multiple identities,R01,R01,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-001,Auth ticket,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-006,principal,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-007,properties,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-008,IssuedUtc,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-009,ExpiresUtc,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-010,IsPersistent,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-011,AllowRefresh,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-012,redirecUri,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-013,items,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-014,parameters,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-015,token storage helpers,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-016,Is meaningful,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-017,for jwt?,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-018,Is meaningful,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-019,for jwt?,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-020,Is meaningful,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-021,for jwt?,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-022,authenticationScheme,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-023,Auth properties,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-029,where do they appear in auth,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-030,!!!,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-031,savetoken,R02,R02,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-002,Auth ticket,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
T-003,in case of jwt,R03,R03,covered-by-verified-semantic-transcript,regions/R01R02R03-final-coverage.md,
