source_id,image_use_id,fileId,fileId_short,x,y,x_center,y_center,width,height,source_image_file,nearest_labels_for_search_only
S-001,IU-001,86922be1d4f15948e1cd8d5cd32c96b27bd24e52,86922be1d4,22607.488,1082.042,23081.488,1189.542,948,215,assets/source-images/S-001__86922be1d4.png,L-001: canconnect usage | L-002: canconnect | L-007: ensurecreated | L-012: database methods | L-008: ensuredeleted | L-014: migrations | L-015: migrate() | L-025: getpendingmig/getappliedmigr/getmigr
S-002,IU-002,bbfbad796981da438c56d5108c854084e566a1c7,bbfbad7969,19171.129,1208.575,19633.129,1278.075,924,139,assets/source-images/S-002__bbfbad7969.png,L-002: canconnect | L-007: ensurecreated | L-005: autosavepointsenabled | L-008: ensuredeleted | L-009: !!! | L-001: canconnect usage | L-013: !!! | L-004: CURRENT TRANSACTION
S-003,IU-003,5a3a2852a4418c286995705e65b555f5871749fe,5a3a2852a4,21176.185,1227.932,21649.185,1468.932,946,482,assets/source-images/S-003__5a3a2852a4.png,L-002: canconnect | L-007: ensurecreated | L-001: canconnect usage | L-008: ensuredeleted | L-012: database methods | L-014: migrations | L-015: migrate() | L-024: migration
S-004,IU-004,b81cd6d6515c2d0e5114d8516e0ab466aac73530,b81cd6d651,14624.481,1259.973,15040.481,1500.973,832,482,assets/source-images/S-004__b81cd6d651.png,L-006: whenneeded | L-003: autotransactionbehavior | L-004: CURRENT TRANSACTION | L-010: !!! | L-011: always | L-005: autosavepointsenabled | L-016: never | L-009: !!!
S-005,IU-005,6228547cf6f564032ba15f48689be1a563a70384,6228547cf6,22637.321,1309.542,23094.821,1493.542,915,368,assets/source-images/S-005__6228547cf6.png,L-001: canconnect usage | L-002: canconnect | L-007: ensurecreated | L-012: database methods | L-008: ensuredeleted | L-014: migrations | L-015: migrate() | L-025: getpendingmig/getappliedmigr/getmigr
S-006,IU-006,8212a188595cd6865c7d97c9d11e2ad2591f0d1e,8212a18859,19157.958,1348.069,19625.458,1493.069,935,290,assets/source-images/S-006__8212a18859.png,L-007: ensurecreated | L-002: canconnect | L-008: ensuredeleted | L-005: autosavepointsenabled | L-009: !!! | L-001: canconnect usage | L-013: !!! | L-004: CURRENT TRANSACTION
S-007,IU-007,e8162450a183afe2e09e3f5c02048557dc0d87bd,e8162450a1,16275.233,1494.073,16741.733,1700.073,933,412,assets/source-images/S-007__e8162450a1.png,L-004: CURRENT TRANSACTION | L-005: autosavepointsenabled | L-009: !!! | L-010: !!! | L-006: whenneeded | L-013: !!! | L-003: autotransactionbehavior | L-011: always
S-008,IU-008,488c1690973fa36fd1054aa89a544d3d521ebea6,488c169097,17862.707,1549.799,18320.207,1669.799,915,240,assets/source-images/S-008__488c169097.png,L-005: autosavepointsenabled | L-009: !!! | L-004: CURRENT TRANSACTION | L-013: !!! | L-007: ensurecreated | L-002: canconnect | L-010: !!! | L-008: ensuredeleted
S-009,IU-009,364f261c501ae01c1d7432c32f1a53b5728d74fc,364f261c50,19170.458,1646.236,19535.458,1787.236,730,282,assets/source-images/S-009__364f261c50.png,L-007: ensurecreated | L-002: canconnect | L-008: ensuredeleted | L-005: autosavepointsenabled | L-009: !!! | L-013: !!! | L-001: canconnect usage | L-004: CURRENT TRANSACTION
S-010,IU-010,6ab5135f8f914d989b4c4d1a8f0ce3aa7b962d72,6ab5135f8f,22598.949,1689.003,23062.949,1841.003,928,304,assets/source-images/S-010__6ab5135f8f.png,L-001: canconnect usage | L-012: database methods | L-007: ensurecreated | L-002: canconnect | L-008: ensuredeleted | L-014: migrations | L-015: migrate() | L-025: getpendingmig/getappliedmigr/getmigr
S-011,IU-011,d60e67434a35852667eff362fe9cc560f93a9929,d60e67434a,17874.35,1799.157,18357.35,1892.657,966,187,assets/source-images/S-011__d60e67434a.png,L-005: autosavepointsenabled | L-009: !!! | L-013: !!! | L-004: CURRENT TRANSACTION | L-007: ensurecreated | L-008: ensuredeleted | L-010: !!! | L-002: canconnect
S-012,IU-012,f8490d6b85fb91c72abb888cbdadcac1d9f27853,f8490d6b85,14607.787,1830.63,15051.287,1901.13,887,141,assets/source-images/S-012__f8490d6b85.png,L-006: whenneeded | L-003: autotransactionbehavior | L-004: CURRENT TRANSACTION | L-010: !!! | L-011: always | L-016: never | L-005: autosavepointsenabled | L-018: when we can have disabled autosavepoints
S-013,IU-013,6cbd79dabec68e4ddc1bcee6472f32e6f2990ec4,6cbd79dabe,16258.081,1913.952,16706.581,2047.952,897,268,assets/source-images/S-013__6cbd79dabe.png,L-004: CURRENT TRANSACTION | L-005: autosavepointsenabled | L-010: !!! | L-009: !!! | L-006: whenneeded | L-013: !!! | L-011: always | L-018: when we can have disabled autosavepoints
S-014,IU-014,a25597376b1adcf7ed8b812d45beb26a9c6283cb,a25597376b,21197.189,1924.832,21554.189,2055.332,714,261,assets/source-images/S-014__a25597376b.png,L-007: ensurecreated | L-008: ensuredeleted | L-002: canconnect | L-001: canconnect usage | L-012: database methods | L-014: migrations | L-015: migrate() | L-024: migration
S-015,IU-015,52e76fdb20aa0057fc0589f0bba10f71431716c5,52e76fdb20,14605.237,1982.64,14975.237,2223.64,740,482,assets/source-images/S-015__52e76fdb20.png,L-006: whenneeded | L-011: always | L-010: !!! | L-003: autotransactionbehavior | L-004: CURRENT TRANSACTION | L-016: never | L-018: when we can have disabled autosavepoints | L-019: and some manual savepoints logic through
S-016,IU-016,86a6d029f39a60a7fea5c9ed6a6a9603e8e08158,86a6d029f3,22589.615,2006.503,23061.615,2205.003,944,397,assets/source-images/S-016__86a6d029f3.png,L-001: canconnect usage | L-012: database methods | L-014: migrations | L-007: ensurecreated | L-015: migrate() | L-008: ensuredeleted | L-002: canconnect | L-025: getpendingmig/getappliedmigr/getmigr
S-017,IU-017,f349958410c554e4ade25d5dfd6ab6ff80e41167,f349958410,17850.659,2128.585,18321.159,2224.085,941,191,assets/source-images/S-017__f349958410.png,L-009: !!! | L-005: autosavepointsenabled | L-013: !!! | L-004: CURRENT TRANSACTION | L-010: !!! | L-008: ensuredeleted | L-007: ensurecreated | L-002: canconnect
S-018,IU-018,f1b6b3ec4385f8ba3a5f93064e4d6e5411cfc949,f1b6b3ec43,16273.642,2189.422,16712.642,2424.922,878,471,assets/source-images/S-018__f1b6b3ec43.png,L-010: !!! | L-009: !!! | L-004: CURRENT TRANSACTION | L-005: autosavepointsenabled | L-013: !!! | L-006: whenneeded | L-011: always | L-018: when we can have disabled autosavepoints
S-019,IU-019,d8a7a3ccc78b4a3018749611e2f1e866139680d8,d8a7a3ccc7,21188.911,2211.276,21616.411,2379.776,855,337,assets/source-images/S-019__d8a7a3ccc7.png,L-008: ensuredeleted | L-007: ensurecreated | L-002: canconnect | L-001: canconnect usage | L-012: database methods | L-014: migrations | L-015: migrate() | L-024: migration
S-020,IU-020,1d557a6bdb9a463fe046eac2f55eb14dde8958f4,1d557a6bdb,17824.493,2320.109,18294.493,2513.609,940,387,assets/source-images/S-020__1d557a6bdb.png,L-009: !!! | L-005: autosavepointsenabled | L-013: !!! | L-004: CURRENT TRANSACTION | L-010: !!! | L-008: ensuredeleted | L-007: ensurecreated | L-018: when we can have disabled autosavepoints
S-021,IU-021,9630c78d6c0fd366921bd67ea32796cc42aefde2,9630c78d6c,14569.953,2465.963,15033.953,2662.463,928,393,assets/source-images/S-021__9630c78d6c.png,L-011: always | L-010: !!! | L-006: whenneeded | L-016: never | L-004: CURRENT TRANSACTION | L-003: autotransactionbehavior | L-018: when we can have disabled autosavepoints | L-019: and some manual savepoints logic through
S-022,IU-022,bbfabb5d20f25f8b2b87dfd5255a4c259dd7a1af,bbfabb5d20,16290.627,2660.725,16681.127,2895.225,781,469,assets/source-images/S-022__bbfabb5d20.png,L-010: !!! | L-009: !!! | L-013: !!! | L-004: CURRENT TRANSACTION | L-005: autosavepointsenabled | L-018: when we can have disabled autosavepoints | L-019: and some manual savepoints logic through | L-021: transaction methods
S-023,IU-023,e27cd4bbd80c3bf8f3605a7549414bd409803f6c,e27cd4bbd8,17825.778,2714.157,18288.778,2892.657,926,357,assets/source-images/S-023__e27cd4bbd8.png,L-009: !!! | L-013: !!! | L-005: autosavepointsenabled | L-010: !!! | L-004: CURRENT TRANSACTION | L-008: ensuredeleted | L-018: when we can have disabled autosavepoints | L-019: and some manual savepoints logic through
S-024,IU-024,a1be321ab28ca056aea56988075f7e7a1a5ee0b8,a1be321ab2,21160.485,2771.054,21650.485,2997.554,980,453,assets/source-images/S-024__a1be321ab2.png,L-008: ensuredeleted | L-007: ensurecreated | L-012: database methods | L-014: migrations | L-015: migrate() | L-002: canconnect | L-001: canconnect usage | L-024: migration
S-025,IU-025,8c016512b6e3378c556faf9c54dae9a089248eaf,8c016512b6,14583.953,2845.63,15009.953,3033.13,852,375,assets/source-images/S-025__8c016512b6.png,L-011: always | L-010: !!! | L-006: whenneeded | L-016: never | L-018: when we can have disabled autosavepoints | L-019: and some manual savepoints logic through | L-004: CURRENT TRANSACTION | L-021: transaction methods
S-026,IU-026,ae6e5fab1f7a0afe5bbb32d618168bc96788499c,ae6e5fab1f,16293.915,3214.134,16759.915,3346.134,932,264,assets/source-images/S-026__ae6e5fab1f.png,L-010: !!! | L-009: !!! | L-013: !!! | L-018: when we can have disabled autosavepoints | L-019: and some manual savepoints logic through | L-021: transaction methods | L-004: CURRENT TRANSACTION | L-011: always
S-027,IU-027,515cefc600ec80b9a1b2a56f834bd7be0539de3a,515cefc600,17811.064,3299.18,18268.064,3527.18,914,456,assets/source-images/S-027__515cefc600.png,L-009: !!! | L-013: !!! | L-005: autosavepointsenabled | L-031: TRANSACTION OBJECT | L-010: !!! | L-018: when we can have disabled autosavepoints | L-033: IDbContextTransaction | L-019: and some manual savepoints logic through
