region_source_id,source_id,image_use_id,fileId_short,region,subregion,status,readability,cut_off,confidence,theme,notes
CTXDB04A-S001,S-118,IU-118,47acb56970,CTXDB04,CTXDB04A,verified-from-source-image,high,no,high,Flush means moving tracked changes from memory toward DB commands,
CTXDB04A-S002,S-120,IU-120,d06a83a760,CTXDB04,CTXDB04A,verified-from-source-image,high,no,high,"One SaveChanges is one flush, not one SQL query",
CTXDB04A-S003,S-122,IU-122,d89c0f6504,CTXDB04,CTXDB04A,verified-from-source-image,high,no,high,"Transaction state lives in the database engine, EF holds a handle",
CTXDB04A-S004,S-132,IU-132,88eb4730a5,CTXDB04,CTXDB04A,verified-from-source-image,high,no,high,SaveChanges batches multiple statements but is one EF flush operation,
CTXDB04A-S005,S-134,IU-134,60f8848931,CTXDB04,CTXDB04A,verified-from-source-image,high,no,high,Commands participate until CommitAsync or RollbackAsync,
CTXDB04A-S006,S-136,IU-136,e82cbae5ca,CTXDB04,CTXDB04A,verified-from-source-image,high,no,high,SaveChanges flush pipeline,
CTXDB04B-S001,S-121,IU-121,a392d44b53,CTXDB04,CTXDB04B,verified-from-source-image,high,no,high,Rows are written before commit inside an outer transaction,
CTXDB04B-S002,S-137,IU-137,422cb847c0,CTXDB04,CTXDB04B,verified-from-source-image,high,no,high,SaveChanges inside outer transaction can later be rolled back,
CTXDB04B-S003,S-143,IU-143,8eea8882c1,CTXDB04,CTXDB04B,verified-from-source-image,high,no,high,Each SaveChanges sends SQL but changes remain uncommitted,
CTXDB04B-S004,S-149,IU-149,0236c82fbe,CTXDB04,CTXDB04B,verified-from-source-image,high,no,high,Add vs SaveChanges vs Commit vs Rollback distinction,
CTXDB05A-S001,S-056,IU-056,e938e48b8e,CTXDB05,CTXDB05A,verified-visible-partial-from-source-image,high,bottom continuation,high-for-visible-part,Transaction object returned by BeginTransactionAsync,
CTXDB05A-S002,S-060,IU-060,b1b470b566,CTXDB05,CTXDB05A,verified-from-source-image,high,no,high,Savepoint overhead in large batch,
CTXDB05A-S003,S-063,IU-063,577bc74db1,CTXDB05,CTXDB05A,verified-from-source-image,high,no,high,Commit / CommitAsync,
CTXDB05A-S004,S-065,IU-065,7d2efaceaa,CTXDB05,CTXDB05A,verified-from-source-image,high,no,high,Practical answer on savepoint cost,
CTXDB05A-S005,S-069,IU-069,032d7df171,CTXDB05,CTXDB05A,verified-visible-partial-from-source-image,high,top continuation,high-for-visible-part,Rollback / RollbackAsync,
CTXDB05A-S006,S-070,IU-070,ffeb97c5e0,CTXDB05,CTXDB05A,verified-visible-partial-from-source-image,high,bottom continues,high-for-visible-text,Safe summary for savepoint overhead,
CTXDB05A-S007,S-075,IU-075,73d58b17f5,CTXDB05,CTXDB05A,verified-from-source-image,high,no,high,CreateSavepoint,
CTXDB05A-S008,S-080,IU-080,8336f9e525,CTXDB05,CTXDB05A,verified-from-source-image,high,no,high,RollbackToSavepoint,
CTXDB05A-S009,S-083,IU-083,f975e8c97d,CTXDB05,CTXDB05A,verified-from-source-image,high,no,high,ReleaseSavepoint,
CTXDB05A-S010,S-090,IU-090,cff84cf97d,CTXDB05,CTXDB05A,verified-from-source-image,high,no,high,SupportsSavepoints,
CTXDB05A-S011,S-097,IU-097,51d31e7291,CTXDB05,CTXDB05A,verified-from-source-image,high,no,high,TransactionId for correlation,
CTXDB05A-S012,S-099,IU-099,4165daffb9,CTXDB05,CTXDB05A,verified-from-source-image,high,no,high,Raw DbTransaction and clean control rule,
CTXDB05A-S013,S-102,IU-102,9bed71cc5e,CTXDB05,CTXDB05A,verified-from-source-image,high,no,high,Why getting DbTransaction is useful,
CTXDB05A-S014,S-105,IU-105,02d4df4fbd,CTXDB05,CTXDB05A,verified-from-source-image,high,no,high,GetDbTransaction,
CTXDB05A-S015,S-108,IU-108,c82aaf7ffd,CTXDB05,CTXDB05A,verified-visible-partial-from-source-image,high,top continuation,high-for-visible-code,Raw ADO.NET command inside EF transaction,
CTXDB05A-S016,S-112,IU-112,cc80b1375b,CTXDB05,CTXDB05A,verified-from-source-image,high,no,high,DbTransaction type and provider-specific runtime classes,
CTXDB05A-S017,S-115,IU-115,06c7a0e20a,CTXDB05,CTXDB05A,verified-visible-partial-from-source-image,high,bottom continuation,high-for-visible-text,Why sharing raw transaction is helpful,
CTXDB05A-S018,S-123,IU-123,aa6e04d7c1,CTXDB05,CTXDB05A,verified-visible-partial-from-source-image,high,top continuation,high-for-visible-part,Share same transaction with another DbContext,
