region_source_id,source_id,image_use_id,fileId_short,region,subregion,status,readability,cut_off,confidence,theme,notes
CTXDB06A-S001,S-074,IU-074,bc88d8c442,CTXDB06,CTXDB06A,verified-visible-partial-from-source-image,high,bottom crop,high-for-visible-part,EnsureCreated / EnsureDeleted quick schema APIs,
CTXDB06A-S002,S-082,IU-082,d2e78b86e5,CTXDB06,CTXDB06A,verified-from-source-image,high,no,high,EnsureCreated caution versus migrations,
CTXDB06A-S003,S-091,IU-091,c3f8ff9082,CTXDB06,CTXDB06A,verified-visible-partial-from-source-image,high,bottom crop,high-for-visible-part,GetDbConnection returns underlying DbConnection,
CTXDB06A-S004,S-092,IU-092,e8ae905fc4,CTXDB06,CTXDB06A,verified-from-source-image,high,no,high,OpenConnection paired with GetDbConnection,
CTXDB06A-S005,S-093,IU-093,90eb2b991f,CTXDB06,CTXDB06A,verified-from-source-image,high,no,high,Closed connection object while context is alive,
CTXDB06A-S006,S-100,IU-100,b157b21508,CTXDB06,CTXDB06A,verified-visible-partial-from-source-image,high,bottom continues,high-for-visible-code,Valid object but closed state later,
CTXDB06A-S007,S-101,IU-101,146aec379d,CTXDB06,CTXDB06A,verified-from-source-image,high,no,high,Connection disposal ownership,
CTXDB06A-S008,S-104,IU-104,6a4b0521e9,CTXDB06,CTXDB06A,verified-visible-partial-from-source-image,high,bottom visible,high-for-visible-code,Safer pattern with GetDbConnection and OpenConnection,
CTXDB06A-S009,S-106,IU-106,f049355306,CTXDB06,CTXDB06A,verified-visible-partial-from-source-image,high,top/bottom continuation,high-for-visible-code,Manual ADO.NET after EF operation may need explicit open,
CTXDB06A-S010,S-110,IU-110,ffd943be33,CTXDB06,CTXDB06A,verified-from-source-image,high,no,high,OpenConnection / OpenConnectionAsync,
CTXDB06A-S011,S-113,IU-113,6c59a8dfba,CTXDB06,CTXDB06A,verified-visible-partial-from-source-image,high,top continuation,high-for-visible-text,GetDbConnection takeaway,
CTXDB06A-S012,S-114,IU-114,333fb735a6,CTXDB06,CTXDB06A,verified-visible-partial-from-source-image,high,top continuation,high-for-visible-text,CloseConnection safer pattern,
CTXDB06A-S013,S-116,IU-116,3f576096f7,CTXDB06,CTXDB06A,verified-visible-partial-from-source-image,high,bottom crop,high-for-visible-code,Manual open connection example,
CTXDB06A-S014,S-126,IU-126,1b3829f041,CTXDB06,CTXDB06A,verified-visible-partial-from-source-image,high,top continuation,high-for-visible-text,Manual open/close caution,
CTXDB06A-S015,S-140,IU-140,b501185d7e,CTXDB06,CTXDB06A,verified-visible-partial-from-source-image,high,bottom crop,high-for-visible-part,GetConnectionString / SetConnectionString,
CTXDB06A-S016,S-144,IU-144,9f449a4c24,CTXDB06,CTXDB06A,verified-visible-partial-from-source-image,high,top continuation,high-for-visible-part,SetConnectionString before database work,
CTXDB06A-S017,S-148,IU-148,a98a4b08dc,CTXDB06,CTXDB06A,verified-from-source-image,high,no,high,Why use one connection for multiple operations,
CTXDB06A-S018,S-151,IU-151,086a4b5542,CTXDB06,CTXDB06A,verified-from-source-image,high,no,high,Same transaction is subset of one connection,
CTXDB06A-S019,S-152,IU-152,dbc42432e5,CTXDB06,CTXDB06A,verified-from-source-image,high,no,high,Same transaction between EF and manual ADO.NET,
CTXDB06A-S020,S-154,IU-154,2590739a98,CTXDB06,CTXDB06A,verified-from-source-image,high,no,high,Explicit SqlConnection and contextOwnsConnection false,
CTXDB06A-S021,S-155,IU-155,2faed444c0,CTXDB06,CTXDB06A,verified-visible-partial-from-source-image,high,bottom crop,high-for-visible-code,SetDbConnection,
CTXDB06A-S022,S-157,IU-157,29dfa26ee9,CTXDB06,CTXDB06A,verified-from-source-image,high,no,high,Connection/session-level state sharing,
CTXDB06A-S023,S-159,IU-159,83581480f8,CTXDB06,CTXDB06A,verified-from-source-image,high,no,high,Avoid open/close churn,
