region_source_id,source_id,image_use_id,fileId_short,region,subregion,status,readability,cut_off,confidence,theme,notes
CTXDB03A-S001,S-031,IU-031,534194b01d,CTXDB03,CTXDB03A,verified-from-source-image,high,no,high,SaveChanges interceptors lifecycle,
CTXDB03A-S002,S-032,IU-032,16587c193d,CTXDB03,CTXDB03A,verified-from-source-image,high,no,high,Command interceptors and transaction rollback,
CTXDB03A-S003,S-036,IU-036,74409f1807,CTXDB03,CTXDB03A,verified-from-source-image,high,no,high,SaveChanges success vs later rollback,
CTXDB03A-S004,S-037,IU-037,b9675df28e,CTXDB03,CTXDB03A,verified-from-source-image,high,no,high,Command interceptor may not run when no SQL command is sent,
CTXDB03A-S005,S-040,IU-040,397ce4c284,CTXDB03,CTXDB03A,verified-from-source-image,high,no,high,Rule: SaveChanges vs command interceptor scope,
CTXDB03A-S006,S-042,IU-042,dcbd43ef97,CTXDB03,CTXDB03A,verified-from-source-image,high,no,high,Audit/event publishing danger inside SaveChanges,
CTXDB03A-S007,S-045,IU-045,b8dac87d22,CTXDB03,CTXDB03A,verified-visible-partial-from-source-image,high,top/left continuation,high-for-visible-code,Generated value: identity / auto-increment key,
CTXDB03A-S008,S-050,IU-050,a21f695961,CTXDB03,CTXDB03A,verified-visible-partial-from-source-image,high,top continuation,high-for-visible-code,Generated value: database sequence default,
CTXDB03A-S009,S-053,IU-053,b9d7c1a2b5,CTXDB03,CTXDB03A,verified-visible-partial-from-source-image,high,top continuation,high-for-visible-code,Generated value: database default constant,
CTXDB03A-S010,S-054,IU-054,a348a9d2be,CTXDB03,CTXDB03A,verified-from-source-image,high,no,high,Sequences: database-generated vs provider-generated values,
CTXDB03A-S011,S-055,IU-055,348296eb89,CTXDB03,CTXDB03A,verified-from-source-image,high,no,high,Generated value: database default SQL expression,
CTXDB03A-S012,S-057,IU-057,c8d5baa5c7,CTXDB03,CTXDB03A,verified-from-source-image,high,no,high,SQL Server OUTPUT pseudo-tables for generated values,
CTXDB03A-S013,S-061,IU-061,44db7269f8,CTXDB03,CTXDB03A,verified-from-source-image,high,no,high,Truly database-generated during INSERT/UPDATE,
CTXDB03A-S014,S-062,IU-062,60723f4896,CTXDB03,CTXDB03A,verified-visible-partial-from-source-image,high,top continuation,high-for-visible-code,Generated value: computed column,
CTXDB03A-S015,S-064,IU-064,5c9f3120b8,CTXDB03,CTXDB03A,verified-from-source-image,high,no,high,Why generated IDs matter,
CTXDB03A-S016,S-066,IU-066,1723bfb5fa,CTXDB03,CTXDB03A,verified-visible-partial-from-source-image,high,top continuation,high-for-visible-code,Generated value: trigger-generated value,
CTXDB03A-S017,S-067,IU-067,83d26882b0,CTXDB03,CTXDB03A,verified-from-source-image,high,no,high,Need generated ID before the next step,
