source_id,decision,region,reason
S-001,processed-in-ctxdb01-v001,CTXDB01,DatabaseFacade / connectivity / migrations
S-003,processed-in-ctxdb01-v001,CTXDB01,DatabaseFacade / connectivity / migrations
S-005,processed-in-ctxdb01-v001,CTXDB01,DatabaseFacade / connectivity / migrations
S-010,processed-in-ctxdb01-v001,CTXDB01,DatabaseFacade / connectivity / migrations
S-014,processed-in-ctxdb01-v001,CTXDB01,DatabaseFacade / connectivity / migrations
S-016,processed-in-ctxdb01-v001,CTXDB01,DatabaseFacade / connectivity / migrations
S-019,processed-in-ctxdb01-v001,CTXDB01,DatabaseFacade / connectivity / migrations
S-024,processed-in-ctxdb01-v001,CTXDB01,DatabaseFacade / connectivity / migrations
S-034,processed-in-ctxdb01-v001,CTXDB01,DatabaseFacade / connectivity / migrations
S-038,processed-in-ctxdb01-v001,CTXDB01,DatabaseFacade / connectivity / migrations
S-044,processed-in-ctxdb01-v001,CTXDB01,DatabaseFacade / connectivity / migrations
S-046,processed-in-ctxdb01-v001,CTXDB01,DatabaseFacade / connectivity / migrations
S-048,processed-in-ctxdb01-v001,CTXDB01,DatabaseFacade / connectivity / migrations
S-049,processed-in-ctxdb01-v001,CTXDB01,DatabaseFacade / connectivity / migrations
S-051,processed-in-ctxdb01-v001,CTXDB01,DatabaseFacade / connectivity / migrations
S-058,processed-in-ctxdb01-v001,CTXDB01,DatabaseFacade / connectivity / migrations
S-059,processed-in-ctxdb01-v001,CTXDB01,DatabaseFacade / connectivity / migrations
S-002,processed-in-ctxdb02-v001,CTXDB02,Auto transactions / CurrentTransaction / AutoSavepointsEnabled
S-004,processed-in-ctxdb02-v001,CTXDB02,Auto transactions / CurrentTransaction / AutoSavepointsEnabled
S-006,processed-in-ctxdb02-v001,CTXDB02,Auto transactions / CurrentTransaction / AutoSavepointsEnabled
S-007,processed-in-ctxdb02-v001,CTXDB02,Auto transactions / CurrentTransaction / AutoSavepointsEnabled
S-008,processed-in-ctxdb02-v001,CTXDB02,Auto transactions / CurrentTransaction / AutoSavepointsEnabled
S-009,processed-in-ctxdb02-v001,CTXDB02,Auto transactions / CurrentTransaction / AutoSavepointsEnabled
S-011,processed-in-ctxdb02-v001,CTXDB02,Auto transactions / CurrentTransaction / AutoSavepointsEnabled
S-012,processed-in-ctxdb02-v001,CTXDB02,Auto transactions / CurrentTransaction / AutoSavepointsEnabled
S-013,processed-in-ctxdb02-v001,CTXDB02,Auto transactions / CurrentTransaction / AutoSavepointsEnabled
S-015,processed-in-ctxdb02-v001,CTXDB02,Auto transactions / CurrentTransaction / AutoSavepointsEnabled
S-017,processed-in-ctxdb02-v001,CTXDB02,Auto transactions / CurrentTransaction / AutoSavepointsEnabled
S-018,processed-in-ctxdb02-v001,CTXDB02,Auto transactions / CurrentTransaction / AutoSavepointsEnabled
S-020,processed-in-ctxdb02-v001,CTXDB02,Auto transactions / CurrentTransaction / AutoSavepointsEnabled
S-021,processed-in-ctxdb02-v001,CTXDB02,Auto transactions / CurrentTransaction / AutoSavepointsEnabled
S-022,processed-in-ctxdb02-v001,CTXDB02,Auto transactions / CurrentTransaction / AutoSavepointsEnabled
S-023,processed-in-ctxdb02-v001,CTXDB02,Auto transactions / CurrentTransaction / AutoSavepointsEnabled
S-025,processed-in-ctxdb02-v001,CTXDB02,Auto transactions / CurrentTransaction / AutoSavepointsEnabled
S-026,processed-in-ctxdb02-v001,CTXDB02,Auto transactions / CurrentTransaction / AutoSavepointsEnabled
S-027,processed-in-ctxdb02-v001,CTXDB02,Auto transactions / CurrentTransaction / AutoSavepointsEnabled
S-028,processed-in-ctxdb02-v001,CTXDB02,Auto transactions / CurrentTransaction / AutoSavepointsEnabled
S-029,processed-in-ctxdb02-v001,CTXDB02,Auto transactions / CurrentTransaction / AutoSavepointsEnabled
S-030,processed-in-ctxdb02-v001,CTXDB02,Auto transactions / CurrentTransaction / AutoSavepointsEnabled
S-033,processed-in-ctxdb02-v001,CTXDB02,Auto transactions / CurrentTransaction / AutoSavepointsEnabled
S-035,processed-in-ctxdb02-v001,CTXDB02,Auto transactions / CurrentTransaction / AutoSavepointsEnabled
S-039,processed-in-ctxdb02-v001,CTXDB02,Auto transactions / CurrentTransaction / AutoSavepointsEnabled
S-041,processed-in-ctxdb02-v001,CTXDB02,Auto transactions / CurrentTransaction / AutoSavepointsEnabled
S-043,processed-in-ctxdb02-v001,CTXDB02,Auto transactions / CurrentTransaction / AutoSavepointsEnabled
S-047,processed-in-ctxdb02-v001,CTXDB02,Auto transactions / CurrentTransaction / AutoSavepointsEnabled
S-052,processed-in-ctxdb02-v001,CTXDB02,Auto transactions / CurrentTransaction / AutoSavepointsEnabled
