source_id,decision,region,subregion,reason
S-074,processed-in-ctxdb06-v001,CTXDB06,CTXDB06A,"GetDbConnection, OpenConnection, CloseConnection, connection string, SetDbConnection, connection lifetime and sharing reasons."
S-082,processed-in-ctxdb06-v001,CTXDB06,CTXDB06A,"GetDbConnection, OpenConnection, CloseConnection, connection string, SetDbConnection, connection lifetime and sharing reasons."
S-091,processed-in-ctxdb06-v001,CTXDB06,CTXDB06A,"GetDbConnection, OpenConnection, CloseConnection, connection string, SetDbConnection, connection lifetime and sharing reasons."
S-092,processed-in-ctxdb06-v001,CTXDB06,CTXDB06A,"GetDbConnection, OpenConnection, CloseConnection, connection string, SetDbConnection, connection lifetime and sharing reasons."
S-093,processed-in-ctxdb06-v001,CTXDB06,CTXDB06A,"GetDbConnection, OpenConnection, CloseConnection, connection string, SetDbConnection, connection lifetime and sharing reasons."
S-100,processed-in-ctxdb06-v001,CTXDB06,CTXDB06A,"GetDbConnection, OpenConnection, CloseConnection, connection string, SetDbConnection, connection lifetime and sharing reasons."
S-101,processed-in-ctxdb06-v001,CTXDB06,CTXDB06A,"GetDbConnection, OpenConnection, CloseConnection, connection string, SetDbConnection, connection lifetime and sharing reasons."
S-104,processed-in-ctxdb06-v001,CTXDB06,CTXDB06A,"GetDbConnection, OpenConnection, CloseConnection, connection string, SetDbConnection, connection lifetime and sharing reasons."
S-106,processed-in-ctxdb06-v001,CTXDB06,CTXDB06A,"GetDbConnection, OpenConnection, CloseConnection, connection string, SetDbConnection, connection lifetime and sharing reasons."
S-110,processed-in-ctxdb06-v001,CTXDB06,CTXDB06A,"GetDbConnection, OpenConnection, CloseConnection, connection string, SetDbConnection, connection lifetime and sharing reasons."
S-113,processed-in-ctxdb06-v001,CTXDB06,CTXDB06A,"GetDbConnection, OpenConnection, CloseConnection, connection string, SetDbConnection, connection lifetime and sharing reasons."
S-114,processed-in-ctxdb06-v001,CTXDB06,CTXDB06A,"GetDbConnection, OpenConnection, CloseConnection, connection string, SetDbConnection, connection lifetime and sharing reasons."
S-116,processed-in-ctxdb06-v001,CTXDB06,CTXDB06A,"GetDbConnection, OpenConnection, CloseConnection, connection string, SetDbConnection, connection lifetime and sharing reasons."
S-126,processed-in-ctxdb06-v001,CTXDB06,CTXDB06A,"GetDbConnection, OpenConnection, CloseConnection, connection string, SetDbConnection, connection lifetime and sharing reasons."
S-140,processed-in-ctxdb06-v001,CTXDB06,CTXDB06A,"GetDbConnection, OpenConnection, CloseConnection, connection string, SetDbConnection, connection lifetime and sharing reasons."
S-144,processed-in-ctxdb06-v001,CTXDB06,CTXDB06A,"GetDbConnection, OpenConnection, CloseConnection, connection string, SetDbConnection, connection lifetime and sharing reasons."
S-148,processed-in-ctxdb06-v001,CTXDB06,CTXDB06A,"GetDbConnection, OpenConnection, CloseConnection, connection string, SetDbConnection, connection lifetime and sharing reasons."
S-151,processed-in-ctxdb06-v001,CTXDB06,CTXDB06A,"GetDbConnection, OpenConnection, CloseConnection, connection string, SetDbConnection, connection lifetime and sharing reasons."
S-152,processed-in-ctxdb06-v001,CTXDB06,CTXDB06A,"GetDbConnection, OpenConnection, CloseConnection, connection string, SetDbConnection, connection lifetime and sharing reasons."
S-154,processed-in-ctxdb06-v001,CTXDB06,CTXDB06A,"GetDbConnection, OpenConnection, CloseConnection, connection string, SetDbConnection, connection lifetime and sharing reasons."
S-155,processed-in-ctxdb06-v001,CTXDB06,CTXDB06A,"GetDbConnection, OpenConnection, CloseConnection, connection string, SetDbConnection, connection lifetime and sharing reasons."
S-157,processed-in-ctxdb06-v001,CTXDB06,CTXDB06A,"GetDbConnection, OpenConnection, CloseConnection, connection string, SetDbConnection, connection lifetime and sharing reasons."
S-159,processed-in-ctxdb06-v001,CTXDB06,CTXDB06A,"GetDbConnection, OpenConnection, CloseConnection, connection string, SetDbConnection, connection lifetime and sharing reasons."
S-160,processed-in-ctxdb06-v001,CTXDB06,CTXDB06A,"GetDbConnection, OpenConnection, CloseConnection, connection string, SetDbConnection, connection lifetime and sharing reasons."
