label_id,x,y,font_size,fill,text
L-001,22603.097,961.115,139.1111111111109px,#d3d3d3,canconnect usage
L-002,21116.781,1112.634,135.39395419033815px,#d3d3d3,canconnect
L-003,14168.741,1165.333,139.46665039062492px,#d3d3d3,autotransactionbehavior
L-004,16129.86,1374.841,104.266650390625px,#d3d3d3,CURRENT TRANSACTION
L-005,17715.511,1442.955,123.87692307692488px,#d3d3d3,autosavepointsenabled
L-006,14667.287,1818.251,70.13334960937505px,#d3d3d3,whenneeded
L-007,21086.524,1860.327,135.39395419033815px,#d3d3d3,ensurecreated
L-008,21038.576,2705.455,135.39395419033815px,#d3d3d3,ensuredeleted
L-009,17744.854,3016.292,37.52382114955106px,#d3d3d3,!!!
L-010,15785.369,3072.99,44.2424538352294px,#d3d3d3,!!!
L-011,14649.953,3307.584,70.13334960937505px,#d3d3d3,always
L-012,22924.906,3677.668,112.44433593749999px,#d3d3d3,database methods
L-013,17711.521,4035.339,37.52382114955106px,#d3d3d3,!!!
L-014,22900.548,4097.407,116.44443766276056px,#d3d3d3,migrations
L-015,22900.548,4242.962,116.44443766276056px,#d3d3d3,migrate()
L-016,14651.287,4252.917,70.13334960937505px,#d3d3d3,never
L-017,5030.947,4536.559,179.4814826117622px,#d3d3d3,what we can get after
L-018,15939.207,4597.14,91.70372178819672px,#d3d3d3,when we can have disabled autosavepoints
L-019,15939.207,4711.769,91.70372178819672px,#d3d3d3,and some manual savepoints logic through
L-020,5030.947,4760.911,179.4814826117622px,#d3d3d3,we call savechanges
L-021,15939.207,4826.399,91.70372178819672px,#d3d3d3,transaction methods
L-022,5030.947,4985.262,179.4814826117622px,#d3d3d3,and from where
L-023,14584.62,5017.07,73.33334960937499px,#d3d3d3,when and why never
L-024,21428.802,5309.765,80.4444376627605px,#d3d3d3,migration
L-025,22444.992,5322.655,117.77775065104174px,#d3d3d3,getpendingmig/getappliedmigr/getmigr
L-026,4177.205,5332.952,99.68958682105665px,#d3d3d3,identity
L-027,4189.135,5663.478,99.68958682105665px,#d3d3d3,sequence
L-028,8865.811,5883.979,160.13404482886918px,#d3d3d3,why/when do many
L-029,6694.324,5888.542,99.68958682105665px,#d3d3d3,2 types of generated
L-030,4097.907,5925.934,99.68958682105665px,#d3d3d3,default constant
L-031,18452.493,5935.469,127.2207570261768px,#d3d3d3,TRANSACTION OBJECT
L-032,8865.811,6084.146,160.13404482886918px,#d3d3d3,savechanges calls
L-033,18452.493,6094.495,127.2207570261768px,#d3d3d3,IDbContextTransaction
L-034,5453.562,6236.161,99.68958682105665px,#d3d3d3,INSERTED
L-035,22629.278,6272.791,113.96829368954626px,#d3d3d3,haspendingmodelchanges
L-036,15950.155,6280.233,89.33337402343463px,#d3d3d3,is there some overhead from savepoint creation?
L-037,6656.228,6389.495,99.68958682105665px,#d3d3d3,db generated
L-038,4070.539,6424.882,99.68958682105665px,#d3d3d3,computed column
