source_id,sha256,sha256_12,placements,image_file,transcript_file,status
S-001,2fb2a1d865115cc00c257deb02a20a0034466bd0be73cd91f0be818d2d3080c9,2fb2a1d86511,1,source/images-near-literal-v001/S-001__2fb2a1d86511.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-002,b27cf2487c4895ba5355e9316f39b6f0d827f39469eebbfbab42fea358bb3ad5,b27cf2487c48,1,source/images-near-literal-v001/S-002__b27cf2487c48.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-003,b8d72382830f12fe1ddf52b1cf2227e60ec19ae5624a7345767e1ae179f69ec8,b8d72382830f,1,source/images-near-literal-v001/S-003__b8d72382830f.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-004,e5a50bf0fa30c7ff60e06313f8fa579cbf25e1bd4bac9e413d858774c8c37a49,e5a50bf0fa30,1,source/images-near-literal-v001/S-004__e5a50bf0fa30.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-005,8c6171ea1ed43c83d52ab1bb4330cd7f5684be1fd114b47e897202d1ba30cb03,8c6171ea1ed4,1,source/images-near-literal-v001/S-005__8c6171ea1ed4.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-006,54bb840b6741a0ccfeffd55f9bb184637ad0ee8474c0b202dfa529f80aee31b4,54bb840b6741,1,source/images-near-literal-v001/S-006__54bb840b6741.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-007,f33b4c275364346a6c9403e42b360996b1663393eaaec5390aa7cca1f5de7be4,f33b4c275364,1,source/images-near-literal-v001/S-007__f33b4c275364.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-008,491984032fb44230c1c6a39e49621b56061d428745a98019bb4cb7399a482862,491984032fb4,1,source/images-near-literal-v001/S-008__491984032fb4.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-009,53bb137abb2498a8bbb21e3f92acb4e04438ce435cf086c6fb955ebbdebea151,53bb137abb24,1,source/images-near-literal-v001/S-009__53bb137abb24.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-010,d41a38e70efbd453969ae5936c95080cd160090db40b24de4f1f3dc0ec3821af,d41a38e70efb,1,source/images-near-literal-v001/S-010__d41a38e70efb.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-011,68712cda1046143fe9df5f7005697819f100bcd7963281f2cd0cf742ce342eed,68712cda1046,1,source/images-near-literal-v001/S-011__68712cda1046.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-012,4cd1fc2d31c8c833dcfde9bc9abed5bf5271d4bafa85f5f7ea6eefd709b95802,4cd1fc2d31c8,1,source/images-near-literal-v001/S-012__4cd1fc2d31c8.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-013,4f7b3c374f0589d18e252cb1a4f5d178dd859f4bddc3ea3e6cd8640bb2064df9,4f7b3c374f05,1,source/images-near-literal-v001/S-013__4f7b3c374f05.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-014,4c01fa3f1e518c3e6aaf6f33919048b5979d2423e466e9d17a65bf3093836a50,4c01fa3f1e51,1,source/images-near-literal-v001/S-014__4c01fa3f1e51.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-015,7fa6152aaf32acf702de623cd20aad0fdcb0b44821f8e4a359bdf41a4f97c5cb,7fa6152aaf32,1,source/images-near-literal-v001/S-015__7fa6152aaf32.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-016,a6ff67ad33434ad4ea944eb4bdfbde067fc7ce3561d06a43587e06f66b036a32,a6ff67ad3343,1,source/images-near-literal-v001/S-016__a6ff67ad3343.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-017,e8347042e57642860e537cfc30d5e3b537b8f0f77cb0903beeb7473daf3c478b,e8347042e576,1,source/images-near-literal-v001/S-017__e8347042e576.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
S-018,3aa243dc9147719447840d5f6266cf944bb21712e095e27a3ee404822e588d37,3aa243dc9147,1,source/images-near-literal-v001/S-018__3aa243dc9147.png,10-full-source-preserving-transcript-v002.md,closed-near-literal-v002
