idx,symbol_id,file_sha,x,y,w,h,rot,cx,cy
1,image-a910713419d3bd4420ec51e23b6730a8ef52ef3c,946008b7d7,1290.0872820214,371.4676870692274,618.0,280.0,0.0,309.0,140.0
2,image-cb04dab17fa3c871c95585dbb4ca00c0f7c8f991,ca63c7ea65,1254.7964730528074,661.8265515933745,829.0,482.0,0.0,414.5938762626263,241.15625
3,image-3155ecfa2bd067e31f7093dfc0562d6a8756fb1f,e559c3014a,1203.637283689937,1453.0615946480682,804.0,317.0,0.0,402.00000000000006,158.5
4,image-a8be5fd52dab1265ca45faf8be7be61680d0223d,1f821ddb14,1194.061489123176,1783.5464246374174,828.0,473.0,0.0,414.0,236.5
5,image-77b3396bb0aa9b8795f7d76f8c98225a916637a3,eb77e2929c,1226.8617894926876,2429.8678037107156,693.0,482.0,0.0,346.27564102564105,241.15625
6,image-4387503af10e47bda44e1322a098c149f37c7f87,657ddce789,2430.0388684643754,348.25042089387625,706.0,497.0,0.0,352.7860476576991,248.42897727272702
7,image-a5dfdba0a99a96a7e3aa6eb4f023e1677b3edb7b,588fda5919,2425.717950912484,860.9776936211483,603.0,482.0,0.0,301.34946343402225,241.15625
8,image-5523c1d57765266a63ca3fd99a27f08e3bac3e2c,76b65f38e6,1211.920689336741,3434.664564288689,561.0,333.0,0.0,280.5,166.5
9,image-4ac1ed8e2caa452866834299d33dada2e4dd8ffe,789b6afcbe,1197.3448947699794,3761.770643390252,595.0,280.0,0.0,297.5,140.0
10,image-7bb075ac3ec6071ea347b4673e6b14a134c4a7c0,6c7f3a4c90,59.26432670922213,199.76884221250566,813.0,337.0,0.0,406.5,168.5
11,image-47c24e35e6853a30f4870cb2bbc338544586f1cc,7685f51354,83.77356853343326,560.4459052007869,631.0,482.0,0.0,315.3240101289134,241.15625
12,image-651e09d38e7204ae26d1a833e0a43002c12cc3d0,05d53b519f,122.43095268578463,1050.935407153912,692.0,336.0,0.0,345.99999999999994,168.0
13,image-8fa94809aff99ee0dd1ad8c1faecbd0e60a131dd,e64a6e5e80,3684.426537526859,290.317487627246,819.0,482.0,0.0,409.31385135135133,241.15625
14,image-6da6d98d6631a54a7b03b4838f6c4ecf8c92c8c9,5960cccaf0,3589.267549746314,933.4274957831512,995.0,383.0,0.0,497.4999999999999,191.5
15,image-1ba3cec25f41fa2537932b2414542cd219813707,7878812659,3593.2499822361233,1417.104579116487,937.0,482.0,0.0,468.3324275362319,241.15625
16,image-c962b1a1ebd54771e72e95a2e24ccd6f19771711,ee96bb956d,3638.2031851697266,1988.9564535739482,716.0,482.0,0.0,358.1940846286701,241.15625
17,image-40666514fa77dd59044b9957eeeb8c9faa202ca8,700313f176,3601.9662151488365,2549.7883384960805,697.0,482.0,0.0,348.66471809440566,241.15625
18,image-e832c16ab09180c71e7e6fb3bcea3990b014b036,95dd1f21e9,3505.4643072666795,3095.9445884960805,877.0,334.0,0.0,438.5000000000001,167.0
