source_id,decision,region,subregion,reason
S-005,processed-in-pds02-v001,PDS02,PDS02A,Browser fetch reader loop
S-008,processed-in-pds02-v001,PDS02,PDS02B,WebSocket receive loop and EndOfMessage
S-009,processed-in-pds02-v001,PDS02,PDS02B,WebSocket close / close output / abort
S-010,processed-in-pds02-v001,PDS02,PDS02C,Browser WebSocket API receives full messages
S-012,processed-in-pds02-v001,PDS02,PDS02D,UTF-8 decoder handles split characters
S-013,processed-in-pds02-v001,PDS02,PDS02D,Decoder.Convert for streaming text
S-017,pending-later-transcript,PDS04,PDS04A,not part of this batch
S-018,pending-later-transcript,PDS04,PDS04A,not part of this batch
S-019,pending-later-transcript,PDS04,PDS04A,not part of this batch
S-020,pending-later-transcript,PDS04,PDS04A,not part of this batch
S-021,pending-later-transcript,PDS04,PDS04A,not part of this batch
S-022,pending-later-transcript,PDS04,PDS04B,not part of this batch
S-023,pending-later-transcript,PDS04,PDS04B,not part of this batch
