source_id,image_use_id,fileId_short,region,subregion,coverage_status,decision_is_final,audit_result,review_notes
S-001,IU-001,9197db0d17,PDS03,PDS03A,processed-in-pds03-v001,yes-for-pds03-v001-boundary,ok-processed,Included in PDS03 v001 after NEXT01 visual/semantic transcript pass.
S-002,IU-002,9423825d90,PDS03,PDS03A,processed-in-pds03-v001,yes-for-pds03-v001-boundary,ok-processed,Included in PDS03 v001 after NEXT01 visual/semantic transcript pass.
S-003,IU-003,70b21bba16,PDS03,PDS03A,processed-in-pds03-v001,yes-for-pds03-v001-boundary,ok-processed,Included in PDS03 v001 after NEXT01 visual/semantic transcript pass.
S-004,IU-004,e792d02515,PDS03,PDS03A,processed-in-pds03-v001,yes-for-pds03-v001-boundary,ok-processed,Included in PDS03 v001 after NEXT01 visual/semantic transcript pass.
S-005,IU-005,0b8ecf3862,PDS02,PDS02A,processed-in-pds02-v001,yes-for-pds02-v001-boundary,ok-processed,Included in PDS02 v001 after NEXT02 visual/semantic transcript pass.
S-006,IU-006,759a0c3eaa,PDS01,PDS01A,processed-in-pds01-v001,yes-for-pds01-v001-boundary,ok-processed,Included in PDS01 v001 after NEXT01 visual/semantic transcript pass.
S-007,IU-007,eb22a34337,PDS01,PDS01A,processed-in-pds01-v001,yes-for-pds01-v001-boundary,ok-processed,Included in PDS01 v001 after NEXT01 visual/semantic transcript pass.
S-008,IU-008,173aa87080,PDS02,PDS02B,processed-in-pds02-v001,yes-for-pds02-v001-boundary,ok-processed,Included in PDS02 v001 after NEXT02 visual/semantic transcript pass.
S-009,IU-009,65a55deac0,PDS02,PDS02B,processed-in-pds02-v001,yes-for-pds02-v001-boundary,ok-processed,Included in PDS02 v001 after NEXT02 visual/semantic transcript pass.
S-010,IU-010,d97344f4d0,PDS02,PDS02C,processed-in-pds02-v001,yes-for-pds02-v001-boundary,ok-processed,Included in PDS02 v001 after NEXT02 visual/semantic transcript pass.
S-011,IU-011,ab59ca0404,PDS03,PDS03B,processed-in-pds03-v001,yes-for-pds03-v001-boundary,ok-processed,Included in PDS03 v001 after NEXT01 visual/semantic transcript pass.
S-012,IU-012,96aaf9f572,PDS02,PDS02D,processed-in-pds02-v001,yes-for-pds02-v001-boundary,ok-processed,Included in PDS02 v001 after NEXT02 visual/semantic transcript pass.
S-013,IU-013,843188ffb7,PDS02,PDS02D,processed-in-pds02-v001,yes-for-pds02-v001-boundary,ok-processed,Included in PDS02 v001 after NEXT02 visual/semantic transcript pass.
S-014,IU-014,db4553de54,PDS01,PDS01B,processed-in-pds01-v001,yes-for-pds01-v001-boundary,ok-processed,Included in PDS01 v001 after NEXT01 visual/semantic transcript pass.
S-015,IU-015,641b054b70,PDS01,PDS01B,processed-in-pds01-v001,yes-for-pds01-v001-boundary,ok-processed,Included in PDS01 v001 after NEXT01 visual/semantic transcript pass.
S-016,IU-016,8574e13822,PDS01,PDS01B,processed-in-pds01-v001,yes-for-pds01-v001-boundary,ok-processed,Included in PDS01 v001 after NEXT01 visual/semantic transcript pass.
S-017,IU-017,909d2fecc6,PDS04,PDS04A,processed-in-pds04-v001,yes-for-pds04-v001-boundary,ok-processed,Included in PDS04 v001 after NEXT03 visual/semantic transcript pass.
S-018,IU-018,db28e20b0f,PDS04,PDS04A,processed-in-pds04-v001,yes-for-pds04-v001-boundary,ok-processed,Included in PDS04 v001 after NEXT03 visual/semantic transcript pass.
S-019,IU-019,66a2f88836,PDS04,PDS04A,processed-in-pds04-v001,yes-for-pds04-v001-boundary,ok-processed,Included in PDS04 v001 after NEXT03 visual/semantic transcript pass.
S-020,IU-020,d1c3307e92,PDS04,PDS04A,processed-in-pds04-v001,yes-for-pds04-v001-boundary,ok-processed,Included in PDS04 v001 after NEXT03 visual/semantic transcript pass.
S-021,IU-021,0ea3a35556,PDS04,PDS04A,processed-in-pds04-v001,yes-for-pds04-v001-boundary,ok-processed,Included in PDS04 v001 after NEXT03 visual/semantic transcript pass.
S-022,IU-022,c759b46f91,PDS04,PDS04B,processed-in-pds04-v001,yes-for-pds04-v001-boundary,ok-processed,Included in PDS04 v001 after NEXT03 visual/semantic transcript pass.
S-023,IU-023,edcc8ae683,PDS04,PDS04B,processed-in-pds04-v001,yes-for-pds04-v001-boundary,ok-processed,Included in PDS04 v001 after NEXT03 visual/semantic transcript pass.
