source_id,region,x,y,text
T001,R01,560.6680062779151,288.3891638749956,you can get all applied or all rolled back(atomicity)
T002,R01,560.6680062779151,288.3891638749956,with any isolation level
T003,R01,4046.216767780148,526.9596596225124,when reads are part of
T004,R01,4046.216767780148,526.9596596225124,transaction
T005,R01,4046.216767780148,526.9596596225124,when the query runs (linq/sql api to get smth)
T006,R01,57.031104170724575,529.1863950045881,readcommited
T007,R02,8761.0775570011,541.5014059423575,isolaton levels
T008,R02,8761.0775570011,541.5014059423575,how can help to avoid inconsistency
T009,R02,8761.0775570011,541.5014059423575,with multiple queries
T010,R02,8761.0775570011,541.5014059423575,with snapshot/serializable
T011,R01,10.0,738.8160292422835,so readcommited is ok when
T012,R01,10.0,738.8160292422835,we cant have some state changes from
T013,R01,10.0,738.8160292422835,other transaction
T014,R01,10.0,738.8160292422835,like when we have some
T015,R01,10.0,738.8160292422835,e tags that will prevent
T016,R01,10.0,738.8160292422835,update with incons stae
T017,R01,10.0,738.8160292422835,like when we change e tag on some
T018,R01,10.0,738.8160292422835,children changes
T019,R02,11156.763984640194,1112.6636574017639,"other isolaton levels, default"
T020,R02,7306.384837873156,1585.5570259550632,"snapshot,"
T021,R02,7306.384837873156,1585.5570259550632,snapshot exception with code
T022,R02,7306.384837873156,1585.5570259550632,when you update/delete/insert
T023,R02,7306.384837873156,1585.5570259550632,based on old data
T024,R02,11133.871214681882,2083.5766199607006,why serializable
T025,R01,5155.252049357265,2212.4650968916435,reading your own
T026,R01,5155.252049357265,2212.4650968916435,uncommited changes
T027,R01,175.50052580916508,2475.504239122624,dbcontext about transactions strategies
T028,R02,11135.266249409578,2587.4276749757514,readuncommited
T029,R01,886.6998292747485,2758.004646023666,so i have some scenarios when i may need some
T030,R01,886.6998292747485,2758.004646023666,transaction or when i may think that i need them
T031,R01,886.6998292747485,2758.004646023666,"1 when i query something from db, look at it and chose to change it"
T032,R01,886.6998292747485,2758.004646023666,but at the same time i may have another request that
T033,R01,886.6998292747485,2758.004646023666,changes the same thing
T034,R01,886.6998292747485,2758.004646023666,"dont need manual transaction, can configure rowversion or"
T035,R01,886.6998292747485,2758.004646023666,isconcurencytoken and ef will throw exceptions
T036,R01,886.6998292747485,2758.004646023666,2 when i have multiple queries to get data
T037,R01,886.6998292747485,2758.004646023666,may need transaction with isolationlevel snapshot
T038,R01,886.6998292747485,2758.004646023666,3 when i have some possible nesting of methods that mutate
T039,R01,886.6998292747485,2758.004646023666,queried entity and each may call savechanges
T040,R01,886.6998292747485,2758.004646023666,one savechanges succeds another fails and we get inconsistency
T041,R01,886.6998292747485,2758.004646023666,need to wrap everything in one transaction with any isolatoin level but usually with default
T042,R01,886.6998292747485,2758.004646023666,4 when i have some database.executesql  or other like dbset.executeupdate (that is
T043,R01,886.6998292747485,2758.004646023666,linq based but everything else like executesql) - they all dont care about savechanges
T044,R01,886.6998292747485,2758.004646023666,so if i want them to be in a traqnsaction i need to create transaction
T045,R02,11139.752948520343,3089.749460933655,readcommited
T046,R02,12065.360455571448,3704.033653036074,repeatableread vs serialized
T047,R02,12065.360455571448,3704.033653036074,repeatableread vs serialized
T048,R02,11120.64888578658,3733.8325793113763,repeatableread
T049,R03,3500.7781012048154,6709.020365429745,isolation level
T050,R03,3500.7781012048154,6709.020365429745,in manual retries from same tranaction
T051,R03,3500.7781012048154,6709.020365429745,using savepoints cases
T052,R03,6892.832934560564,7920.096474344875,when we use execute (not in transaction)
T053,R03,6892.832934560564,7920.096474344875,method
T054,R03,6892.832934560564,7920.096474344875,and there is some ambigous outcome of
T055,R03,6892.832934560564,7920.096474344875,the transaction
T056,R03,6892.832934560564,7920.096474344875,by default - we will retry
T057,R03,6698.7589735145575,8059.170469299297,!!!
T058,R04,8197.96198490367,8246.058914601435,"locks with readcommited,"
T059,R04,8197.96198490367,8246.058914601435,"rcsi,serializable"
T060,R04,10014.62581363777,8546.770858109481,when locks are acquired
T061,R04,10014.62581363777,8546.770858109481,on start of transaction
T062,R04,10014.62581363777,8546.770858109481,or on data touch?
T063,R04,8458.467207937509,8733.224384410754,read commited
T064,R04,8327.800459890634,10370.557880504504,rcsi
T065,R04,8335.419391252242,12050.557880504504,serializable
T066,R04,9585.504383497195,12471.819773972386,serializable protects the
T067,R04,9585.504383497195,12471.819773972386,range relevant to predicate
T068,R04,6359.220617565442,12642.139839218773,when both trans need to have isolation
T069,R04,6359.220617565442,12642.139839218773,serializable
T070,R04,6359.220617565442,12642.139839218773,to keep invariants
T071,R04,6219.959635916203,13786.701939989627,!!!
