label_id,text,x,y,font_size,region,status,transcript_status
T-001,may need to diff by response ,11321.899857,473.993405,526.666748,R02,reviewed,closed
T-002,and request headers,11321.899857,1132.32684,526.666748,R02,reviewed,closed
T-003,may need to ask for all possible attrs,11321.899857,1790.660275,526.666748,R02,reviewed,closed
T-004,that header may have,11321.899857,2448.99371,526.666748,R02,reviewed,closed
T-005,Authorization header,15679.615419,3830.840115,439.55542,R02,reviewed,closed
T-006,expect header,11194.996098,3846.026116,277.777913,R02,reviewed,closed
T-007,cant do in browser,9533.29485,4125.231349,144.444417,R02,reviewed,closed
T-008,ww-authenticate,18097.296461,4299.625531,274.222331,R02,reviewed,closed
T-009,Referer header,13761.574664,4328.22871,160.718018,R02,reviewed,closed
T-010,expires and pragma headers ,4417.209375,4392.165821,136.294247,R01,reviewed,closed
T-011,(safelisted response headers in cross orig req),4417.209375,4562.533629,136.294247,R01,reviewed,closed
T-012,basic scheme,16274.877186,5566.134601,64.444499,R02,reviewed,closed
T-013,cookies vs authorization,17362.654896,5613.457287,62.666667,R02,reviewed,closed
T-014,realm,20724.029056,5634.428488,437.939231,R02,reviewed,closed
T-015,bearer scheme,16274.877186,5646.690224,64.444499,R02,reviewed,closed
T-016,location,1079.993125,5903.603523,302.666504,R01,reviewed,closed
T-017,what is origin,4446.216615,6997.784488,93.481472,R01,reviewed,closed
T-018,origin,5613.327476,7036.936653,302.666504,R01,reviewed,closed
T-019,201 created,526.659908,7042.780753,165.523647,R01,reviewed,closed
T-020,redirects,1882.850268,7075.161735,165.523647,R01,reviewed,closed
T-021,is client controlled?,4446.216615,7114.636329,93.481472,R01,reviewed,closed
T-022,asp.net core headers and,13087.748664,8246.796967,139.111084,R03,reviewed,closed
T-023,httpconent headers and,9861.190403,8312.996122,98.222168,R03,reviewed,closed
T-024,abst,13087.748664,8420.685822,139.111084,R03,reviewed,closed
T-025,abstreactions,9861.190403,8435.773832,98.222168,R03,reviewed,closed
T-026,add,7353.285689,9166.979696,114.857125,R03,reviewed,closed
T-027,indexer,13831.037321,9266.451642,114.857125,R03,reviewed,closed
T-028,stringkey.empty,13013.220565,9565.746249,82.87721,R03,reviewed,closed
T-029,!!!!,13659.185467,9593.939396,68.28071,R03,reviewed,closed
T-030,trygetvalue,13987.400899,9749.386172,114.857125,R03,reviewed,closed
T-031,add,7361.490786,9771.082268,114.857125,R03,reviewed,closed
T-032,accept,9751.918236,9995.184832,114.857125,R03,reviewed,closed
T-033,append,15417.150992,10123.320737,114.857125,R03,reviewed,closed
T-034,helpers,13992.768848,10247.866997,209.333339,R03,reviewed,closed
T-035,tryaddwithoutval,7364.567709,10255.184816,114.857125,R03,reviewed,closed
T-036,authorizations,9748.584953,10471.851397,114.857125,R03,reviewed,closed
T-037,appendcommasepvalues,15211.245287,10556.969546,114.857125,R03,reviewed,closed
T-038,accept,13885.251976,10661.8516,114.857125,R03,reviewed,closed
T-039,trygetval,7308.157422,10893.133566,114.857125,R03,reviewed,closed
T-040,ifnonematch,9746.918236,10903.518114,114.857125,R03,reviewed,closed
T-041,getcommasepvalues,15241.811211,10992.935458,114.857125,R03,reviewed,closed
T-042,host,13836.362969,11234.073636,114.857125,R03,reviewed,closed
T-043,useragent,9768.584953,11379.629158,114.857125,R03,reviewed,closed
T-044,contains,7335.849729,11455.18484,114.857125,R03,reviewed,closed
T-045,appendlist,15217.680257,11610.687877,114.857125,R03,reviewed,closed
T-046,ifmodifiedsince,13764.696149,11710.184832,114.857125,R03,reviewed,closed
T-047,host,9720.807142,11740.740303,114.857125,R03,reviewed,closed
T-048,remove,7297.754549,11958.168883,114.857125,R03,reviewed,closed
T-049,ifnonematch,13768.251732,12186.184863,114.857125,R03,reviewed,closed
T-050,setcommasepvalues,15245.833086,12192.243865,114.857125,R03,reviewed,closed
T-051,etag,9784.140475,12341.851473,114.857125,R03,reviewed,closed
T-052,authorizations,13729.045244,12647.549754,114.857125,R03,reviewed,closed
T-053,location,9721.918287,12741.851473,114.857125,R03,reviewed,closed
T-054,reyty-after,9707.103427,13224.814391,114.857125,R03,reviewed,closed
T-055,content type,13658.800916,13370.992806,114.857125,R03,reviewed,closed
T-056,cache control,13727.372345,13770.992806,114.857125,R03,reviewed,closed
T-057,content type,9724.197412,13884.643435,114.857125,R03,reviewed,closed
T-058,etag,13822.870537,14195.184952,114.857125,R03,reviewed,closed
T-059,content length,9679.069239,14410.797281,114.857125,R03,reviewed,closed
T-060,location,13802.870537,14647.306223,114.857125,R03,reviewed,closed
T-061,content encoding,9696.505105,14920.54084,114.857125,R03,reviewed,closed
T-062,set cookie,13841.537285,15076.639481,114.857125,R03,reviewed,closed
T-063,add/tryaddwithout val,9552.182729,15390.724006,114.857125,R03,reviewed,closed
T-064,cookieheadervalue,13764.204033,16233.972855,114.857125,R04,reviewed,closed
T-065,get typeheaders,15359.259755,16374.742617,158.666748,R04,reviewed,closed
T-066,req/res,15359.259755,16573.076052,158.666748,R04,reviewed,closed
T-067,setcookieheadervalue,13673.434363,16875.664071,114.857125,R04,reviewed,closed
T-068,inspect cookie values,19423.486397,17338.106787,98.476179,R05,reviewed,closed
T-069,using typed headers,19423.486397,17461.20201,98.476179,R05,reviewed,closed
T-070,headernames,13717.202213,17527.575272,114.857125,R04,reviewed,closed
T-071,inspecting cookies,20960.628981,17950.096867,265.333252,R05,reviewed,closed
T-072,not everyday app code,13776.229069,18045.084875,66.992887,R04,reviewed,closed
T-073,parsing from raw strings ,19497.33706,18469.499965,58.0,R05,reviewed,closed
T-074,to setcookieheadervalue,19497.33706,18541.999965,58.0,R05,reviewed,closed
T-075,mediatypeheadervaluecomparer,13408.523409,18589.522388,114.857125,R04,reviewed,closed
T-076,wildcards?,15758.376749,18608.305527,123.405511,R04,reviewed,closed
T-077,!!!,19144.70336,18962.821706,161.575772,R05,reviewed,closed
T-078,stringwithqualheadervaluecomparer,13235.262343,19235.00888,114.857125,R04,reviewed,closed
T-079,the truth about cookies,19084.084695,19337.388234,169.333319,R05,reviewed,closed
T-080,"accepts strings,not typed media types",14722.019585,19340.72653,20.0,R04,reviewed,closed
T-081,when working with raw header string without to typedheaders,19084.084695,19549.054882,169.333319,R05,reviewed,closed
