id,text,x,y,transform
T-001,ww-authenticate,0,241.58987337239242,
T-002,Authorization header,0,387.2483249511718,
T-003,cookies vs authorization,0,55.20933333333504,
T-004,basic scheme,0,56.77560335286503,
T-005,bearer scheme,0,137.3312267252615,
T-006,Referer header,0,141.59257348632812,
T-007,expect header,0,244.72234171549312,
T-008,cant do in browser,0,127.25553165690187,
T-009,expires and pragma headers,0,120.07523152697514,
T-010,(safelisted response headers in cross orig req),0,290.4430401634325,
T-011,may need to diff by response,0,463.99340502929704,
T-012,and request headers,0,1122.326840087891,
T-013,may need to ask for all possible attrs,0,1780.660275146485,
T-014,that header may have,0,2438.993710205079,
T-015,realm,0,385.82446266867845,
T-016,not everyday app code,0,59.0207335727899,
T-017,"accepts strings,not typed media types",0,17.619999999999997,
T-018,httpconent headers and,0,86.53372998046888,
T-019,abstreactions,0,209.31143994140655,
T-020,asp.net core headers and,0,122.55686499023437,
T-021,abst,0,296.4457199707031,
T-022,accept,0,101.18912749372232,
T-023,accept,0,101.18912749372232,
T-024,add,0,101.18912749372232,
T-025,add,0,101.18912749372232,
T-026,tryaddwithoutval,0,101.18912749372232,
T-027,trygetval,0,101.18912749372232,
T-028,contains,0,101.18912749372232,
T-029,remove,0,101.18912749372232,
T-030,indexer,0,101.18912749372232,
T-031,trygetvalue,0,101.18912749372232,
T-032,helpers,0,184.42267178780756,
T-033,append,0,101.18912749372232,
T-034,appendcommasepvalues,0,101.18912749372232,
T-035,getcommasepvalues,0,101.18912749372232,
T-036,appendlist,0,101.18912749372232,
T-037,setcommasepvalues,0,101.18912749372232,
T-038,ifnonematch,0,101.18912749372232,
T-039,ifnonematch,0,101.18912749372232,
T-040,ifmodifiedsince,0,101.18912749372232,
T-041,authorizations,0,101.18912749372232,
T-042,authorizations,0,101.18912749372232,
T-043,useragent,0,101.18912749372232,
T-044,host,0,101.18912749372232,
T-045,host,0,101.18912749372232,
T-046,etag,0,101.18912749372232,
T-047,etag,0,101.18912749372232,
T-048,location,0,101.18912749372232,
T-049,set cookie,0,101.18912749372232,
T-050,cookieheadervalue,0,101.18912749372232,
T-051,setcookieheadervalue,0,101.18912749372232,
T-052,headernames,0,101.18912749372232,
T-053,mediatypeheadervaluecomparer,0,101.18912749372232,
T-054,stringwithqualheadervaluecomparer,0,101.18912749372232,
T-055,location,0,101.18912749372232,
T-056,reyty-after,0,101.18912749372232,
T-057,content type,0,101.18912749372232,
T-058,cache control,0,101.18912749372232,
T-059,content type,0,101.18912749372232,
T-060,content length,0,101.18912749372232,
T-061,content encoding,0,101.18912749372232,
T-062,add/tryaddwithout val,0,101.18912749372232,
T-063,!!!!,0,60.15530579255725,
T-064,stringkey.empty,0,73.01482211143136,
T-065,wildcards?,0,108.72025539682772,
T-066,get typeheaders,0,139.7854050292968,
T-067,req/res,0,338.1188400878905,
T-068,inspect cookie values,0,86.75751356724301,
T-069,using typed headers,0,209.85273713030062,
T-070,inspecting cookies,0,233.75859497070317,
T-071,parsing from raw strings,0,51.09800000000002,
T-072,to setcookieheadervalue,0,123.59800000000004,
T-073,what is origin,0,82.3571772189672,
T-074,is client controlled?,0,199.2090177680126,
T-075,origin,0,266.64918994140623,
T-076,location,0,266.64918994140623,
T-077,201 created,0,145.82633279854934,
T-078,redirects,0,145.82633279854934,
T-079,the truth about cookies,0,149.1826536310374,
T-080,when working with raw header string without to typedheaders,0,360.84930180220283,
T-081,!!!,0,142.3482554598719,
