source_id,decision,candidate_type,reason
S-004,included-in-r03-v001,r03-candidate-confirmed,included in R03 after visual/semantic boundary review
S-005,included-in-r03-v001,r03-candidate-confirmed,included in R03 after visual/semantic boundary review
S-006,included-in-r03-v001,r03-candidate-confirmed,included in R03 after visual/semantic boundary review
S-007,included-in-r03-v001,r03-candidate-confirmed,included in R03 after visual/semantic boundary review
S-029,included-in-r03-v001,r03-candidate-confirmed,included in R03 after visual/semantic boundary review
S-008,included-in-r03-v001,r03-candidate-confirmed,included in R03 after visual/semantic boundary review
S-030,included-in-r03-v001,r03-candidate-confirmed,included in R03 after visual/semantic boundary review
S-028,included-in-r03-v001,r03-candidate-confirmed,included in R03 after visual/semantic boundary review
S-009,included-in-r03-v001,r03-candidate-confirmed,included in R03 after visual/semantic boundary review
S-010,included-in-r03-v001,r03-candidate-confirmed,included in R03 after visual/semantic boundary review
S-091,included-in-r03-v001,r03-candidate-confirmed,included in R03 after visual/semantic boundary review
S-001,included-in-r03-v001,r03-candidate-confirmed,included in R03 after visual/semantic boundary review
S-002,included-in-r03-v001,r03-candidate-confirmed,included in R03 after visual/semantic boundary review
S-090,included-in-r03-v001,r03-candidate-confirmed,included in R03 after visual/semantic boundary review
S-003,included-in-r03-v001,r03-candidate-confirmed,included in R03 after visual/semantic boundary review
S-087,included-in-r03-v001,r03-candidate-confirmed,included in R03 after visual/semantic boundary review
S-011,included-in-r03-v001,r03-candidate-confirmed,included in R03 after visual/semantic boundary review
S-088,included-in-r03-v001,r03-candidate-confirmed,included in R03 after visual/semantic boundary review
S-012,included-in-r03-v001,r03-candidate-confirmed,included in R03 after visual/semantic boundary review
S-089,included-in-r03-v001,r03-candidate-confirmed,included in R03 after visual/semantic boundary review
S-092,included-in-r03-v001,r03-candidate-confirmed,included in R03 after visual/semantic boundary review
S-013,included-in-r03-v001,r03-candidate-confirmed,included in R03 after visual/semantic boundary review
S-014,included-in-r03-v001,r03-candidate-confirmed,included in R03 after visual/semantic boundary review
S-015,included-in-r03-v001,r03-candidate-confirmed,duplicate visible image use of StreamBooks DTO mapping code; both placements recorded
S-016,included-in-r03-v001,r03-candidate-confirmed,included in R03 after visual/semantic boundary review
S-017,included-in-r03-v001,r03-candidate-confirmed,included in R03 after visual/semantic boundary review
S-018,included-in-r03-v001,r03-candidate-confirmed,included in R03 after visual/semantic boundary review
S-019,included-in-r03-v001,r03-candidate-confirmed,included in R03 after visual/semantic boundary review
S-020,included-in-r03-v001,r03-candidate-confirmed,included in R03 after visual/semantic boundary review
S-021,included-in-r03-v001,r03-candidate-confirmed,included in R03 after visual/semantic boundary review
S-022,included-in-r03-v001,r03-candidate-confirmed,included in R03 after visual/semantic boundary review
S-023,included-in-r03-v001,r03-candidate-confirmed,included in R03 after visual/semantic boundary review
S-024,included-in-r03-v001,pulled-from-unsplit-after-boundary-review,pulled from UNSPLIT; continues R03 REST-friendly streaming endpoint concerns
S-025,included-in-r03-v001,pulled-from-unsplit-after-boundary-review,pulled from UNSPLIT; continues R03 REST-friendly streaming endpoint concerns
S-026,included-in-r03-v001,pulled-from-unsplit-after-boundary-review,pulled from UNSPLIT; continues R03 REST-friendly streaming endpoint concerns
S-027,included-in-r03-v001,pulled-from-unsplit-after-boundary-review,pulled from UNSPLIT; continues R03 REST-friendly streaming endpoint concerns
S-084,checked-not-r03-candidate-r04,adjacent-r04-candidate,Starts NDJSON streaming controller action implementation; belongs to R04 IAsyncEnumerable/NDJSON/FlushAsync road.
