region_source_id,source_id,fileId_short,status,candidate_type,readability,cut_off,confidence,theme,text,notes
R06-S001,S-069,56e96b1339,verified-from-source-image,main-r06-benefits-performance-road,high,no,high,"streams, memory use and performance — overhead warning","On Streams, Memory Use and Performance

Creating and disposing streams can cause some overhead
- You may see a direct impact on performance",Heading/slide opener for R06 lower-tail benefits and performance tradeoffs.
R06-S002,S-070,e48f9a1994,verified-from-source-image,main-r06-benefits-performance-road,high,no,high,streams keep memory use low,"On Streams, Memory Use and Performance

Using streams ensures memory use is kept low
- Minimizing memory can also minimize garbage collection, which has a positive impact on performance",Second opener slide: balancing stream overhead against lower memory/GC pressure.
R06-S003,S-071,4f2ecffda9,verified-from-source-image,main-r06-benefits-performance-road,high,no,high,stream creation/disposal overhead,"1) “Creating and disposing streams can cause overhead”

What this means in practice:

- Every Stream object is an allocation.
- Many stream types wrap other objects (e.g., StreamContent wraps a stream; GZipStream wraps a stream; BufferedStream wraps a stream). Layers add overhead.
- Disposing may do work:
  - flush buffers
  - finalize compression (gzip footer)
  - return buffers to pools
  - close OS handles (for FileStream)
- If you create lots of short-lived streams in tight loops (e.g., thousands per second), you may see:
  - extra CPU work
  - more allocations
  - more pressure on GC (even if each stream is small)

So the slide warns: don’t assume “streaming” is automatically faster. For small payloads, the extra plumbing can be slower than just reading into memory.",Explains negative side: streaming has allocation/layer/disposal costs.
R06-S004,S-073,9a9f6926e9,verified-from-source-image,main-r06-benefits-performance-road,high,no,high,low memory and stable working set,"2) “Using streams ensures memory use is kept low”

This is the main benefit:

- If you buffer a 100 MB response as a string / byte[], you allocate ~100 MB (often more due to intermediate copies).
- That large allocation:
  - increases working set
  - can trigger Gen2/LOH allocations
  - causes longer GC pauses
  - can reduce throughput under load

With streaming you can:

- read chunks and process them
- avoid creating large in-memory intermediates
- keep memory stable even for large payloads",Explains main positive side: streaming avoids large buffers/intermediates.
R06-S005,S-072,b5d804a68a,verified-from-source-image,main-r06-benefits-performance-road,high,no,high,lower allocation rate reduces GC pressure,"3) “Minimizing memory can minimize garbage collection... positive impact on performance”

GC cost correlates with allocation rate and object sizes.

- Fewer/lower allocations → fewer GC cycles
- Avoiding large objects (Large Object Heap) → fewer expensive collections/compactions
- Less memory churn → better latency and throughput

That’s why, for large payloads or high concurrency, streaming often improves overall performance even if per-operation overhead is slightly higher.",Connects memory reduction to GC and throughput/latency benefits.
R06-S006,S-074,0d0d66d8e9,verified-from-source-image,main-r06-benefits-performance-road,high,no,high,when streaming is worth it,"When streaming is worth it (rules of thumb)

Use streams when:

- responses/uploads are large (files, big JSON arrays, exports)
- you have high concurrency (many simultaneous requests) and want to avoid memory spikes
- you can process incrementally (copy to file, parse line-by-line, deserialize items one-by-one)

Don’t bother when:

- payloads are small (typical CRUD JSON)
- you need the entire data in memory anyway (you deserialize whole object graph)
- simplicity is more valuable than marginal gains",R06 decision heuristic: large/high-concurrency/incremental vs small/simple/need-whole-object.
R06-S007,S-075,6381293c9b,verified-from-source-image,r06-mental-model-and-question-answer-road,high,no,high,three different streaming ideas,"There are three different “streaming” ideas mixed together in these slides. They are related, but not the same:

1. HTTP response streaming at the byte level (ResponseHeadersRead + ReadAsStreamAsync)
2. JSON streaming at the object level (IAsyncEnumerable<T> + System.Text.Json streaming)
3. Streaming request bodies (StreamContent on the request)

I’ll map each and answer your questions directly.",Bridging/source-of-confusion slide that ties together R02/R03/R04/R05 concepts.
R06-S008,S-076,200b8fb776,verified-from-source-image,r06-mental-model-and-question-answer-road,high,bottom-visible-continues-at-last-line-but-readable,high-for-visible-text,direct answers: response streaming vs IAsyncEnumerable vs request content,"Answering your exact questions

1) “Difference between this and just reading as stream with ResponseHeadersRead?”

- ResponseHeadersRead + ReadAsStreamAsync is byte-level streaming (you get a Stream).
- IAsyncEnumerable<T> is object-level streaming (you get items T over time).
- You often use them together: get the stream early, then parse items as they arrive.

2) “When we read as stream... responder may send just JSON?”

Yes. The server still returns a normal HTTP response with a body (often JSON). You’re just consuming it without buffering.

3) “Or it puts stream content into request?”

No—reading a response stream has nothing to do with request content. Request streaming is StreamContent (upload).","Answers questions about differences between response body stream, object stream, and request upload stream."
R06-S009,S-083,a4b0c7586a,verified-duplicate-fragment-from-source-image,duplicate-fragment-recorded-in-r06,medium-high,left/top cropped; visible middle fragment only,high-for-visible-text,duplicate visible fragment of R06-S008 questions 2 and 3,"2) “When we read as stream... responder may send just JSON?”

Yes. The server still returns a normal HTTP response with a body (often JSON). You’re just consuming it without buffering.

3) “Or it puts stream content into request?”

No—reading a response stream has nothing to do with request content. Request streaming is StreamContent (upload).",Partial duplicate/fragment of R06-S008. Recorded so this image use is not lost.
R06-S010,S-077,846d8a24c3,verified-from-source-image,r06-mental-model-and-question-answer-road,high,no,high,StreamContent vs IAsyncEnumerable and async enumerable scope,"4) “Difference between putting StreamContent to request and async enumerable?”

They solve different problems:

- StreamContent = how you send bytes as the request body (upload streaming).
- IAsyncEnumerable<T> = how you produce/consume a sequence of objects asynchronously (streaming items).

They can be used independently.

5) “Async enumerable is only about returning responses?”

No. It’s a general .NET concept.

- On server: can return IAsyncEnumerable<T> to stream items out.
- On client: can parse streamed JSON into IAsyncEnumerable<T> and iterate.",Completes the direct Q&A with distinction between request body byte stream and object enumeration.
R06-S011,S-078,161a37f028,verified-from-source-image,r06-mental-model-and-question-answer-road,high,no,high,concrete mental model for stream types,"A concrete mental model

- Stream (bytes): “I don’t want to buffer the whole body; I want bytes as they arrive.”
- IAsyncEnumerable<T> (objects): “I don’t want a List<T>; I want items one by one as they arrive/are produced.”
- StreamContent (request): “I don’t want to buffer the upload; I want to send bytes from a stream.”",Final R06 conceptual synthesis.
