source_id,fileId,fileId_short,x,y,width,height,initial_candidate_band,coverage_status,current_region_decision,decision_is_final,must_recheck_before_region_close,decision_basis,review_notes
S-001,0b476106122faeb89da0019ce7c22d51449b3302,0b47610612,7133.284,5584.892,961.0,378.0,R03-candidate-streaming-objects-async-iteration-rest-concerns,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-002,fd9db43c2e3a4a0ffc6a7de71647ac037d379d76,fd9db43c2e,7221.213,6020.868,768.0,387.0,R03-candidate-streaming-objects-async-iteration-rest-concerns,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-003,79d472135b13cd29691e535444beb8fd09cc4f3c,79d472135b,7127.879,6480.201,888.0,345.0,R03-candidate-streaming-objects-async-iteration-rest-concerns,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-004,a5138159cfabcbe262980c726d331d1cd19bcedc,a5138159cf,7041.253,2194.227,1270.0,356.0,R03-candidate-streaming-objects-async-iteration-rest-concerns,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-005,57dda1cff1472a2c686d183da5a6e38349c28dca,57dda1cff1,6944.84,2624.499,1409.0,332.0,R03-candidate-streaming-objects-async-iteration-rest-concerns,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-006,82efdf3d5eeb1d3d8e235b0df123f7d85c4ae8d5,82efdf3d5e,6970.019,3121.857,1290.0,280.0,R03-candidate-streaming-objects-async-iteration-rest-concerns,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-007,0519fd4e1505a9da26653242f01feba45e147e50,0519fd4e15,7121.227,3525.772,809.0,369.0,R03-candidate-streaming-objects-async-iteration-rest-concerns,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-008,e9154019a54bc855d1c5e25cde3247c5bd55887d,e9154019a5,7179.082,3972.686,786.0,369.0,R03-candidate-streaming-objects-async-iteration-rest-concerns,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-009,d865a2c85aa52dec401fe876e3f658be36acd690,d865a2c85a,7232.183,4430.71,758.0,427.0,R03-candidate-streaming-objects-async-iteration-rest-concerns,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-010,3336c0c8cc873feb247573ee2659b1b3fb882a07,3336c0c8cc,7145.317,4929.723,1038.0,369.0,R03-candidate-streaming-objects-async-iteration-rest-concerns,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
