source_kind,source_id,region,transcript_file,status,canvas_x,canvas_y,asset_id,source_text
image-use,IU-001,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,4760.669291890663,1624.1093601366147,A-205,
image-use,IU-002,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,4847.874506878417,2423.6330596872094,A-204,
image-use,IU-003,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,4760.156570981919,2828.761285926662,A-203,
image-use,IU-004,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,4815.686740245828,4090.7650820440313,A-202,
image-use,IU-005,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,4802.846487569934,3488.334616345789,A-201,
image-use,IU-006,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,5086.430449805963,4412.183632770847,A-200,
image-use,IU-007,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,4920.163774232933,4966.140804846752,A-199,
image-use,IU-008,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,4960.494395869664,5441.744491339344,A-198,
image-use,IU-009,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,4991.082782573763,5742.209124265245,A-197,
image-use,IU-010,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,4989.389036835616,6143.918515908087,A-196,
image-use,IU-011,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,5049.268409039862,6674.68771064962,A-195,
image-use,IU-012,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,4897.449341399628,7093.491103858704,A-194,
image-use,IU-013,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,4905.396204388295,7546.973043425717,A-193,
image-use,IU-014,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,5058.99761261543,8449.002908688683,A-192,
image-use,IU-015,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,5049.253698611716,9041.73002728679,A-191,
image-use,IU-016,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,3579.857078481457,1550.2700702305792,A-190,
image-use,IU-017,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,3595.300236217761,1983.6033952854978,A-189,
image-use,IU-018,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,6081.066597552455,1460.2025197687963,A-188,
image-use,IU-019,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,6665.212601821657,1915.7972678013693,A-187,
image-use,IU-020,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,6474.593847946179,2796.1003350954097,A-186,
image-use,IU-021,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,6491.9621871206855,2350.4942629296575,A-185,
image-use,IU-022,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,6416.584596834209,3323.179463064146,A-184,
image-use,IU-023,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,6323.842411511341,3867.623902387023,A-183,
image-use,IU-024,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,6410.466353033434,4311.1423591374705,A-182,
image-use,IU-025,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,6459.582711679342,4858.211402587943,A-181,
image-use,IU-026,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,8854.273685654105,2394.127917832664,A-180,
image-use,IU-027,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,7866.384525497855,2350.0167728131346,A-179,
image-use,IU-028,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,7853.932493317795,3420.8740101294457,A-178,
image-use,IU-029,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,7794.265724925868,3907.4851551489774,A-177,
image-use,IU-030,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,8521.519239016367,2953.0998438406104,A-176,
image-use,IU-031,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,8367.029203103357,1933.0997929779805,A-175,
image-use,IU-032,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,9109.615212230556,3478.7310221969674,A-174,
image-use,IU-033,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,8554.984319848769,4143.215073446954,A-173,
image-use,IU-034,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,8020.642045806853,4627.214227608241,A-172,
image-use,IU-035,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,8788.037806365879,4635.092884805944,A-171,
image-use,IU-036,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,8139.974140024215,5024.448703407018,A-170,
image-use,IU-037,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,10557.973936573693,3723.6708917208193,A-169,
image-use,IU-038,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,8156.790831568289,5717.670796292837,A-168,
image-use,IU-039,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,8071.678624664319,5164.3374833045555,A-167,
image-use,IU-040,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1974.0529251433254,1437.562845073221,A-166,
image-use,IU-041,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1973.219533681271,1806.1818636279068,A-165,
image-use,IU-042,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1896.6241793285926,2188.634186451568,A-164,
image-use,IU-043,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1907.6479888524018,2531.9517727145876,A-163,
image-use,IU-044,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1914.2350994148,2972.0732530205796,A-162,
image-use,IU-045,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1878.4257801935473,3507.396128997142,A-161,
image-use,IU-046,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1558.7591542169848,6938.062816008861,A-160,
image-use,IU-047,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1929.650996749453,10.0,A-159,
image-use,IU-048,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,364.26629688017783,712.5257926565728,A-158,
image-use,IU-049,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,140.90347154876235,1266.688036696446,A-157,
image-use,IU-050,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,195.82984006468632,1767.6403595201018,A-156,
image-use,IU-051,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,10.0,2207.270035975642,A-155,
image-use,IU-052,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,253.4334794908782,2714.6774659886723,A-154,
image-use,IU-053,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1927.1492378046728,325.09952024090944,A-153,
image-use,IU-054,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1944.9459462398822,860.5966033008008,A-160,
image-use,IU-055,R03,regions/R03-filtering-searching-pagination-sorting.md,reviewed,4633.169690728264,10072.937816390895,A-152,
image-use,IU-056,R03,regions/R03-filtering-searching-pagination-sorting.md,reviewed,4845.145253942878,10622.144030871794,A-151,
image-use,IU-057,R03,regions/R03-filtering-searching-pagination-sorting.md,reviewed,4884.665403604704,11791.985311082368,A-150,
image-use,IU-058,R03,regions/R03-filtering-searching-pagination-sorting.md,reviewed,4872.838085191668,12242.77895771314,A-149,
image-use,IU-059,R03,regions/R03-filtering-searching-pagination-sorting.md,reviewed,4927.864494360074,12685.636154309068,A-148,
image-use,IU-060,R03,regions/R03-filtering-searching-pagination-sorting.md,reviewed,4955.924227640166,13264.631109597656,A-147,
image-use,IU-061,R03,regions/R03-filtering-searching-pagination-sorting.md,reviewed,4930.7049594931705,14044.176268831601,A-146,
image-use,IU-062,R03,regions/R03-filtering-searching-pagination-sorting.md,reviewed,4866.760515048725,14339.491061040797,A-145,
image-use,IU-063,R03,regions/R03-filtering-searching-pagination-sorting.md,reviewed,4508.508577030016,11222.15445641604,A-144,
image-use,IU-064,R03,regions/R03-filtering-searching-pagination-sorting.md,reviewed,4865.146677745789,15273.094141813719,A-143,
image-use,IU-065,R03,regions/R03-filtering-searching-pagination-sorting.md,reviewed,4860.202233301346,14887.33473561797,A-142,
image-use,IU-066,R03,regions/R03-filtering-searching-pagination-sorting.md,reviewed,4728.403721134916,18007.198266383344,A-141,
image-use,IU-067,R03,regions/R03-filtering-searching-pagination-sorting.md,reviewed,4503.373241534725,18479.09151814383,A-140,
image-use,IU-068,R03,regions/R03-filtering-searching-pagination-sorting.md,reviewed,4579.641318926472,17529.00453458083,A-139,
image-use,IU-069,R03,regions/R03-filtering-searching-pagination-sorting.md,reviewed,4709.432589759891,15775.129104997628,A-138,
image-use,IU-070,R03,regions/R03-filtering-searching-pagination-sorting.md,reviewed,4570.971785344066,16160.291365900906,A-137,
image-use,IU-071,R03,regions/R03-filtering-searching-pagination-sorting.md,reviewed,4550.566478785481,16600.29139996828,A-136,
image-use,IU-072,R03,regions/R03-filtering-searching-pagination-sorting.md,reviewed,4779.084900057943,16992.51360910399,A-135,
image-use,IU-073,R03,regions/R03-filtering-searching-pagination-sorting.md,reviewed,4713.793305555455,19319.82018709351,A-134,
image-use,IU-074,R03,regions/R03-filtering-searching-pagination-sorting.md,reviewed,4772.2670543233,19660.093691310958,A-133,
image-use,IU-075,R03,regions/R03-filtering-searching-pagination-sorting.md,reviewed,4708.827682455629,20676.760282875734,A-132,
image-use,IU-076,R03,regions/R03-filtering-searching-pagination-sorting.md,reviewed,4702.500338157695,20138.067711403066,A-131,
image-use,IU-077,R03,regions/R03-filtering-searching-pagination-sorting.md,reviewed,4579.000185569805,21102.73437038733,A-130,
image-use,IU-078,R03,regions/R03-filtering-searching-pagination-sorting.md,reviewed,4564.000185569805,21481.45651671296,A-129,
image-use,IU-079,R03,regions/R03-filtering-searching-pagination-sorting.md,reviewed,4741.229875445442,22066.65881534345,A-128,
image-use,IU-080,R03,regions/R03-filtering-searching-pagination-sorting.md,reviewed,4743.89674556263,22658.65881534345,A-127,
image-use,IU-081,R04,regions/R04-data-shaping-hateoas-content-negotiation.md,reviewed,5039.159231338543,24261.370510974226,A-126,
image-use,IU-082,R04,regions/R04-data-shaping-hateoas-content-negotiation.md,reviewed,4760.937022679687,23421.096133692514,A-125,
image-use,IU-083,R04,regions/R04-data-shaping-hateoas-content-negotiation.md,reviewed,4756.872062632479,23871.536213222626,A-124,
image-use,IU-084,R04,regions/R04-data-shaping-hateoas-content-negotiation.md,reviewed,4965.381521377605,24846.741118380563,A-123,
image-use,IU-085,R04,regions/R04-data-shaping-hateoas-content-negotiation.md,reviewed,4451.7686196952745,23627.03772604817,A-122,
image-use,IU-086,R04,regions/R04-data-shaping-hateoas-content-negotiation.md,reviewed,4902.225383232903,29796.281224048915,A-121,
image-use,IU-087,R04,regions/R04-data-shaping-hateoas-content-negotiation.md,reviewed,4920.272886023082,30289.20989720275,A-120,
image-use,IU-088,R04,regions/R04-data-shaping-hateoas-content-negotiation.md,reviewed,4957.296811804332,30598.400344328864,A-119,
image-use,IU-089,R04,regions/R04-data-shaping-hateoas-content-negotiation.md,reviewed,4709.852140515464,25487.170416110363,A-118,
image-use,IU-090,R04,regions/R04-data-shaping-hateoas-content-negotiation.md,reviewed,4769.863479749245,25670.399703504074,A-117,
image-use,IU-091,R04,regions/R04-data-shaping-hateoas-content-negotiation.md,reviewed,4932.101382296838,26074.160257301926,A-116,
image-use,IU-092,R04,regions/R04-data-shaping-hateoas-content-negotiation.md,reviewed,4942.184516845025,26571.457906237127,A-115,
image-use,IU-093,R04,regions/R04-data-shaping-hateoas-content-negotiation.md,reviewed,4881.268405788387,27085.664146231422,A-114,
image-use,IU-094,R04,regions/R04-data-shaping-hateoas-content-negotiation.md,reviewed,4892.785468154134,27509.552996090344,A-113,
image-use,IU-095,R04,regions/R04-data-shaping-hateoas-content-negotiation.md,reviewed,4562.121796058229,27943.997474840602,A-112,
image-use,IU-096,R04,regions/R04-data-shaping-hateoas-content-negotiation.md,reviewed,4847.907518464797,28356.40486582359,A-111,
image-use,IU-097,R04,regions/R04-data-shaping-hateoas-content-negotiation.md,reviewed,4893.000436813543,28808.071515933458,A-110,
image-use,IU-098,R04,regions/R04-data-shaping-hateoas-content-negotiation.md,reviewed,4822.548708164903,29234.367857705915,A-109,
image-use,IU-099,R04,regions/R04-data-shaping-hateoas-content-negotiation.md,reviewed,4910.376288297079,31168.114477455252,A-108,
image-use,IU-100,R04,regions/R04-data-shaping-hateoas-content-negotiation.md,reviewed,4994.164413354426,31661.402756670745,A-107,
image-use,IU-101,R04,regions/R04-data-shaping-hateoas-content-negotiation.md,reviewed,4932.136881140898,32229.736039141448,A-106,
image-use,IU-102,R04,regions/R04-data-shaping-hateoas-content-negotiation.md,reviewed,4873.654150845906,32765.059006670745,A-105,
image-use,IU-103,R04,regions/R04-data-shaping-hateoas-content-negotiation.md,reviewed,4879.487280728718,33335.225647906096,A-104,
image-use,IU-104,R04,regions/R04-data-shaping-hateoas-content-negotiation.md,reviewed,4861.487280728718,33826.39236543539,A-103,
image-use,IU-105,R04,regions/R04-data-shaping-hateoas-content-negotiation.md,reviewed,4847.653998258015,34084.39236543539,A-102,
image-use,IU-106,R04,regions/R04-data-shaping-hateoas-content-negotiation.md,reviewed,4802.154150845906,34520.559006670745,A-101,
image-use,IU-107,R04,regions/R04-data-shaping-hateoas-content-negotiation.md,reviewed,4754.115479625009,38052.467072170875,A-100,
image-use,IU-108,R04,regions/R04-data-shaping-hateoas-content-negotiation.md,reviewed,5000.020972029964,38543.40370741959,A-099,
image-use,IU-109,R04,regions/R04-data-shaping-hateoas-content-negotiation.md,reviewed,5061.47626417574,38878.193303276006,A-098,
image-use,IU-110,R04,regions/R04-data-shaping-hateoas-content-negotiation.md,reviewed,5076.74264344229,39280.32895724974,A-097,
image-use,IU-111,R04,regions/R04-data-shaping-hateoas-content-negotiation.md,reviewed,4920.833062026197,35872.14156565741,A-096,
image-use,IU-112,R04,regions/R04-data-shaping-hateoas-content-negotiation.md,reviewed,4816.724322039931,36506.067098206404,A-095,
image-use,IU-113,R04,regions/R04-data-shaping-hateoas-content-negotiation.md,reviewed,4875.648416590773,35321.19644460365,A-094,
image-use,IU-114,R04,regions/R04-data-shaping-hateoas-content-negotiation.md,reviewed,4857.81210442221,35226.385988451315,A-093,
image-use,IU-115,R04,regions/R04-data-shaping-hateoas-content-negotiation.md,reviewed,4882.393739776618,36848.44217501017,A-092,
image-use,IU-116,R04,regions/R04-data-shaping-hateoas-content-negotiation.md,reviewed,4791.878443265251,37391.26517305704,A-091,
image-use,IU-117,R04,regions/R04-data-shaping-hateoas-content-negotiation.md,reviewed,4759.7035902472435,41257.54565207545,A-090,
image-use,IU-118,R04,regions/R04-data-shaping-hateoas-content-negotiation.md,reviewed,4882.68886242718,41810.531197764954,A-089,
image-use,IU-119,R04,regions/R04-data-shaping-hateoas-content-negotiation.md,reviewed,4839.990062822299,42067.10245102657,A-088,
image-use,IU-120,R04,regions/R04-data-shaping-hateoas-content-negotiation.md,reviewed,5012.385443810392,42187.690337920896,A-087,
image-use,IU-121,R04,regions/R04-data-shaping-hateoas-content-negotiation.md,reviewed,4783.621898622263,42426.19051656603,A-086,
image-use,IU-122,R04,regions/R04-data-shaping-hateoas-content-negotiation.md,reviewed,4822.347641561197,42823.85381603525,A-085,
