check,passed,details
SVG parsed,True,XML parsed with huge-tree support
Embedded symbol count,True,205
Embedded image element count,True,205
Image use count,True,206
All use hrefs resolve,True,all resolved
Extracted image file count,True,205
All extracted image files exist,True,all exist
Unique content hashes,True,205
Duplicate placement group count,True,1
Duplicate asset-content group count,True,0
Physical text node count,True,74
Non-empty text node count,True,72
Empty text node count,True,2
Every image use assigned once,True,206/206
Every text node assigned once,True,74/74
No unreviewed image use,True,0 unreviewed
No unreviewed non-empty text node,True,0 unreviewed
Empty text nodes explicitly recorded,True,2/2 recorded
Region image totals,True,206
Region text totals,True,74
Regional transcript files exist,True,6/6
Contact sheets exist,True,21
Source copy hash matches,True,4a7de8e473d20925240add9bc2a9a60585084202d43a4375ba76d093ef3d7735
Source-to-transcript map rows,True,280
