i,href,x,y,w,h,cx,cy,asset_id,asset_sha256,asset_filename,image_use_id,region,transcript_file,review_status,assignment_count
1,image-ed61a506dae01f3f300554209e407efc2059f9e8,4760.669291890663,1624.1093601366147,763.0,369.0,5142.169291890663,1808.6093601366147,A-205,6e73fee64350e4c498ae54f6b0fa95a464916f66a4b38a9c060627ad2b49a8da,A-205_image-ed61a506dae01f3f300554209e407efc2059f9e8_6e73fee64350.png,IU-001,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
2,image-80fa9baf60c4293ff5613ed612672c40141d6bb0,4847.874506878417,2423.6330596872094,691.0,369.0,5193.374506878417,2608.1330596872094,A-204,bd18d6972b6820e88c43f8caae0fc0d4a39fae3c3fc051b7206ddfd010afa4cf,A-204_image-80fa9baf60c4293ff5613ed612672c40141d6bb0_bd18d6972b68.png,IU-002,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
3,image-594ea3ca85e3de7532b52ab4d3f51105e60eb900,4760.156570981919,2828.761285926662,932.0,369.0,5226.156570981919,3013.261285926662,A-203,1235af8cfd5394c998ff2010ed2322e19853f294324d14676e49d3c961025a10,A-203_image-594ea3ca85e3de7532b52ab4d3f51105e60eb900_1235af8cfd53.png,IU-003,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
4,image-a42c00c9aae74ed6c7b07c2230ccf38d7a0eaf9a,4815.686740245828,4090.7650820440313,1067.0,222.0,5349.186740245828,4201.765082044031,A-202,0ad6abad1d5f8db62beb43e02ab228ea9ec6061e75a0d01ae0162be72c369a84,A-202_image-a42c00c9aae74ed6c7b07c2230ccf38d7a0eaf9a_0ad6abad1d5f.png,IU-004,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
5,image-465deef844410024e6227e27b4165df4987778e6,4802.846487569934,3488.334616345789,499.0,369.0,5052.346487569934,3672.834616345789,A-201,992f4c2780c391ff6180410f048a7537f82b6c684d2625c88b54f9c8fa207624,A-201_image-465deef844410024e6227e27b4165df4987778e6_992f4c2780c3.png,IU-005,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
6,image-c79fb5f87739543fc4946c6adcd0e7fdfa0d3760,5086.430449805963,4412.183632770847,265.0,356.0,5218.930449805963,4590.183632770847,A-200,89291c17c42effae54bfac846c8a65a5821a3885c982c0873b2c2366516b5382,A-200_image-c79fb5f87739543fc4946c6adcd0e7fdfa0d3760_89291c17c42e.png,IU-006,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
7,image-9395cc86f31d29dbc5ed6bbf5e7335e1f67035ac,4920.163774232933,4966.140804846752,833.0,369.0,5336.663774232933,5150.640804846752,A-199,bb1034c9524ae0a644b8d6de2617dbac043b6d459e0eff9db5eebdf6d23fe5da,A-199_image-9395cc86f31d29dbc5ed6bbf5e7335e1f67035ac_bb1034c9524a.png,IU-007,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
8,image-c5c3ddb8022b4bf1108e9fa0ef03ea8aedbd167d,4960.494395869664,5441.744491339344,765.0,200.0,5342.994395869664,5541.744491339344,A-198,f66529cdae41f099556f49be5ff3dd455a6fb9f0cda4930341fc5617916e578e,A-198_image-c5c3ddb8022b4bf1108e9fa0ef03ea8aedbd167d_f66529cdae41.png,IU-008,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
9,image-ef35203de18fb02002071c6f2abeeb14eea4426e,4991.082782573763,5742.209124265245,705.0,369.0,5343.582782573763,5926.709124265245,A-197,fa3162cc9644a0f149d6716856f4646e4a786acb5230f339cd8eb6920765f8dc,A-197_image-ef35203de18fb02002071c6f2abeeb14eea4426e_fa3162cc9644.png,IU-009,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
10,image-5101faafdefd7bc00c5d3671ca8352857d96f66a,4989.389036835616,6143.918515908087,698.0,369.0,5338.389036835616,6328.418515908087,A-196,8628c4475e4c604f067620dda1f96316c4ce5cd20530166dbd13cf0b7b9a23e6,A-196_image-5101faafdefd7bc00c5d3671ca8352857d96f66a_8628c4475e4c.png,IU-010,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
11,image-81a7852c1a285efbf33e61d79ed045bc44a5fb6b,5049.268409039862,6674.68771064962,454.0,369.0,5276.268409039862,6859.18771064962,A-195,e0d062ac88407e0d3ae622d9e5fcde3d14ac46443e520dc5dc4d27aecf8c6091,A-195_image-81a7852c1a285efbf33e61d79ed045bc44a5fb6b_e0d062ac8840.png,IU-011,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
12,image-988ce91d085fda9ab0cfd97bf34fa77c471302ce,4897.449341399628,7093.491103858704,913.0,369.0,5353.949341399628,7277.991103858704,A-194,e6314d75a4ac2e98789c6b971cb5d45b3d72f37b136529a5c36b22cd00ecfd80,A-194_image-988ce91d085fda9ab0cfd97bf34fa77c471302ce_e6314d75a4ac.png,IU-012,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
13,image-ebc2ec4d43e03c6dba151890a51c66dcdfa6b53a,4905.396204388295,7546.973043425717,887.0,200.0,5348.896204388295,7646.973043425717,A-193,0ba18843600ddaee01124bf533ddd1a44a24984a130cff1a6a73654e3cdc05e7,A-193_image-ebc2ec4d43e03c6dba151890a51c66dcdfa6b53a_0ba18843600d.png,IU-013,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
14,image-ddff96e543fa7267ed11bcb94d4e2ce7ab6644a5,5058.99761261543,8449.002908688683,894.0,369.0,5505.99761261543,8633.502908688683,A-192,4bac76d170ab70da48caa5a751fa332b520f2021db50247bdb6196d2058da1bf,A-192_image-ddff96e543fa7267ed11bcb94d4e2ce7ab6644a5_4bac76d170ab.png,IU-014,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
15,image-912ff0d6d52e673f68f113c03249a767caf34037,5049.253698611716,9041.73002728679,775.0,369.0,5436.753698611716,9226.23002728679,A-191,c48f675bb0e1aefa4f4a9a6c3a23c39a51032e82f33998ea6fb1a22e93357a2f,A-191_image-912ff0d6d52e673f68f113c03249a767caf34037_c48f675bb0e1.png,IU-015,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
16,image-1a7425267687c1fe5a75c71bbf5e8b317d0f78eb,3579.857078481457,1550.2700702305792,776.0,369.0,3967.857078481457,1734.7700702305792,A-190,dfc06ec281cd5bfa639b2eebf798263b87f5c369cbf012ef325992ccd6ba9e4a,A-190_image-1a7425267687c1fe5a75c71bbf5e8b317d0f78eb_dfc06ec281cd.png,IU-016,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
17,image-693b04a0c1219dd6c61c15a6dcb3244764068dc5,3595.300236217761,1983.6033952854978,722.0,369.0,3956.300236217761,2168.1033952854978,A-189,a4397606c801779079c1da851af4b24ac109be851b3f940830aa0e6f83a7b63f,A-189_image-693b04a0c1219dd6c61c15a6dcb3244764068dc5_a4397606c801.png,IU-017,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
18,image-1ecfb5c85ef170fd476e9555edd62cbdba3b1e96,6081.066597552455,1460.2025197687963,1797.0,192.0,6979.566597552455,1556.2025197687963,A-188,9c37a246056c5c5cebbb4f4c7c3f4166666a3f01167f4e7bd702ec39cf20b7c0,A-188_image-1ecfb5c85ef170fd476e9555edd62cbdba3b1e96_9c37a246056c.png,IU-018,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
19,image-e4e436abe188dac03ec2956cde4e8a16cd0c20a2,6665.212601821657,1915.7972678013693,718.0,369.0,7024.212601821657,2100.2972678013693,A-187,ad5af4ecf4a928d6d874cf16d7d708416926bd43d22c2f498befeca2c91ed6a0,A-187_image-e4e436abe188dac03ec2956cde4e8a16cd0c20a2_ad5af4ecf4a9.png,IU-019,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
20,image-bcbd9fba1ab614bf589245060c94a4ba567a7247,6474.593847946179,2796.1003350954097,1103.0,369.0,7026.093847946179,2980.6003350954097,A-186,6eec6657f7c86f33691909643aff890269382bb0b3c798df5058c91edb7ae644,A-186_image-bcbd9fba1ab614bf589245060c94a4ba567a7247_6eec6657f7c8.png,IU-020,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
21,image-8f17f125f18c8e9b8b1a8635c11f1c4156a33b2d,6491.9621871206855,2350.4942629296575,975.0,369.0,6979.4621871206855,2534.9942629296575,A-185,365bbb1820e1c230272086ebc19b063b4e97bb6314c9a7b780cdf8da36cf15cb,A-185_image-8f17f125f18c8e9b8b1a8635c11f1c4156a33b2d_365bbb1820e1.png,IU-021,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
22,image-19e0d6e98be5449cec938ca82dd11d851a4016e6,6416.584596834209,3323.179463064146,1169.0,369.0,7001.084596834209,3507.679463064146,A-184,2169cb4f635e4f592c35c4c54e0946e472cfcc01525dea86d465fa3bd611114c,A-184_image-19e0d6e98be5449cec938ca82dd11d851a4016e6_2169cb4f635e.png,IU-022,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
23,image-f65d253b893490edc5d943b634565c02bf9055ad,6323.842411511341,3867.623902387023,1218.0,369.0,6932.842411511341,4052.123902387023,A-183,88bab14269bb80787f26c94326150ac60f8424dfe5570e5b0f54f2fb59d81a29,A-183_image-f65d253b893490edc5d943b634565c02bf9055ad_88bab14269bb.png,IU-023,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
24,image-1d1fbcf0521536c85f7706ba047090b25a325d6f,6410.466353033434,4311.1423591374705,1046.0,369.0,6933.466353033434,4495.6423591374705,A-182,201fb573a6ad7e3560fc572f1b15e5bbb9bbff56b2837d85f5a1ec078b2a3277,A-182_image-1d1fbcf0521536c85f7706ba047090b25a325d6f_201fb573a6ad.png,IU-024,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
25,image-91b77ade535670684f57bfb7020452e7fc9fcf84,6459.582711679342,4858.211402587943,899.0,463.0,6909.082711679342,5089.711402587943,A-181,cd511c444fa2c7b94a7b811c3a623e5ac6698a1a19a89fe092bbcf983c64cd55,A-181_image-91b77ade535670684f57bfb7020452e7fc9fcf84_cd511c444fa2.png,IU-025,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
26,image-48e38f1d49ac10d287023d6ed0fec6311ab85994,8854.273685654105,2394.127917832664,857.0,362.0,9282.773685654105,2575.127917832664,A-180,5738d5bd0fb7036b39f605ab60c5b90c75d9d390ae0c7c1f6ce177109d7eab34,A-180_image-48e38f1d49ac10d287023d6ed0fec6311ab85994_5738d5bd0fb7.png,IU-026,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
27,image-a3dcca7239b663faa15c0c84d2612e656dc6100f,7866.384525497855,2350.0167728131346,895.0,468.0,8313.884525497855,2584.0167728131346,A-179,d0aec34aabd24e1eeea5287a152af23b28789d85617b84657c1669573afb4dbe,A-179_image-a3dcca7239b663faa15c0c84d2612e656dc6100f_d0aec34aabd2.png,IU-027,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
