source_id,image_use_id,fileId_short,x,y,width,height,initial_candidate_region,coverage_status,current_region_decision,decision_is_final,must_recheck_before_region_close,decision_basis,nearest_labels,duplicate_use_count,duplicate_source_ids,review_notes
S-001,IU-001,4aec986325,16714.23589728051,731.3790746507166,770.0,482.0,R04,unprocessed-stage0-candidate,R04,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",manual executiong | custom pipeline | + | provider | passing context to | classic polly,2,"S-001,S-033",
S-002,IU-002,277ca6910b,17880.584603963904,861.8007604554514,689.0,606.0,R04,unprocessed-stage0-candidate,R04,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",passing context to | classic polly | + | getting pipeline from registry | classic | manual executiong,1,,
S-003,IU-003,f96bff56a0,18686.92471735224,899.8777555784527,874.0,280.0,R04,unprocessed-stage0-candidate,R04,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",classic | passing context to | classic polly | + | getting pipeline from registry | manual executiong,1,,
S-004,IU-004,334c28aac9,3998.293050835824,984.576063367931,865.0,414.0,R01,unprocessed-stage0-candidate,R01,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",setting properties | args args in shouldhandle | why do we need to attach request to context | new standart vs custom | SETTING TRUE/FALSE | BASED ON REQUEST METHOD,1,,
S-005,IU-005,267483ed5e,1346.5792829432103,1004.4612065164029,873.0,559.0,R01,unprocessed-stage0-candidate,R01,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.","args args in shouldhandle | why do we need to attach request to context | delay generator, way to fallback to defaults | setting properties | nesting | new standart vs custom",1,,
S-006,IU-006,2bbd5cb57c,7972.956636607865,1016.3660355175834,666.0,482.0,R02,unprocessed-stage0-candidate,R02,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",new standart vs custom | SETTING TRUE/FALSE | BASED ON REQUEST METHOD | custom | need to use pipeline excplicitly with pipeline provider | setting properties,1,,
S-007,IU-007,c3bbc91a69,10.0,1093.1877903820996,933.0,450.0,R01,unprocessed-stage0-candidate,R01,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.","delay generator, way to fallback to defaults | args args in shouldhandle | why do we need to attach request to context | setting properties | nesting | new standart vs custom",1,,
S-008,IU-008,b018717e5c,5394.398639227085,1214.3212720730025,823.0,482.0,R01,unprocessed-stage0-candidate,R01,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",setting properties | new standart vs custom | SETTING TRUE/FALSE | BASED ON REQUEST METHOD | need to use pipeline excplicitly with pipeline provider | args args in shouldhandle,2,"S-008,S-068",
S-009,IU-009,e7e0102b71,18689.282034595548,1223.9729355449704,835.0,268.0,R04,unprocessed-stage0-candidate,R04,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",classic | passing context to | classic polly | + | getting pipeline from registry | cheat sheet,1,,
S-010,IU-010,a9fb8b8fe5,19713.024856674634,1282.0512807669274,936.0,285.0,R04,unprocessed-stage0-candidate,R04,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",classic | cheat sheet | passing context to | classic polly | + | getting pipeline from registry,1,,
S-011,IU-011,d16b8dae56,16664.68733163904,1336.6958755798205,778.0,482.0,R04,unprocessed-stage0-candidate,R04,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",so to have delegating handler that gets pipeline with pipelineprovider | based on request properties | or | creating a wrapper that runs pipeline.execute and passes context | look like the cleanest options | for simple scenarios its better to create wrapper with manual pipeline,2,"S-011,S-155",
