source_id,region,decision,reason
S-004,R01,included-in-r01r02r07-final-v001,"R01 retry options: ShouldHandle args, Outcome, DelayGenerator fallback, Retry-After"
S-005,R01,included-in-r01r02r07-final-v001,"R01 retry options: ShouldHandle args, Outcome, DelayGenerator fallback, Retry-After"
S-007,R01,included-in-r01r02r07-final-v001,"R01 retry options: ShouldHandle args, Outcome, DelayGenerator fallback, Retry-After"
S-008,R01,included-in-r01r02r07-final-v001,"R01 retry options: ShouldHandle args, Outcome, DelayGenerator fallback, Retry-After"
S-016,R01,included-in-r01r02r07-final-v001,"R01 retry options: ShouldHandle args, Outcome, DelayGenerator fallback, Retry-After"
S-021,R01,included-in-r01r02r07-final-v001,"R01 retry options: ShouldHandle args, Outcome, DelayGenerator fallback, Retry-After"
S-022,R01,included-in-r01r02r07-final-v001,"R01 retry options: ShouldHandle args, Outcome, DelayGenerator fallback, Retry-After"
S-025,R01,included-in-r01r02r07-final-v001,"R01 retry options: ShouldHandle args, Outcome, DelayGenerator fallback, Retry-After"
S-031,R01,included-in-r01r02r07-final-v001,"R01 retry options: ShouldHandle args, Outcome, DelayGenerator fallback, Retry-After"
S-034,R01,included-in-r01r02r07-final-v001,"R01 retry options: ShouldHandle args, Outcome, DelayGenerator fallback, Retry-After"
S-047,R01,included-in-r01r02r07-final-v001,"R01 retry options: ShouldHandle args, Outcome, DelayGenerator fallback, Retry-After"
S-052,R01,included-in-r01r02r07-final-v001,"R01 retry options: ShouldHandle args, Outcome, DelayGenerator fallback, Retry-After"
S-064,R01,included-in-r01r02r07-final-v001,R01 strategy nesting/order and request/context mechanics
S-073,R01,included-in-r01r02r07-final-v001,R01 strategy nesting/order and request/context mechanics
S-074,R01,included-in-r01r02r07-final-v001,"R01 retry options: ShouldHandle args, Outcome, DelayGenerator fallback, Retry-After"
S-116,R01,included-in-r01r02r07-final-v001,R01 strategy nesting/order and request/context mechanics
S-006,R02,included-in-r01r02r07-final-v001,R02 new standard vs custom / explicit pipeline usage
S-019,R02,included-in-r01r02r07-final-v001,R02 standard/custom/hedging road and explicit pipeline/provider usage
S-039,R02,included-in-r01r02r07-final-v001,R02 standard/custom/hedging road and explicit pipeline/provider usage
S-041,R02,included-in-r01r02r07-final-v001,R02 standard/custom/hedging road and explicit pipeline/provider usage
S-053,R02,included-in-r01r02r07-final-v001,R02 standard/custom/hedging road and explicit pipeline/provider usage
S-056,R02,included-in-r01r02r07-final-v001,R02 standard/custom/hedging road and explicit pipeline/provider usage
S-068,R02,included-in-r01r02r07-final-v001,R02 standard/custom/hedging road and explicit pipeline/provider usage
S-077,R02,included-in-r01r02r07-final-v001,R02 standard/custom/hedging road and explicit pipeline/provider usage
S-079,R02,included-in-r01r02r07-final-v001,R02 standard/custom/hedging road and explicit pipeline/provider usage
S-082,R02,included-in-r01r02r07-final-v001,R02 standard/custom/hedging road and explicit pipeline/provider usage
S-083,R02,included-in-r01r02r07-final-v001,R02 standard/custom/hedging road and explicit pipeline/provider usage
S-088,R02,included-in-r01r02r07-final-v001,R02 standard/custom/hedging road and explicit pipeline/provider usage
S-092,R02,included-in-r01r02r07-final-v001,R02 standard/custom/hedging road and explicit pipeline/provider usage
S-094,R02,included-in-r01r02r07-final-v001,R02 standard/custom/hedging road and explicit pipeline/provider usage
S-101,R02,included-in-r01r02r07-final-v001,R02 standard/custom/hedging road and explicit pipeline/provider usage
S-114,R02,included-in-r01r02r07-final-v001,R02 standard/custom/hedging road and explicit pipeline/provider usage
S-118,R02,included-in-r01r02r07-final-v001,R02 standard/custom/hedging road and explicit pipeline/provider usage
S-127,R02,included-in-r01r02r07-final-v001,R02 new standard vs custom / explicit pipeline usage
S-134,R02,included-in-r01r02r07-final-v001,R02 new standard vs custom / explicit pipeline usage
S-138,R02,included-in-r01r02r07-final-v001,R02 new standard vs custom / explicit pipeline usage
S-144,R02,included-in-r01r02r07-final-v001,R02 testing / conditional rate limiting examples
S-150,R02,included-in-r01r02r07-final-v001,R02 testing / conditional rate limiting examples
S-151,R02,included-in-r01r02r07-final-v001,R02 testing / conditional rate limiting examples
S-156,R02,included-in-r01r02r07-final-v001,R02 testing / conditional rate limiting examples
S-161,R02,included-in-r01r02r07-final-v001,R02 testing / conditional rate limiting examples
S-167,R02,included-in-r01r02r07-final-v001,R02 testing / conditional rate limiting examples
S-014,R07,included-in-r01r02r07-final-v001,R07 production-ready cheat sheet / exception mapping
S-027,R07,included-in-r01r02r07-final-v001,R07 production-ready cheat sheet / exception mapping
S-030,R07,included-in-r01r02r07-final-v001,R07 production-ready cheat sheet / exception mapping
S-044,R07,included-in-r01r02r07-final-v001,R07 production-ready cheat sheet / exception mapping
S-059,R07,included-in-r01r02r07-final-v001,R07 production-ready cheat sheet / exception mapping
S-069,R07,included-in-r01r02r07-final-v001,R07 production-ready cheat sheet / exception mapping
S-081,R07,included-in-r01r02r07-final-v001,R07 production-ready cheat sheet / exception mapping
S-085,R07,included-in-r01r02r07-final-v001,R07 production-ready cheat sheet / exception mapping
S-097,R07,included-in-r01r02r07-final-v001,R07 production-ready cheat sheet / exception mapping
S-108,R07,included-in-r01r02r07-final-v001,R07 production-ready cheat sheet / exception mapping
S-130,R07,included-in-r01r02r07-final-v001,R07 production-ready cheat sheet / exception mapping
S-139,R07,included-in-r01r02r07-final-v001,R07 production-ready cheat sheet / exception mapping
