region_source_id,source_id,image_use_id,fileId_short,region,x,y,width,height,status,readability,confidence,topic,summary,nearest_labels,duplicate_use_count,duplicate_source_ids,notes
R01-S001,S-004,IU-004,334c28aac9,R01,3998.293050835824,984.576063367931,865.0,414.0,processed-in-r01r02r07-final-v001,medium-high,high for boundary; medium-high for exact code punctuation,"R01 retry options: ShouldHandle args, Outcome, DelayGenerator fallback, Retry-After","Explains ShouldHandle/RetryPredicateArguments and Outcome<TResult>: callbacks can inspect attempt number, context, result, or exception to decide whether to retry.",setting properties | args args in shouldhandle | why do we need to attach request to context | new standart vs custom | SETTING TRUE/FALSE | BASED ON REQUEST METHOD,1,,Verified from extracted SVG source image/contact sheet; source PNG preserved for exact correction.
R01-S002,S-005,IU-005,267483ed5e,R01,1346.5792829432105,1004.4612065164029,873.0,559.0,processed-in-r01r02r07-final-v001,medium-high,high for boundary; medium-high for exact code punctuation,"R01 retry options: ShouldHandle args, Outcome, DelayGenerator fallback, Retry-After",Explains retry DelayGenerator behavior: custom delay from Retry-After or fallback to configured exponential/jitter delay when the nullable callback returns null.,"args args in shouldhandle | why do we need to attach request to context | delay generator, way to fallback to defaults | setting properties | nesting | new standart vs custom",1,,Verified from extracted SVG source image/contact sheet; source PNG preserved for exact correction.
R01-S003,S-007,IU-007,c3bbc91a69,R01,10.0,1093.1877903820996,933.0,450.0,processed-in-r01r02r07-final-v001,medium-high,high for boundary; medium-high for exact code punctuation,"R01 retry options: ShouldHandle args, Outcome, DelayGenerator fallback, Retry-After",Explains retry DelayGenerator behavior: custom delay from Retry-After or fallback to configured exponential/jitter delay when the nullable callback returns null.,"delay generator, way to fallback to defaults | args args in shouldhandle | why do we need to attach request to context | setting properties | nesting | new standart vs custom",1,,Verified from extracted SVG source image/contact sheet; source PNG preserved for exact correction.
R01-S004,S-008,IU-008,b018717e5c,R01,5394.398639227085,1214.3212720730023,823.0,482.0,processed-in-r01r02r07-final-v001,medium-high,high for boundary; medium-high for exact code punctuation,"R01 retry options: ShouldHandle args, Outcome, DelayGenerator fallback, Retry-After","Explains ShouldHandle/RetryPredicateArguments and Outcome<TResult>: callbacks can inspect attempt number, context, result, or exception to decide whether to retry.",setting properties | new standart vs custom | SETTING TRUE/FALSE | BASED ON REQUEST METHOD | need to use pipeline excplicitly with pipeline provider | args args in shouldhandle,2,"S-008,S-068",Verified from extracted SVG source image/contact sheet; source PNG preserved for exact correction.
R01-S005,S-016,IU-016,812d9d362b,R01,4042.21041926688,1413.4315090610617,921.0,452.0,processed-in-r01r02r07-final-v001,medium-high,high for boundary; medium-high for exact code punctuation,"R01 retry options: ShouldHandle args, Outcome, DelayGenerator fallback, Retry-After","Explains ShouldHandle/RetryPredicateArguments and Outcome<TResult>: callbacks can inspect attempt number, context, result, or exception to decide whether to retry.",setting properties | args args in shouldhandle | why do we need to attach request to context | new standart vs custom | SETTING TRUE/FALSE | BASED ON REQUEST METHOD,1,,Verified from extracted SVG source image/contact sheet; source PNG preserved for exact correction.
R01-S006,S-021,IU-021,c6c78918dc,R01,5929.335920969219,1556.7815772701997,624.0,154.0,processed-in-r01r02r07-final-v001,medium-high,high for boundary; medium-high for exact code punctuation,"R01 retry options: ShouldHandle args, Outcome, DelayGenerator fallback, Retry-After","Explains ShouldHandle/RetryPredicateArguments and Outcome<TResult>: callbacks can inspect attempt number, context, result, or exception to decide whether to retry.",setting properties | new standart vs custom | SETTING TRUE/FALSE | BASED ON REQUEST METHOD | need to use pipeline excplicitly with pipeline provider | args args in shouldhandle,2,"S-021,S-079",Verified from extracted SVG source image/contact sheet; source PNG preserved for exact correction.
R01-S007,S-022,IU-022,c7cf32651d,R01,31.796352810328244,1557.9655105155534,922.0,408.0,processed-in-r01r02r07-final-v001,medium-high,high for boundary; medium-high for exact code punctuation,"R01 retry options: ShouldHandle args, Outcome, DelayGenerator fallback, Retry-After",Explains retry DelayGenerator behavior: custom delay from Retry-After or fallback to configured exponential/jitter delay when the nullable callback returns null.,"delay generator, way to fallback to defaults | args args in shouldhandle | why do we need to attach request to context | setting properties | nesting | need to think about nesting in polly like that",2,"S-022,S-092",Verified from extracted SVG source image/contact sheet; source PNG preserved for exact correction.
R01-S008,S-025,IU-025,33f67f3df8,R01,1430.1457893349143,1585.6002567324476,745.0,317.0,processed-in-r01r02r07-final-v001,medium-high,high for boundary; medium-high for exact code punctuation,"R01 retry options: ShouldHandle args, Outcome, DelayGenerator fallback, Retry-After",Explains retry DelayGenerator behavior: custom delay from Retry-After or fallback to configured exponential/jitter delay when the nullable callback returns null.,"args args in shouldhandle | why do we need to attach request to context | delay generator, way to fallback to defaults | setting properties | nesting | new standart vs custom",1,,Verified from extracted SVG source image/contact sheet; source PNG preserved for exact correction.
R01-S009,S-031,IU-031,fc8053ad8a,R01,5398.714248731112,1812.5062688285016,790.0,482.0,processed-in-r01r02r07-final-v001,medium-high,high for boundary; medium-high for exact code punctuation,"R01 retry options: ShouldHandle args, Outcome, DelayGenerator fallback, Retry-After","Explains ShouldHandle/RetryPredicateArguments and Outcome<TResult>: callbacks can inspect attempt number, context, result, or exception to decide whether to retry.",setting properties | SETTING TRUE/FALSE | BASED ON REQUEST METHOD | new standart vs custom | need to use pipeline excplicitly with pipeline provider | args args in shouldhandle,2,"S-031,S-083",Verified from extracted SVG source image/contact sheet; source PNG preserved for exact correction.
R01-S010,S-034,IU-034,cf4aba673c,R01,4106.771443480191,1883.873328911476,604.0,349.0,processed-in-r01r02r07-final-v001,medium-high,high for boundary; medium-high for exact code punctuation,"R01 retry options: ShouldHandle args, Outcome, DelayGenerator fallback, Retry-After","Explains ShouldHandle/RetryPredicateArguments and Outcome<TResult>: callbacks can inspect attempt number, context, result, or exception to decide whether to retry.",setting properties | args args in shouldhandle | why do we need to attach request to context | SETTING TRUE/FALSE | BASED ON REQUEST METHOD | new standart vs custom,1,,Verified from extracted SVG source image/contact sheet; source PNG preserved for exact correction.
R01-S011,S-047,IU-047,377ad8734c,R01,3993.476092427181,2294.572188356294,950.0,139.0,processed-in-r01r02r07-final-v001,medium-high,high for boundary; medium-high for exact code punctuation,"R01 retry options: ShouldHandle args, Outcome, DelayGenerator fallback, Retry-After","Explains ShouldHandle/RetryPredicateArguments and Outcome<TResult>: callbacks can inspect attempt number, context, result, or exception to decide whether to retry.",setting properties | args args in shouldhandle | why do we need to attach request to context | SETTING TRUE/FALSE | BASED ON REQUEST METHOD | nesting,1,,Verified from extracted SVG source image/contact sheet; source PNG preserved for exact correction.
