region_source_id,source_id,image_use_id,fileId_short,x,y,width,height,status,readability,confidence,topic,nearest_labels,duplicate_use_count,duplicate_source_ids,notes
R03-S001,S-013,IU-013,f0f0808ea8,12394.126625169538,1391.340237811708,858.0,464.0,processed-in-r03-v001,medium-high,medium-high for concept; exact code punctuation should be checked against source image,Manual ResiliencePipeline.Execute / new request per retry / context passing,"the pipeline, not handler, you cant use handler for manual execution | making request with pipeline.execute | ratelimiterstrategy args | so to have delegating handler that gets pipeline with pipelineprovider | based on request properties | or",1,,OCR-assisted visible transcript from extracted SVG screenshot; source image preserved for verification.
R03-S002,S-023,IU-023,4d72e66e10,15279.528147004134,1571.9455832815445,944.0,284.0,processed-in-r03-v001,medium-high,medium-high for concept; exact code punctuation should be checked against source image,Manual ResiliencePipeline.Execute / new request per retry / context passing,so to have delegating handler that gets pipeline with pipelineprovider | based on request properties | or | creating a wrapper that runs pipeline.execute and passes context | look like the cleanest options | for simple scenarios its better to create wrapper with manual pipeline,1,,OCR-assisted visible transcript from extracted SVG screenshot; source image preserved for verification.
R03-S003,S-026,IU-026,01c81512db,11383.47803580391,1595.6766266850864,777.0,482.0,processed-in-r03-v001,medium-high,medium-high for concept; exact code punctuation should be checked against source image,Manual ResiliencePipeline.Execute / new request per retry / context passing,"the pipeline, not handler, you cant use handler for manual execution | making request with pipeline.execute | ratelimiterstrategy args | custom | hedging priciple of work | so to have delegating handler that gets pipeline with pipelineprovider",1,,OCR-assisted visible transcript from extracted SVG screenshot; source image preserved for verification.
R03-S004,S-032,IU-032,5bd0dfe740,13302.620719475057,1820.6125096624944,961.0,370.0,processed-in-r03-v001,medium-high,medium-high for concept; exact code punctuation should be checked against source image,Manual ResiliencePipeline.Execute / new request per retry / context passing,"ratelimiterstrategy args | the pipeline, not handler, you cant use handler for manual execution | making request with pipeline.execute | so to have delegating handler that gets pipeline with pipelineprovider | based on request properties | or",1,,OCR-assisted visible transcript from extracted SVG screenshot; source image preserved for verification.
R03-S005,S-033,IU-033,4aec986325,15263.883572463144,1857.7894095754896,770.0,482.0,processed-in-r03-v001,medium-high,medium-high for concept; exact code punctuation should be checked against source image,Manual ResiliencePipeline.Execute / new request per retry / context passing,so to have delegating handler that gets pipeline with pipelineprovider | based on request properties | or | creating a wrapper that runs pipeline.execute and passes context | look like the cleanest options | for simple scenarios its better to create wrapper with manual pipeline,2,"S-001,S-033",OCR-assisted visible transcript from extracted SVG screenshot; source image preserved for verification.
R03-S006,S-035,IU-035,af54ccdfe5,12284.200614259536,1890.0955645086124,854.0,444.0,processed-in-r03-v001,medium-high,medium-high for concept; exact code punctuation should be checked against source image,Manual ResiliencePipeline.Execute / new request per retry / context passing,"ratelimiterstrategy args | the pipeline, not handler, you cant use handler for manual execution | making request with pipeline.execute | custom | so to have delegating handler that gets pipeline with pipelineprovider | based on request properties",1,,OCR-assisted visible transcript from extracted SVG screenshot; source image preserved for verification.
R03-S007,S-040,IU-040,82fc2acfb5,11406.125176559482,2094.5146948668958,930.0,481.0,processed-in-r03-v001,medium-high,medium-high for concept; exact code punctuation should be checked against source image,Manual ResiliencePipeline.Execute / new request per retry / context passing,"the pipeline, not handler, you cant use handler for manual execution | ratelimiterstrategy args | making request with pipeline.execute | custom | hedging priciple of work | rate limiter in polly",1,,OCR-assisted visible transcript from extracted SVG screenshot; source image preserved for verification.
R03-S008,S-042,IU-042,db8e76c35c,13309.095230220304,2179.316315581824,891.0,291.0,processed-in-r03-v001,medium-high,medium-high for concept; exact code punctuation should be checked against source image,Manual ResiliencePipeline.Execute / new request per retry / context passing,"ratelimiterstrategy args | the pipeline, not handler, you cant use handler for manual execution | making request with pipeline.execute | so to have delegating handler that gets pipeline with pipelineprovider | based on request properties | or",1,,OCR-assisted visible transcript from extracted SVG screenshot; source image preserved for verification.
R03-S009,S-048,IU-048,892310b650,15249.909106651176,2356.4455832815443,808.0,425.0,processed-in-r03-v001,medium-high,medium-high for concept; exact code punctuation should be checked against source image,Manual ResiliencePipeline.Execute / new request per retry / context passing,so to have delegating handler that gets pipeline with pipelineprovider | based on request properties | or | creating a wrapper that runs pipeline.execute and passes context | look like the cleanest options | for simple scenarios its better to create wrapper with manual pipeline,1,,OCR-assisted visible transcript from extracted SVG screenshot; source image preserved for verification.
R03-S010,S-051,IU-051,2d36297f56,12382.896189662904,2433.17542106196,707.0,482.0,processed-in-r03-v001,medium-high,medium-high for concept; exact code punctuation should be checked against source image,Manual ResiliencePipeline.Execute / new request per retry / context passing,"ratelimiterstrategy args | the pipeline, not handler, you cant use handler for manual execution | making request with pipeline.execute | rate limiter in polly | concur vs addratelimiter | and ratelimiterstrat options",1,,OCR-assisted visible transcript from extracted SVG screenshot; source image preserved for verification.
