source_id,symbol_id,file_sha,x,y,width,height,region,status
S-001,image-f77057baf46b8b3e20d0e701835c008e323bdccf,554a2a56e9,242.83349609375,309.83349609375,873.0,387.0,R01,closed-by-final-transcript
S-002,image-4afd73a284f02ada22ddd765d88eda792f19f318,d747a7ae54,252.5,724.3333740234375,811.0,470.0,R01,closed-by-final-transcript
S-003,image-453d14fcf180cfea2e77b7b02379dab93b2c7202,dee10f147f,269.30444073420676,1230.17724609375,703.0,482.0,R01,closed-by-final-transcript
S-004,image-04f5a134d0d522c1075c2647ca9fa08b8ce69b7c,8016eb3ae0,267.3148735894101,1755.9604240296358,447.0,327.0,R01,closed-by-final-transcript
S-005,image-1b48bc2276715c944bb07a35d413632ea932e090,2db60bc5c5,273.3147515190976,2087.7936759827608,651.0,306.0,R01,closed-by-final-transcript
S-006,image-e606ed10c9ab24e3bb8e5967b9a08013140f568f,8310f758ac,267.9814995659726,2401.793737017917,875.0,430.0,R02,closed-by-final-transcript
S-007,image-30705a5b6d6d85dd93800428c6e5109b171ed561,a1f5e50e04,257.9814995659726,2846.293737017917,759.0,317.0,R02,closed-by-final-transcript
S-008,image-ae185b0f2a969cd93871dfc8335f68ac9c9fceeb,becbf07dce,261.6396104489295,3167.637487017917,856.0,482.0,R02,closed-by-final-transcript
S-009,image-8dd5c59890ab74dd9a4b0b93d061209bb77633f3,5ab243a43d,251.87278927166335,3663.637487017917,753.0,482.0,R02,closed-by-final-transcript
S-010,image-b7ff976d48f1d2801f5b56960afd980206df97cf,755dc03d2d,258.6481255425351,4148.9603629944795,835.0,325.0,R02,closed-by-final-transcript
S-011,image-946177ff2792c9ea96f6de3ed0b56e6c40936f4f,4021763309,291.23100597731764,4710.304174029636,818.0,482.0,R02,closed-by-final-transcript
