use_id,image_id,filename,sha256_12,region_id,x,y,width,height,opacity,duplicate_of_use_id,nearest_text_ids,nearest_captions,status
IU-001,image-81635cbc3905afc018e1e40a13896b405ca1b99a,eee3f00f2099.png,eee3f00f2099,R01,10.0,10.0,940.0,444.0,1.0,,,,pending_transcript
IU-002,image-86cad067874f10c51fc0b3cdce46ce86ca2a5469,bdc838ce1708.png,bdc838ce1708,R01,86.28363952502605,523.4797595763521,540.0,482.0,1.0,,,,pending_transcript
IU-003,image-6ddde80b82c8b0a58fa58858ea5cf3240ece9f76,2dc7b82b9b62.png,2dc7b82b9b62,R01,1652.2141531014695,194.53012399739237,900.0,143.0,1.0,,,,pending_transcript
IU-004,image-504bd125f4479723e7d96a52bbf64cc73acc769a,d3eb1aeb62c6.png,d3eb1aeb62c6,R04,1988.102702906157,2963.8080882715003,586.0,380.0,1.0,,,,pending_transcript
IU-005,image-77b39a4ce3f5d7eb26053b69bbf638745a51c1d8,98791e713729.png,98791e713729,R03,1891.7695052065042,2617.5487838010013,832.0,314.0,1.0,,,,pending_transcript
IU-006,image-ce011e3d7328659cbba25e6d244349d2e9f83502,0625698a9529.png,0625698a9529,R03,1858.5657562915737,2241.196909343562,771.0,323.0,1.0,,,,pending_transcript
IU-007,image-e06deae4d5d7c525bd0d2279593d573ec9d17365,017ff13e04f7.png,017ff13e04f7,R02,1827.0102007360179,1825.8264937619388,603.0,333.0,1.0,,,,pending_transcript
IU-008,image-550f01d40193808dc8b0ee1203af4e27395260c2,7b8810f56409.png,7b8810f56409,R02,1838.9731184877542,1532.7709042979695,665.0,288.0,1.0,,,,pending_transcript
IU-009,image-52a20c9ad57dd3ec710b99600bb3a710ecab5632,b818602e8b43.png,b818602e8b43,R02,1776.6582584617124,1119.7708703895623,760.0,394.0,1.0,,,,pending_transcript
IU-010,image-8e3b58ef3c85418fb854585c61c968c1fe6a8d2c,d652cc6ea308.png,d652cc6ea308,R02,1754.7696408401848,946.9560103635013,786.0,150.0,1.0,,,,pending_transcript
IU-011,image-ae213d20f27ca973810d5ee520c2a69679f3d840,01ee0cce308b.png,01ee0cce308b,R02,1703.5658919252542,439.47461930447025,921.0,442.0,1.0,,,,pending_transcript
