source_id,image_use,file_sha,x,y,width,height,candidate_region,status,notes
S-002,IU-002,65dd33a30e,372.50641494031674,266.67825845425295,837.0,461.0,R01,pending-transcript,
S-001,IU-001,13425a0644,1558.1628575572252,390.83758398793964,469.0,301.0,R01,pending-transcript,
S-003,IU-003,9731249142,361.8400025868016,769.4006247872608,885.0,230.0,R01,pending-transcript,
S-004,IU-004,712ec107ee,381.2181460779259,1018.2443747872608,796.0,482.0,R01,pending-transcript,
S-005,IU-005,f9914b4c7a,388.5064149403172,1732.4006247872644,835.0,354.0,R02,pending-transcript,
S-006,IU-006,8c804204e1,369.95101197265217,2145.45622272835,881.0,429.0,R02,pending-transcript,
S-007,IU-007,c0c2e5c5c8,388.5317630256625,2608.2995926457816,870.0,326.0,R02,pending-transcript,
S-008,IU-008,ed501b74bf,392.5319156135531,2941.799592645781,852.0,309.0,R02,pending-transcript,
S-009,IU-009,bc0724c04f,394.19863314285,3250.6328751164842,682.0,328.0,R02,pending-transcript,
S-010,IU-010,2aaa35b24c,375.2472894304103,3618.476777704375,803.0,482.0,R02,pending-transcript,
S-011,IU-011,772e7a2188,375.3650454963656,4143.466310175078,543.0,279.0,R03,pending-transcript,
S-012,IU-012,df80e17157,375.69848055495936,4413.966310175078,619.0,438.0,R03,pending-transcript,
S-013,IU-013,4e10f84cb9,265.8467530655032,4885.143342645782,995.0,482.0,R03,pending-transcript,
