idx,symbol_id,file_sha,x,y,w,h,rot,cx,cy
1,image-e5381b5ef6824e05df004c0a8e9c060768f6b05d,13425a0644,1558.1628575572252,390.83758398793964,469.0,301.0,0.0,234.30984719864176,150.5
2,image-b9a812c20809c4b470a61f1b26cd91ba9478d870,65dd33a30e,372.50641494031674,266.67825845425295,837.0,461.0,0.0,418.5,230.5
3,image-77fed15a67c34bba152cdc4f1c4fe59f4fcc5ed1,9731249142,361.8400025868016,769.4006247872608,885.0,230.0,0.0,442.5,115.0
4,image-6dc240534d35a63d01b80fb9afb2932be83d5647,712ec107ee,381.2181460779259,1018.2443747872608,796.0,482.0,0.0,398.12185650887574,241.15625
5,image-4590769fc640dc44184a9a4c89522aeb451811a5,f9914b4c7a,388.5064149403172,1732.4006247872644,835.0,354.0,0.0,417.5,177.0
6,image-4aff200f0ae25e777dc30fc5dd5af02ccda22583,8c804204e1,369.95101197265217,2145.45622272835,881.0,429.0,0.0,440.49999999999994,214.5
7,image-9320484a512ea87c7482c8e47129288b83d27dd8,c0c2e5c5c8,388.5317630256625,2608.2995926457816,870.0,326.0,0.0,435.0,162.9999999999999
8,image-69d76ee33ba32fd2b30b74e3d29b2e76fcee0a29,ed501b74bf,392.5319156135531,2941.799592645781,852.0,309.0,0.0,426.0,154.5
9,image-300223f6553125304c3ef7f0a4640d5c9cc4890b,bc0724c04f,394.19863314285,3250.6328751164842,682.0,328.0,0.0,341.0,164.0
10,image-b01e12538cb34e29fa7fe848ff9ed3d778942aa0,2aaa35b24c,375.2472894304103,3618.476777704375,803.0,482.0,0.0,401.6179086538462,241.15625
11,image-a9ef563ec0972989f0f00e21ee50c3e516696d70,772e7a2188,375.3650454963656,4143.466310175078,543.0,279.0,0.0,271.5,139.5
12,image-a83d41004d22981c653f20ddd48421906e17da36,df80e17157,375.69848055495936,4413.966310175078,619.0,438.0,0.0,309.5,219.0
13,image-2be679f7aaf07b267b023d8233497c69b884552b,4e10f84cb9,265.8467530655032,4885.143342645782,995.0,482.0,0.0,497.68500996015933,241.15625
