idx,symbol_id,file_sha,x,y,w,h,rot,cx,cy
1,image-e91b874e7405e8158c5b293a9d482211ceb94e9a,536f837da0,2114.909864978565,10.0,882.0,482.0,0.0,440.9970903165735,241.15625
2,image-e47200adf7124e2cf531dcd7517f414fe73e31c5,0e441c4750,2093.833197699653,515.008056640625,696.0,336.0,0.0,348.00000000000006,168.0
3,image-f38b0b222ba3f47133a1c4db4ff447d4489ece93,286480322f,1401.9688844874818,1211.8517049153625,851.0,482.0,0.0,425.42000440140845,241.15625
4,image-1a948556f9af4c386b9ac9c4e8ceba599086f360,4e9e95ff52,1387.3174673227168,1698.0741102430575,900.0,482.0,0.0,449.8491586538462,241.15625
5,image-1cd4e2430fd7b6e958e09eba1bb3ccf3d64f3593,3129ee085a,1363.3333740234375,2219.2303602430575,945.0,192.0,0.0,472.5,96.0
6,image-8480a40ef0211776e04195b42ccde126e7713929,dc0b88ffce,41.00006103515625,1192.8414747450106,635.0,195.0,0.0,317.5,97.5
7,image-00d84a2bba182a3058df351925bb20237cbdbb1b,0e93da3aaa,38.0,1411.5081922743075,993.0,419.0,0.0,496.5,209.5
8,image-0137f65c6c69dbcf14e2f578123af5beddffaf61,94b06148b1,10.0,1861.0081922743075,657.0,304.0,0.0,328.5,152.0
9,image-49162b5d0d8a512895e5508cc3f33482e7b1ed70,d9da3b7730,2505.833251953125,1230.2303602430575,948.0,426.0,0.0,474.0,213.0
10,image-bfce489b9ea301f8c2c86373972be9b8763d6718,2ee34c1468,2492.5001220703125,1662.89698621962,684.0,342.0,0.0,342.0,171.0
11,image-c946fd9e86c839dcda8807e690fe59a4a522e169,160c8584cf,2102.1426478794638,3403.6934422084114,903.0,357.0,0.0,451.5,178.5
12,image-d18301d9a8a0b6d842e8561179a1af102b13f7fb,e2437041d5,2108.46087408685,3776.9509384353323,806.0,330.0,0.0,403.0,165.0
13,image-412fcad4b62c4d974c01d5aa01e0b654dd66198c,ca3bb1fa0b,2096.076732291249,2616.903506764752,821.0,482.0,0.0,410.25222835314094,241.15625
14,image-657c29967871f74376a6098ef0fc7c8ef639405f,2a8e7a229c,3142.5538920443705,3403.25281837911,761.0,437.0,0.0,380.5,218.5
15,image-efd2e02d17bbadb0f2a460e3e1d19520dccb0544,d63de1e7d8,3152.054044632261,3878.586100849813,1042.0,223.0,0.0,521.0,111.5
16,image-9c9b766dbe4a7c1e26a8bf6c8142010b734d23da,d6637a1784,3178.465494742135,4185.41130972568,760.0,482.0,0.0,379.7736220472441,241.15625
