idx,text,x,y,font_size,region,status
1,"so theoreticall when class has some logic,",3231.22380234105,3113.6979038586824,85.06669921874996px,R03,closed-by-stage1-final-coverage
2,"but readonly, but it doesnt feels good",3231.22380234105,3113.6979038586824,85.06669921874996px,R03,closed-by-stage1-final-coverage
3,differences,2049.7889683248777,3152.1263092324116,97.57577237215905px,R03,closed-by-stage1-final-coverage
4,model vs queryresult,2049.7889683248777,3152.1263092324116,97.57577237215905px,R03,closed-by-stage1-final-coverage
5,dbset?,2243.249295473315,2443.364419002687,97.57577237215905px,R03,closed-by-stage1-final-coverage
6,easy way without mapping model,2629.060527969118,976.308622314566,97.57577237215905px,R02,closed-by-stage1-final-coverage
7,jsut retrieveing data with sql,2629.060527969118,976.308622314566,97.57577237215905px,R02,closed-by-stage1-final-coverage
8,hard way with mapping to,972.4792322710011,802.975304631273,97.57577237215905px,R02,closed-by-stage1-final-coverage
9,"slr, that pot has some logic",972.4792322710011,802.975304631273,97.57577237215905px,R02,closed-by-stage1-final-coverage
10,but is immutable,972.4792322710011,802.975304631273,97.57577237215905px,R02,closed-by-stage1-final-coverage
11,Tosqlquery,35.971286074945056,949.6419858301197,97.57577237215905px,R02,closed-by-stage1-final-coverage
