region_source_id,source_id,image_use_id,fileId_short,region,x,y,width,height,status,readability,confidence,topic,summary,nearest_labels,notes
R01R02R03-S001,S-001,IU-001,3f6ba77cbe,R01,502.047463890307,309.7526742114105,830.0,482.0,processed-in-r01r02r03-final-v001,medium-high; exact punctuation should be corrected from preserved PNG if needed,high for boundary; medium-high for exact code/API punctuation,Authentication cookie defaults and handler options,"Covers ASP.NET auth/plain cookie option surfaces: CookieAuthenticationOptions, CookieBuilder/CookieOptions, Set-Cookie attributes, CookiePolicy and naming/flow concerns.",authcookie options | and full list | defaults | just cookie optons | all cookies,Verified from region contact sheets/source image placement. Preserved PNG remains source of truth for exact code punctuation.
R01R02R03-S002,S-002,IU-002,1d390a1754,R01,1666.7516896746747,521.8066626594418,729.0,482.0,processed-in-r01r02r03-final-v001,medium-high; exact punctuation should be corrected from preserved PNG if needed,high for boundary; medium-high for exact code/API punctuation,Authentication cookie defaults and handler options,"Covers ASP.NET auth/plain cookie option surfaces: CookieAuthenticationOptions, CookieBuilder/CookieOptions, Set-Cookie attributes, CookiePolicy and naming/flow concerns.",and full list | defaults | authcookie options | just cookie optons | all cookies,Verified from region contact sheets/source image placement. Preserved PNG remains source of truth for exact code punctuation.
R01R02R03-S003,S-003,IU-003,cd069f1465,R02,5713.861016796348,709.797587062505,1005.0,137.0,processed-in-r01r02r03-final-v001,medium-high; exact punctuation should be corrected from preserved PNG if needed,high for boundary; medium-high for exact code/API punctuation,Request/response cookie exchange lifecycle,"Covers core browser-cookie theory: how Set-Cookie becomes Cookie request headers, where cookies appear in devtools, third-party/partitioned behavior, HttpOnly visibility and token-storage tradeoffs.","store som cooies in browser for all sites | general theo | have some requeast cookies and response cookies | actually just a normal cookie flow | cookie flow,",Verified from region contact sheets/source image placement. Preserved PNG remains source of truth for exact code punctuation.
R01R02R03-S004,S-004,IU-004,3fdab56553,R01,514.1636619364435,817.6310743782424,919.0,381.0,processed-in-r01r02r03-final-v001,medium-high; exact punctuation should be corrected from preserved PNG if needed,high for boundary; medium-high for exact code/API punctuation,Authentication cookie defaults and handler options,"Covers ASP.NET auth/plain cookie option surfaces: CookieAuthenticationOptions, CookieBuilder/CookieOptions, Set-Cookie attributes, CookiePolicy and naming/flow concerns.",just cookie optons | authcookie options | and full list | defaults | all cookies,Verified from region contact sheets/source image placement. Preserved PNG remains source of truth for exact code punctuation.
R01R02R03-S005,S-005,IU-005,9fa28afccf,R01,1693.5883685249537,1007.2962459927703,835.0,338.0,processed-in-r01r02r03-final-v001,medium-high; exact punctuation should be corrected from preserved PNG if needed,high for boundary; medium-high for exact code/API punctuation,Authentication cookie defaults and handler options,"Covers ASP.NET auth/plain cookie option surfaces: CookieAuthenticationOptions, CookieBuilder/CookieOptions, Set-Cookie attributes, CookiePolicy and naming/flow concerns.",and full list | defaults | just cookie optons | authcookie options | all cookies,Verified from region contact sheets/source image placement. Preserved PNG remains source of truth for exact code punctuation.
R01R02R03-S006,S-006,IU-006,a91f9764ae,R02,5451.915851071368,1184.7979227558644,1404.0,59.0,processed-in-r01r02r03-final-v001,medium-high; exact punctuation should be corrected from preserved PNG if needed,high for boundary; medium-high for exact code/API punctuation,Request/response cookie exchange lifecycle,"Covers core browser-cookie theory: how Set-Cookie becomes Cookie request headers, where cookies appear in devtools, third-party/partitioned behavior, HttpOnly visibility and token-storage tradeoffs.","store som cooies in browser for all sites | have some requeast cookies and response cookies | general theo | actually just a normal cookie flow | cookie flow,",Verified from region contact sheets/source image placement. Preserved PNG remains source of truth for exact code punctuation.
R01R02R03-S007,S-007,IU-007,402e566e9f,R01,532.2190564270022,1212.0754891528313,859.0,256.0,processed-in-r01r02r03-final-v001,medium-high; exact punctuation should be corrected from preserved PNG if needed,high for boundary; medium-high for exact code/API punctuation,Authentication cookie defaults and handler options,"Covers ASP.NET auth/plain cookie option surfaces: CookieAuthenticationOptions, CookieBuilder/CookieOptions, Set-Cookie attributes, CookiePolicy and naming/flow concerns.",just cookie optons | authcookie options | and full list | defaults | all cookies,Verified from region contact sheets/source image placement. Preserved PNG remains source of truth for exact code punctuation.
R01R02R03-S008,S-008,IU-008,ff5fb93a86,R02,5858.082568600665,1352.7979227558644,265.0,363.0,processed-in-r01r02r03-final-v001,medium-high; exact punctuation should be corrected from preserved PNG if needed,high for boundary; medium-high for exact code/API punctuation,Request/response cookie exchange lifecycle,"Covers core browser-cookie theory: how Set-Cookie becomes Cookie request headers, where cookies appear in devtools, third-party/partitioned behavior, HttpOnly visibility and token-storage tradeoffs.","have some requeast cookies and response cookies | store som cooies in browser for all sites | general theo | actually just a normal cookie flow | cookie flow,",Verified from region contact sheets/source image placement. Preserved PNG remains source of truth for exact code punctuation.
R01R02R03-S009,S-009,IU-009,32ebfc141c,R01,1730.5009167717908,1353.2486996060588,878.0,408.0,processed-in-r01r02r03-final-v001,medium-high; exact punctuation should be corrected from preserved PNG if needed,high for boundary; medium-high for exact code/API punctuation,Authentication cookie defaults and handler options,"Covers ASP.NET auth/plain cookie option surfaces: CookieAuthenticationOptions, CookieBuilder/CookieOptions, Set-Cookie attributes, CookiePolicy and naming/flow concerns.",and full list | defaults | just cookie optons | authcookie options | all cookies,Verified from region contact sheets/source image placement. Preserved PNG remains source of truth for exact code punctuation.
R01R02R03-S010,S-010,IU-010,38ec8724c1,R01,1710.6692668886426,1825.8936725022186,686.0,430.0,processed-in-r01r02r03-final-v001,medium-high; exact punctuation should be corrected from preserved PNG if needed,high for boundary; medium-high for exact code/API punctuation,Authentication cookie defaults and handler options,"Covers ASP.NET auth/plain cookie option surfaces: CookieAuthenticationOptions, CookieBuilder/CookieOptions, Set-Cookie attributes, CookiePolicy and naming/flow concerns.",just cookie optons | and full list | defaults | all cookies | does addcookie affect,Verified from region contact sheets/source image placement. Preserved PNG remains source of truth for exact code punctuation.
R01R02R03-S011,S-011,IU-011,ff26078255,R02,5124.082568600665,1896.297846461919,1883.0,406.0,processed-in-r01r02r03-final-v001,medium-high; exact punctuation should be corrected from preserved PNG if needed,high for boundary; medium-high for exact code/API punctuation,Request/response cookie exchange lifecycle,"Covers core browser-cookie theory: how Set-Cookie becomes Cookie request headers, where cookies appear in devtools, third-party/partitioned behavior, HttpOnly visibility and token-storage tradeoffs.","have some requeast cookies and response cookies | store som cooies in browser for all sites | general theo | actually just a normal cookie flow | cookie flow,",Verified from region contact sheets/source image placement. Preserved PNG remains source of truth for exact code punctuation.
R01R02R03-S012,S-012,IU-012,498d75b229,R01,371.5661512357656,2047.8081958585508,696.0,482.0,processed-in-r01r02r03-final-v001,medium-high; exact punctuation should be corrected from preserved PNG if needed,high for boundary; medium-high for exact code/API punctuation,Authentication cookie defaults and handler options,"Covers ASP.NET auth/plain cookie option surfaces: CookieAuthenticationOptions, CookieBuilder/CookieOptions, Set-Cookie attributes, CookiePolicy and naming/flow concerns.",just cookie optons | all cookies | does addcookie affect | authcookie options | usecookiepolicy,Verified from region contact sheets/source image placement. Preserved PNG remains source of truth for exact code punctuation.
R01R02R03-S013,S-013,IU-013,c7e8c6b779,R01,1707.4785304395882,2311.668142215419,819.0,444.0,processed-in-r01r02r03-final-v001,medium-high; exact punctuation should be corrected from preserved PNG if needed,high for boundary; medium-high for exact code/API punctuation,UseCookiePolicy and global cookie policy layer,"Covers ASP.NET auth/plain cookie option surfaces: CookieAuthenticationOptions, CookieBuilder/CookieOptions, Set-Cookie attributes, CookiePolicy and naming/flow concerns.",all cookies | does addcookie affect | just cookie optons | usecookiepolicy | actually just a normal cookie flow,Verified from region contact sheets/source image placement. Preserved PNG remains source of truth for exact code punctuation.
R01R02R03-S014,S-014,IU-014,50bb99e25a,R02,6619.958507045133,2394.36741758903,167.0,52.0,processed-in-r01r02r03-final-v001,medium-high; exact punctuation should be corrected from preserved PNG if needed,high for boundary; medium-high for exact code/API punctuation,Request/response cookie exchange lifecycle,"Covers core browser-cookie theory: how Set-Cookie becomes Cookie request headers, where cookies appear in devtools, third-party/partitioned behavior, HttpOnly visibility and token-storage tradeoffs.","have some requeast cookies and response cookies | store som cooies in browser for all sites | general theo | actually just a normal cookie flow | cookie flow,",Verified from region contact sheets/source image placement. Preserved PNG remains source of truth for exact code punctuation.
