source_id,expected_stage,expected_region,expected_status,ledger_region,ledger_status,decision_is_final,must_recheck_before_region_close,bad_placeholder_signal_found,closure_ok
S-001,EFCoreGeneral Stage1,EFC-R02,processed-in-efc-r02-v001,EFC-R02,processed-in-efc-r02-v001,yes-for-efc-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-002,EFCoreGeneral Stage1,EFC-R01,processed-in-efc-r01-v001,EFC-R01,processed-in-efc-r01-v001,yes-for-efc-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-003,EFCoreGeneral Stage1,EFC-R03,processed-in-efc-r03-v001,EFC-R03,processed-in-efc-r03-v001,yes-for-efc-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-004,EFCoreGeneral Stage2,EFC-R04,processed-in-efc-r04-v001,EFC-R04,processed-in-efc-r04-v001,yes-for-efc-r04-stage2,no-for-stage2-semantic-transcript,no,yes
S-005,EFCoreGeneral Stage1,EFC-R01,processed-in-efc-r01-v001,EFC-R01,processed-in-efc-r01-v001,yes-for-efc-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-006,EFCoreGeneral Stage1,EFC-R03,processed-in-efc-r03-v001,EFC-R03,processed-in-efc-r03-v001,yes-for-efc-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-007,EFCoreGeneral Stage1,EFC-R03,processed-in-efc-r03-v001,EFC-R03,processed-in-efc-r03-v001,yes-for-efc-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-008,EFCoreGeneral Stage1,EFC-R03,processed-in-efc-r03-v001,EFC-R03,processed-in-efc-r03-v001,yes-for-efc-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-009,EFCoreGeneral Stage1,EFC-R01,processed-in-efc-r01-v001,EFC-R01,processed-in-efc-r01-v001,yes-for-efc-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-010,EFCoreGeneral Stage1,EFC-R03,processed-in-efc-r03-v001,EFC-R03,processed-in-efc-r03-v001,yes-for-efc-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-011,EFCoreGeneral Stage1,EFC-R02,processed-in-efc-r02-v001,EFC-R02,processed-in-efc-r02-v001,yes-for-efc-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-012,EFCoreGeneral Stage1,EFC-R01,processed-in-efc-r01-v001,EFC-R01,processed-in-efc-r01-v001,yes-for-efc-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-013,EFCoreGeneral Stage2,EFC-R04,processed-in-efc-r04-v001,EFC-R04,processed-in-efc-r04-v001,yes-for-efc-r04-stage2,no-for-stage2-semantic-transcript,no,yes
S-014,EFCoreGeneral Stage1,EFC-R02,processed-in-efc-r02-v001,EFC-R02,processed-in-efc-r02-v001,yes-for-efc-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-015,EFCoreGeneral Stage1,EFC-R03,processed-in-efc-r03-v001,EFC-R03,processed-in-efc-r03-v001,yes-for-efc-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-016,EFCoreGeneral Stage1,EFC-R01,processed-in-efc-r01-v001,EFC-R01,processed-in-efc-r01-v001,yes-for-efc-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-017,EFCoreGeneral Stage1,EFC-R03,processed-in-efc-r03-v001,EFC-R03,processed-in-efc-r03-v001,yes-for-efc-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-018,EFCoreGeneral Stage1,EFC-R01,processed-in-efc-r01-v001,EFC-R01,processed-in-efc-r01-v001,yes-for-efc-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-019,EFCoreGeneral Stage1,EFC-R02,processed-in-efc-r02-v001,EFC-R02,processed-in-efc-r02-v001,yes-for-efc-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-020,EFCoreGeneral Stage1,EFC-R02,processed-in-efc-r02-v001,EFC-R02,processed-in-efc-r02-v001,yes-for-efc-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-021,EFCoreGeneral Stage1,EFC-R02,processed-in-efc-r02-v001,EFC-R02,processed-in-efc-r02-v001,yes-for-efc-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-022,EFCoreGeneral Stage2,EFC-R04,processed-in-efc-r04-v001,EFC-R04,processed-in-efc-r04-v001,yes-for-efc-r04-stage2,no-for-stage2-semantic-transcript,no,yes
S-023,EFCoreGeneral Stage1,EFC-R01,processed-in-efc-r01-v001,EFC-R01,processed-in-efc-r01-v001,yes-for-efc-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-024,EFCoreGeneral Stage1,EFC-R01,processed-in-efc-r01-v001,EFC-R01,processed-in-efc-r01-v001,yes-for-efc-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-025,EFCoreGeneral Stage1,EFC-R02,processed-in-efc-r02-v001,EFC-R02,processed-in-efc-r02-v001,yes-for-efc-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-026,EFCoreGeneral Stage1,EFC-R03,processed-in-efc-r03-v001,EFC-R03,processed-in-efc-r03-v001,yes-for-efc-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-027,EFCoreGeneral Stage1,EFC-R02,processed-in-efc-r02-v001,EFC-R02,processed-in-efc-r02-v001,yes-for-efc-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-028,EFCoreGeneral Stage2,EFC-R04,processed-in-efc-r04-v001,EFC-R04,processed-in-efc-r04-v001,yes-for-efc-r04-stage2,no-for-stage2-semantic-transcript,no,yes
S-029,EFCoreGeneral Stage1,EFC-R01,processed-in-efc-r01-v001,EFC-R01,processed-in-efc-r01-v001,yes-for-efc-r01-stage1,no-for-stage1-semantic-transcript,no,yes
