source_id,order_in_group,group_key,region,candidate_status,decision,meaning,image_use_id,fileId_short,x,y,width,height,nearest_labels_for_search_only
S-002,1,EFC-R01-repository-reads-tracking-identity-map,EFC-R01,efc-r01-repository-reads-candidate-stage0,candidate-not-final-stage0-boundary-only,"Repository/read-query behavior: tracking, identity map, AsNoTrackingWithIdentityResolution, partial init anti-patterns, Load/Find/AutoInclude, and read/write fetch discipline.",IU-002,e64cf87310,4060.447,1764.036,1020.0,482.0,"reduce cpu and everything for reads | identity map pattern | FROM TRAKING | ABOUT CPU/MEMORY USAGE | so rep shit | partial init antipatter | can do partial inits only | for projections for read, | write need encapsulation, | and invariants"
S-005,2,EFC-R01-repository-reads-tracking-identity-map,EFC-R01,efc-r01-repository-reads-candidate-stage0,candidate-not-final-stage0-boundary-only,"Repository/read-query behavior: tracking, identity map, AsNoTrackingWithIdentityResolution, partial init anti-patterns, Load/Find/AutoInclude, and read/write fetch discipline.",IU-005,af19e8920a,5713.487,1928.146,822.0,366.0,"identity map pattern | can do partial inits only | partial init antipatter | for projections for read, | write need encapsulation, | and invariants | also cant return the domain model | with partial init even for reads, because | if will lie about yourself being valid domain model | with all data present"
S-009,3,EFC-R01-repository-reads-tracking-identity-map,EFC-R01,efc-r01-repository-reads-candidate-stage0,candidate-not-final-stage0-boundary-only,"Repository/read-query behavior: tracking, identity map, AsNoTrackingWithIdentityResolution, partial init anti-patterns, Load/Find/AutoInclude, and read/write fetch discipline.",IU-009,1256f47477,4060.767,2275.641,1006.0,215.0,"reduce cpu and everything for reads | identity map pattern | FROM TRAKING | with all data present | if will lie about yourself being valid domain model | ABOUT CPU/MEMORY USAGE | with partial init even for reads, because | also cant return the domain model | and invariants | write need encapsulation,"
S-012,4,EFC-R01-repository-reads-tracking-identity-map,EFC-R01,efc-r01-repository-reads-candidate-stage0,candidate-not-final-stage0-boundary-only,"Repository/read-query behavior: tracking, identity map, AsNoTrackingWithIdentityResolution, partial init anti-patterns, Load/Find/AutoInclude, and read/write fetch discipline.",IU-012,27e0fafb7d,5666.154,2335.702,890.0,302.0,"with all data present | identity map pattern | if will lie about yourself being valid domain model | with partial init even for reads, because | also cant return the domain model | and invariants | write need encapsulation, | for projections for read, | can do partial inits only | partial init antipatter"
S-016,5,EFC-R01-repository-reads-tracking-identity-map,EFC-R01,efc-r01-repository-reads-candidate-stage0,candidate-not-final-stage0-boundary-only,"Repository/read-query behavior: tracking, identity map, AsNoTrackingWithIdentityResolution, partial init anti-patterns, Load/Find/AutoInclude, and read/write fetch discipline.",IU-016,5f5db5c14f,4095.484,2538.652,923.0,482.0,"reduce cpu and everything for reads | identity map pattern | FROM TRAKING | with all data present | if will lie about yourself being valid domain model | asnotrackkingwithidentityresolution | with partial init even for reads, because | ABOUT CPU/MEMORY USAGE | also cant return the domain model | and invariants"
S-018,6,EFC-R01-repository-reads-tracking-identity-map,EFC-R01,efc-r01-repository-reads-candidate-stage0,candidate-not-final-stage0-boundary-only,"Repository/read-query behavior: tracking, identity map, AsNoTrackingWithIdentityResolution, partial init anti-patterns, Load/Find/AutoInclude, and read/write fetch discipline.",IU-018,31d62e0a78,5636.154,2708.813,830.0,338.0,"identity map pattern | with all data present | if will lie about yourself being valid domain model | with partial init even for reads, because | also cant return the domain model | and invariants | write need encapsulation, | for projections for read, | can do partial inits only | partial init antipatter"
S-023,7,EFC-R01-repository-reads-tracking-identity-map,EFC-R01,efc-r01-repository-reads-candidate-stage0,candidate-not-final-stage0-boundary-only,"Repository/read-query behavior: tracking, identity map, AsNoTrackingWithIdentityResolution, partial init anti-patterns, Load/Find/AutoInclude, and read/write fetch discipline.",IU-023,07d0c9bb3c,5627.265,3082.869,790.0,341.0,"identity map pattern | with all data present | if will lie about yourself being valid domain model | with partial init even for reads, because | also cant return the domain model | and invariants | write need encapsulation, | for projections for read, | can do partial inits only | partial init antipatter"
S-024,8,EFC-R01-repository-reads-tracking-identity-map,EFC-R01,efc-r01-repository-reads-candidate-stage0,candidate-not-final-stage0-boundary-only,"Repository/read-query behavior: tracking, identity map, AsNoTrackingWithIdentityResolution, partial init anti-patterns, Load/Find/AutoInclude, and read/write fetch discipline.",IU-024,a67f713ace,4115.564,3088.652,953.0,482.0,"asnotrackkingwithidentityresolution | reduce cpu and everything for reads | MEMORY OVERHEAD WITH IDENTITY RESOL | COMPARED WITH ASNOTRACKING AND TRACKING | identity map pattern | FROM TRAKING | with all data present | if will lie about yourself being valid domain model | with partial init even for reads, because | also cant return the domain model"
S-029,9,EFC-R01-repository-reads-tracking-identity-map,EFC-R01,efc-r01-repository-reads-candidate-stage0,candidate-not-final-stage0-boundary-only,"Repository/read-query behavior: tracking, identity map, AsNoTrackingWithIdentityResolution, partial init anti-patterns, Load/Find/AutoInclude, and read/write fetch discipline.",IU-029,f5a69d20bc,5589.137,3465.546,826.0,482.0,"asnotrackkingwithidentityresolution | identity map pattern | with all data present | if will lie about yourself being valid domain model | with partial init even for reads, because | also cant return the domain model | and invariants | write need encapsulation, | for projections for read, | can do partial inits only"
S-031,10,EFC-R01-repository-reads-tracking-identity-map,EFC-R01,efc-r01-repository-reads-candidate-stage0,candidate-not-final-stage0-boundary-only,"Repository/read-query behavior: tracking, identity map, AsNoTrackingWithIdentityResolution, partial init anti-patterns, Load/Find/AutoInclude, and read/write fetch discipline.",IU-031,0e5b2c9aff,5590.0,4023.323,705.0,482.0,"asnotrackkingwithidentityresolution | COMPARED WITH ASNOTRACKING AND TRACKING | MEMORY OVERHEAD WITH IDENTITY RESOL | identity map pattern | use asnotrackingwithidentityresolution for ef core reads by default? | with all data present | if will lie about yourself being valid domain model | with partial init even for reads, because | also cant return the domain model | and invariants"
