source_id,decision,reason
S-037,included-in-EF01B-v001,loading collections / Include / explicit Load / AutoInclude / hybrid pattern
S-038,included-in-EF01B-v001,loading collections / Include / explicit Load / AutoInclude / hybrid pattern
S-039,included-in-EF01B-v001,loading collections / Include / explicit Load / AutoInclude / hybrid pattern
S-040,included-in-EF01B-v001,loading collections / Include / explicit Load / AutoInclude / hybrid pattern
S-041,included-in-EF01B-v001,loading collections / Include / explicit Load / AutoInclude / hybrid pattern
S-042,included-in-EF01B-v001,loading collections / Include / explicit Load / AutoInclude / hybrid pattern
S-043,included-in-EF01B-v001,loading collections / Include / explicit Load / AutoInclude / hybrid pattern
S-044,included-in-EF01B-v001,loading collections / Include / explicit Load / AutoInclude / hybrid pattern
S-045,included-in-EF01B-v001,loading collections / Include / explicit Load / AutoInclude / hybrid pattern
S-046,included-in-EF01B-v001,loading collections / Include / explicit Load / AutoInclude / hybrid pattern
S-059,moved-to-EF01A-v002,"identity-resolution continuation, not EF01B"
S-060,moved-to-EF01A-v002,"identity-resolution continuation, not EF01B"
S-006,not EF01B,shadow property filter; should be handled by shadow properties / model configuration area
S-029,not EF01B,Attach + explicit modified property example; should be handled by Attach/disconnected update area
S-030,not EF01B,Attach helps example; should be handled by Attach/disconnected update area
