region_source_id,source_id,image_use_id,fileId_short,status,candidate_type,readability,cut_off,confidence,theme,notes
EF01B-S001,S-037,IU-037,691ce63670,verified-visible-partial-from-source-image,ef01b-explicit-loading-collections,high,bottom-slightly-cropped-after-visible-text,high-for-visible-text,explicit loading collections; each Load is its own database call,Bottom has UI overlay/crop after visible explanation; visible content is clear.
EF01B-S002,S-038,IU-038,ac404adaa8,verified-visible-partial-from-source-image,ef01b-include-vs-load-tradeoff,high,bottom-slightly-cropped-after-visible-text,high-for-visible-text,multiple collections in one roundtrip with Include; cartesian explosion risk,Bottom cropped after visible cartesian explosion line; content is clear.
EF01B-S003,S-039,IU-039,7f7dafd9fe,verified-from-source-image,ef01b-use-include-when,high,no,high,when to use Include,Full source image visually checked.
EF01B-S004,S-040,IU-040,e3704b53e4,verified-from-source-image,ef01b-use-find-plus-load-when,high,no,high,when to use Find + Load,Full source image visually checked.
EF01B-S005,S-041,IU-041,2175a4a601,verified-from-source-image,ef01b-practical-tradeoff,high,no,high,practical tradeoff Include vs Find + Load,Full source image visually checked.
EF01B-S006,S-042,IU-042,810b517d3a,verified-visible-partial-from-source-image,ef01b-autoinclude-does-not-replace-load,high,bottom-slightly-cropped-after-visible-text,high-for-visible-text,Find + AutoInclude does not replace Find + Load,Bottom cropped after final visible bullet; visible content is clear.
EF01B-S007,S-043,IU-043,4f85a4e72b,verified-from-source-image,ef01b-include-or-explicit-load-options,high,no,high,options when enrollments are needed,Full source image visually checked.
EF01B-S008,S-044,IU-044,3edaef3497,verified-visible-partial-from-source-image,ef01b-hybrid-check-change-tracker,high,bottom-ui-overlay-after-code,high-for-visible-text,"hybrid pattern: check change tracker, otherwise Include",Bottom has UI overlay after code; visible code/text is clear.
EF01B-S009,S-045,IU-045,1607e83e8f,verified-from-source-image,ef01b-hybrid-validity,high,no,high,why hybrid check is valid,Full source image visually checked.
EF01B-S010,S-046,IU-046,b074625c29,verified-from-source-image,ef01b-hybrid-practicality,high,no,high,when hybrid optimization makes sense,Full source image visually checked.
